station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BIV;01.01.1892 00:00;;;;;;;;;;;;;;;;;;46.8;;;;;;;;;;;
BIV;01.02.1892 00:00;;;;;;;;;;;;;;;;;;73.8;;;;;;;;;;;
BIV;01.03.1892 00:00;;;;;;;;;;;;;;;;;;53.2;;;;;;;;;;;
BIV;01.04.1892 00:00;;;;;;;;;;;;;;;;;;54.8;;;;;;;;;;;
BIV;01.05.1892 00:00;;;;;;;;;;;;;;;;;;16.7;;;;;;;;;;;
BIV;01.06.1892 00:00;;;;;;;;;;;;;;;;;;135.9;;;;;;;;;;;
BIV;01.07.1892 00:00;;;;;;;;;;;;;;;;;;150.3;;;;;;;;;;;
BIV;01.08.1892 00:00;;;;;;;;;;;;;;;;;;52.1;;;;;;;;;;;
BIV;01.09.1892 00:00;;;;;;;;;;;;;;;;;;169.3;;;;;;;;;;;
BIV;01.10.1892 00:00;;;;;;;;;;;;;;;;;;155.1;;;;;;;;;;;
BIV;01.11.1892 00:00;;;;;;;;;;;;;;;;;;38.7;;;;;;;;;;;
BIV;01.12.1892 00:00;;;;;;;;;;;;;;;;;;27.4;;;;;;;;;;;
BIV;01.01.1893 00:00;;;;;;;;;;;;;;;;;;81.8;;;;;;;;;;;
BIV;01.02.1893 00:00;;;;;;;;;;;;;;;;;;107.4;;;;;;;;;;;
BIV;01.03.1893 00:00;;;;;;;;;;;;;;;;;;23.4;;;;;;;;;;;
BIV;01.04.1893 00:00;;;;;;;;;;;;;;;;;;17.8;;;;;;;;;;;
BIV;01.05.1893 00:00;;;;;;;;;;;;;;;;;;44.1;;;;;;;;;;;
BIV;01.06.1893 00:00;;;;;;;;;;;;;;;;;;87.6;;;;;;;;;;;
BIV;01.07.1893 00:00;;;;;;;;;;;;;;;;;;156.9;;;;;;;;;;;
BIV;01.08.1893 00:00;;;;;;;;;;;;;;;;;;25.3;;;;;;;;;;;
BIV;01.09.1893 00:00;;;;;;;;;;;;;;;;;;152.9;;;;;;;;;;;
BIV;01.10.1893 00:00;;;;;;;;;;;;;;;;;;68.9;;;;;;;;;;;
BIV;01.11.1893 00:00;;;;;;;;;;;;;;;;;;66.6;;;;;;;;;;;
BIV;01.12.1893 00:00;;;;;;;;;;;;;;;;;;77.5;;;;;;;;;;;
BIV;01.01.1894 00:00;;;;;;;;;;;;;;;;;;50.4;;;;;;;;;;;
BIV;01.02.1894 00:00;;;;;;;;;;;;;;;;;;58.6;;;;;;;;;;;
BIV;01.03.1894 00:00;;;;;;;;;;;;;;;;;;51.9;;;;;;;;;;;
BIV;01.04.1894 00:00;;;;;;;;;;;;;;;;;;88.7;;;;;;;;;;;
BIV;01.05.1894 00:00;;;;;;;;;;;;;;;;;;107.2;;;;;;;;;;;
BIV;01.06.1894 00:00;;;;;;;;;;;;;;;;;;79.4;;;;;;;;;;;
BIV;01.07.1894 00:00;;;;;;;;;;;;;;;;;;177.7;;;;;;;;;;;
BIV;01.08.1894 00:00;;;;;;;;;;;;;;;;;;131.7;;;;;;;;;;;
BIV;01.09.1894 00:00;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;
BIV;01.10.1894 00:00;;;;;;;;;;;;;;;;;;85.7;;;;;;;;;;;
BIV;01.11.1894 00:00;;;;;;;;;;;;;;;;;;62.4;;;;;;;;;;;
BIV;01.12.1894 00:00;;;;;;;;;;;;;;;;;;41.5;;;;;;;;;;;
BIV;01.01.1895 00:00;;;;;;;;;;;;;;;;;;140;;;;;;;;;;;
BIV;01.02.1895 00:00;;;;;;;;;;;;;;;;;;17.4;;;;;;;;;;;
BIV;01.03.1895 00:00;;;;;;;;;;;;;;;;;;65.3;;;;;;;;;;;
BIV;01.04.1895 00:00;;;;;;;;;;;;;;;;;;60.5;;;;;;;;;;;
BIV;01.05.1895 00:00;;;;;;;;;;;;;;;;;;87.3;;;;;;;;;;;
BIV;01.06.1895 00:00;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;
BIV;01.07.1895 00:00;;;;;;;;;;;;;;;;;;116.1;;;;;;;;;;;
BIV;01.08.1895 00:00;;;;;;;;;;;;;;;;;;96.9;;;;;;;;;;;
BIV;01.09.1895 00:00;;;;;;;;;;;;;;;;;;24.1;;;;;;;;;;;
BIV;01.10.1895 00:00;;;;;;;;;;;;;;;;;;157.8;;;;;;;;;;;
BIV;01.11.1895 00:00;;;;;;;;;;;;;;;;;;84.9;;;;;;;;;;;
BIV;01.12.1895 00:00;;;;;;;;;;;;;;;;;;101.8;;;;;;;;;;;
BIV;01.01.1896 00:00;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;
BIV;01.02.1896 00:00;;;;;;;;;;;;;;;;;;33.1;;;;;;;;;;;
BIV;01.03.1896 00:00;;;;;;;;;;;;;;;;;;115.2;;;;;;;;;;;
BIV;01.04.1896 00:00;;;;;;;;;;;;;;;;;;133.7;;;;;;;;;;;
BIV;01.05.1896 00:00;;;;;;;;;;;;;;;;;;121;;;;;;;;;;;
BIV;01.06.1896 00:00;;;;;;;;;;;;;;;;;;104.9;;;;;;;;;;;
BIV;01.07.1896 00:00;;;;;;;;;;;;;;;;;;206.5;;;;;;;;;;;
BIV;01.08.1896 00:00;;;;;;;;;;;;;;;;;;221.1;;;;;;;;;;;
BIV;01.09.1896 00:00;;;;;;;;;;;;;;;;;;160.5;;;;;;;;;;;
BIV;01.10.1896 00:00;;;;;;;;;;;;;;;;;;373.2;;;;;;;;;;;
BIV;01.11.1896 00:00;;;;;;;;;;;;;;;;;;66.6;;;;;;;;;;;
BIV;01.12.1896 00:00;;;;;;;;;;;;;;;;;;68.8;;;;;;;;;;;
BIV;01.01.1897 00:00;;;;;;;;;;;;;;;;;;48.4;;;;;;;;;;;
BIV;01.02.1897 00:00;;;;;;;;;;;;;;;;;;43.3;;;;;;;;;;;
BIV;01.03.1897 00:00;;;;;;;;;;;;;;;;;;90.2;;;;;;;;;;;
BIV;01.04.1897 00:00;;;;;;;;;;;;;;;;;;88.2;;;;;;;;;;;
BIV;01.05.1897 00:00;;;;;;;;;;;;;;;;;;154.2;;;;;;;;;;;
BIV;01.06.1897 00:00;;;;;;;;;;;;;;;;;;77.3;;;;;;;;;;;
BIV;01.07.1897 00:00;;;;;;;;;;;;;;;;;;109.4;;;;;;;;;;;
BIV;01.08.1897 00:00;;;;;;;;;;;;;;;;;;145.2;;;;;;;;;;;
BIV;01.09.1897 00:00;;;;;;;;;;;;;;;;;;229.2;;;;;;;;;;;
BIV;01.10.1897 00:00;;;;;;;;;;;;;;;;;;29.1;;;;;;;;;;;
BIV;01.11.1897 00:00;;;;;;;;;;;;;;;;;;19.8;;;;;;;;;;;
BIV;01.12.1897 00:00;;;;;;;;;;;;;;;;;;62.6;;;;;;;;;;;
BIV;01.01.1898 00:00;;;;;;;;;;;;;;;;;;23.4;;;;;;;;;;;
BIV;01.02.1898 00:00;;;;;;;;;;;;;;;;;;127;;;;;;;;;;;
BIV;01.03.1898 00:00;;;;;;;;;;;;;;;;;;143.8;;;;;;;;;;;
BIV;01.04.1898 00:00;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;
BIV;01.05.1898 00:00;;;;;;;;;;;;;;;;;;186;;;;;;;;;;;
BIV;01.06.1898 00:00;;;;;;;;;;;;;;;;;;245.1;;;;;;;;;;;
BIV;01.07.1898 00:00;;;;;;;;;;;;;;;;;;72.9;;;;;;;;;;;
BIV;01.08.1898 00:00;;;;;;;;;;;;;;;;;;93.6;;;;;;;;;;;
BIV;01.09.1898 00:00;;;;;;;;;;;;;;;;;;18.6;;;;;;;;;;;
BIV;01.10.1898 00:00;;;;;;;;;;;;;;;;;;151.5;;;;;;;;;;;
BIV;01.11.1898 00:00;;;;;;;;;;;;;;;;;;213.2;;;;;;;;;;;
BIV;01.12.1898 00:00;;;;;;;;;;;;;;;;;;46.7;;;;;;;;;;;
BIV;01.01.1899 00:00;;;;;;;;;;;;;;;;;;172.1;;;;;;;;;;;
BIV;01.02.1899 00:00;;;;;;;;;;;;;;;;;;9.9;;;;;;;;;;;
BIV;01.03.1899 00:00;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;
BIV;01.04.1899 00:00;;;;;;;;;;;;;;;;;;157.3;;;;;;;;;;;
BIV;01.05.1899 00:00;;;;;;;;;;;;;;;;;;120.5;;;;;;;;;;;
BIV;01.06.1899 00:00;;;;;;;;;;;;;;;;;;61.9;;;;;;;;;;;
BIV;01.07.1899 00:00;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;
BIV;01.08.1899 00:00;;;;;;;;;;;;;;;;;;37.5;;;;;;;;;;;
