station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BOL;01.08.1993 00:00;;;;;;;;;;;;;;2.1;17.3;7.6;62.3;;;;;;;;;;;;
BOL;01.09.1993 00:00;;;;;;;;;;;;;;2.1;;7.6;;;;;;;;;;;;;
BOL;01.10.1993 00:00;;;;;;;;;;;;;;1.8;16.8;;60.5;;;;;;;;;;;;
BOL;01.11.1993 00:00;;;;;;;;;;;;;;1.4;20.3;;73.1;;;;;;;;;;;;
BOL;01.12.1993 00:00;;;;;;;;;;;;;;3.6;;13;;;;;;;;;;;;;
BOL;01.01.1994 00:00;;;;;;;;;;;;;;2.4;;8.6;;;;;;;;;;;;;
BOL;01.04.1994 00:00;;;;;;;;;;;;;;2.3;17.7;;63.7;;;;;;;;;;;;
BOL;01.08.1994 00:00;;;;;;;;;;;;;;2.1;22.8;7.6;82.1;;;;;;;;;;;;
BOL;01.09.1994 00:00;;;;;;;;;;;;;;1.8;18.6;;67;;;;;;;;;;;;
BOL;01.10.1994 00:00;;;;;;;;;;;;;;1.8;15.2;;54.7;;;;;;;;;;;;
BOL;01.11.1994 00:00;;;;;;;;;;;;;;1.4;13.2;;47.5;;;;;;;;;;;;
BOL;01.12.1994 00:00;;;;;;;;;;;;;;1.9;23.2;;83.5;;;;;;;;;;;;
BOL;01.01.1995 00:00;;;;;;;;;;;;;;2.7;28.1;;101.2;;;;;;;;;;;;
BOL;01.02.1995 00:00;;;;;;;;;;;;;;2.5;22.1;;79.6;;;;;;;;;;;;
BOL;01.03.1995 00:00;;;;;;;;;;;;;;2.9;20.7;;74.5;;;;;;;;;;;;
BOL;01.04.1995 00:00;;;;;;;;;;;;;;2.4;15.2;;54.7;;;;;;;;;;;;
BOL;01.05.1995 00:00;;;;;;;;;;;;;;2.2;16.1;;58;;;;;;;;;;;;
BOL;01.06.1995 00:00;;;;;;;;;;;;;;2;13.6;;49;;;;;;;;;;;;
BOL;01.07.1995 00:00;;;;;;;;;;;;;;2.2;19.3;7.9;69.5;;;;;;;;;;;;
BOL;01.09.1995 00:00;;;;;;;;;;;;;;1.9;19.7;;70.9;;;;;;;;;;;;
BOL;01.10.1995 00:00;;;;;;;;;;;;;;1.4;9.5;;34.2;;;;;;;;;;;;
BOL;01.01.1996 00:00;;;;;;;;;;;;;;0.9;;3.2;;;;;;;;;;;;;
BOL;01.02.1996 00:00;;;;;;;;;;;;;;2.3;17.8;;64.1;;;;;;;;;;;;
BOL;01.03.1996 00:00;;;;;;;;;;;;;;2;14.7;;52.9;;;;;;;;;;;;
BOL;01.04.1996 00:00;;;;;;;;;;;;;;2.1;11.6;;41.8;;;;;;;;;;;;
BOL;01.05.1996 00:00;;;;;;;;;;;;;;2.5;16.6;;59.8;;;;;;;;;;;;
BOL;01.06.1996 00:00;;;;;;;;;;;;;;2.5;17;;61.2;;;;;;;;;;;;
BOL;01.07.1996 00:00;;;;;;;;;;;;;;2.1;20.1;;72.4;;;;;;;;;;;;
BOL;01.08.1996 00:00;;;;;;;;;;;;;;1.8;17;;61.2;;;;;;;;;;;;
BOL;01.09.1996 00:00;;;;;;;;;;;;;;1.9;16.3;;58.7;;;;;;;;;;;;
BOL;01.10.1996 00:00;;;;;;;;;;;;;;1.7;20.6;;74.2;;;;;;;;;;;;
BOL;01.11.1996 00:00;;;;;;;;;;;;;;2.3;;8.3;;;;;;;;;;;;;
BOL;01.12.1996 00:00;;;;;;;;;;;;;;1.4;16.8;;60.5;;;;;;;;;;;;
BOL;01.01.1997 00:00;;;;;;;;;;;;;;0.8;9.2;2.9;33.1;;;;;;;;;;;;
BOL;01.02.1997 00:00;;;;;;;;;;;;;;2.8;29.2;;105.1;;;;;;;;;;;;
BOL;01.03.1997 00:00;;;;;;;;;;;;;;2.3;17.8;;64.1;;;;;;;;;;;;
BOL;01.04.1997 00:00;;;;;;;;;;;;;;2.4;16.6;;59.8;;;;;;;;;;;;
BOL;01.05.1997 00:00;;;;;;;;;;;;;;2.3;;8.3;;;;;;;;;;;;;
BOL;01.06.1997 00:00;;;;;;;;;;;;;;2;13.8;;49.7;;;;;;;;;;;;
BOL;01.07.1997 00:00;;;;;;;;;;;;;;2;15.2;;54.7;;;;;;;;;;;;
BOL;01.08.1997 00:00;;;;;;;;;;;;;;1.8;15.2;;54.7;;;;;;;;;;;;
BOL;01.09.1997 00:00;;;;;;;;;;;;;;1.8;11.8;;42.5;;;;;;;;;;;;
BOL;01.10.1997 00:00;;;;;;;;;;;;;;1.9;23.8;;85.7;;;;;;;;;;;;
BOL;01.11.1997 00:00;;;;;;;;;;;;;;1.3;12.5;;45;;;;;;;;;;;;
BOL;01.12.1997 00:00;;;;;;;;;;;;;;1.7;15;;54;;;;;;;;;;;;
BOL;01.01.1998 00:00;;;;;;;;;;;;;;2.1;30.5;;109.8;;;;;;;;;;;;
BOL;01.02.1998 00:00;;;;;;;;;;;;;;1.4;14.6;5;52.6;;;;;;;;;;;;
BOL;01.03.1998 00:00;;;;;;;;;;;;;;2.7;24.1;9.7;86.8;;;;;;;;;;;;
BOL;01.04.1998 00:00;;;;;;;;;;;;;;2.3;;8.3;;;;;;;;;;;;;
BOL;01.05.1998 00:00;;;;;;;;;;;;;;2.1;12.8;;46.1;;;;;;;;;;;;
BOL;01.06.1998 00:00;;;;;;;;;;;;;;1.9;;6.8;;;;;;;;;;;;;
BOL;01.07.1998 00:00;;;;;;;;;;;;;;2.1;15.2;7.6;54.7;;;;;;;;;;;;
BOL;01.08.1998 00:00;;;;;;;;;;;;;;2.3;15.1;;54.4;;;;;;;;;;;;
BOL;01.09.1998 00:00;;;;;;;;;;;;;;2.1;12.2;7.6;43.9;;;;;;;;;;;;
BOL;01.10.1998 00:00;;;;;;;;;;;;;;2.4;24.7;;88.9;;;;;;;;;;;;
BOL;01.11.1998 00:00;;;;;;;;;;;;;;2;17.5;7.2;63;;;;;;;;;;;;
BOL;01.12.1998 00:00;;;;;;;;;;;;;;1.5;12.8;5.4;46.1;;;;;;;;;;;;
BOL;01.01.1999 00:00;;;;;;;;;;;;;;2.3;19.1;8.3;68.8;;;;;;;;;;;;
BOL;01.02.1999 00:00;;;;;;;;;;;;;;2.4;22.2;;79.9;;;;;;;;;;;;
BOL;01.03.1999 00:00;;;;;;;;;;;;;;2;15.7;;56.5;;;;;;;;;;;;
BOL;01.04.1999 00:00;;;;;;;;;;;;;;2.1;17.1;;61.6;;;;;;;;;;;;
BOL;01.05.1999 00:00;;;;;;;;;;;;;;2;12.5;7.2;45;;;;;;;;;;;;
BOL;01.06.1999 00:00;;;;;;;;;;;;;;2.1;18.1;7.6;65.2;;;;;;;;;;;;
BOL;01.07.1999 00:00;;;;;;;;;;;;;;2.1;13.3;;47.9;;;;;;;;;;;;
BOL;01.08.1999 00:00;;;;;;;;;;;;;;1.8;21.5;;77.4;;;;;;;;;;;;
BOL;01.09.1999 00:00;;;;;;;;;;;;;;1.7;;6.1;;;;;;;;;;;;;
BOL;01.10.1999 00:00;;;;;;;;;;;;;;1.5;12.3;5.4;44.3;;;;;;;;;;;;
BOL;01.11.1999 00:00;;;;;;;;;;;;;;1.3;19.1;;68.8;;;;;;;;;;;;
BOL;01.12.1999 00:00;;;;;;;;;;;;;;2.8;42.6;10.1;153.4;;;;;;;;;;;;
BOL;01.01.2000 00:00;;;;;;;;;;;;;;1.4;15.7;;56.5;;;;;;;;;;;;
BOL;01.02.2000 00:00;;;;;;;;;;;;;;2.3;18.2;;65.5;;;;;;;;;;;;
BOL;01.03.2000 00:00;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;;
BOL;01.04.2000 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;;;;;;;
BOL;01.05.2000 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;;;;;;;
BOL;01.06.2000 00:00;;;;;;;;;;;;;;2.2;16.3;7.9;58.7;;;;;;;;;;;;
BOL;01.07.2000 00:00;;;;;;;;;;;;;;2.2;16.7;7.9;60.1;;;;;;;;;;;;
BOL;01.08.2000 00:00;;;;;;;;;;;;;;1.7;20.1;6.1;72.4;;;;;;;;;;;;
BOL;01.09.2000 00:00;;;;;;;;;;;;;;1.9;18.2;;65.5;;;;;;;;;;;;
BOL;01.10.2000 00:00;;;;;;;;;;;;;;1.6;14.8;5.8;53.3;;;;;;;;;;;;
BOL;01.11.2000 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
BOL;01.12.2000 00:00;;;;;;;;;;;;;;1.5;16.8;;60.5;;;;;;;;;;;;
BOL;01.01.2001 00:00;;;;;;;;;;;;;;1.6;15.8;;56.9;;;;;;;;;;;;
BOL;01.02.2001 00:00;;;;;;;;;;;;;;2.3;20.3;;73.1;;;;;;;;;;;;
BOL;01.03.2001 00:00;;;;;;;;;;;;;;2.6;29;9.4;104.4;;;;;;;;;;;;
BOL;01.04.2001 00:00;;;;;;;;;;;;;;2.3;15.7;;56.5;;;;;;;;;;;;
BOL;01.05.2001 00:00;;;;;;;;;;;;;;2.3;19.2;;69.1;;;;;;;;;;;;
BOL;01.06.2001 00:00;;;;;;;;;;;;;;2;14.8;;53.3;;;;;;;;;;;;
BOL;01.07.2001 00:00;;;;;;;;;;;;;;2;14.6;;52.6;;;;;;;;;;;;
BOL;01.08.2001 00:00;;;;;;;;;;;;;;1.8;21;;75.6;;;;;;;;;;;;
BOL;01.09.2001 00:00;;;;;;;;;;;;;;1.9;14.8;;53.3;;;;;;;;;;;;
BOL;01.10.2001 00:00;;;;;;;;;;;;;;1.4;13;5;46.8;;;;;;;;;;;;
BOL;01.11.2001 00:00;;;;;;;;;;;;;;1.8;19.7;6.5;70.9;;;;;;;;;;;;
BOL;01.12.2001 00:00;;;;;;;;;;;;;;2.4;17.1;;61.6;;;;;;;;;;;;
BOL;01.01.2002 00:00;;;;;;;;;;;;;;1.5;25.8;5.4;92.9;;;;;;;;;;;;
BOL;01.02.2002 00:00;;;;;;;;;;;;;;3;23.3;;83.9;;;;;;;;;;;;
BOL;01.03.2002 00:00;;;;;;;;;;;;;;2.2;17.3;;62.3;;;;;;;;;;;;
BOL;01.04.2002 00:00;;;;;;;;;;;;;;2.2;18.5;;66.6;;;;;;;;;;;;
BOL;01.05.2002 00:00;;;;;;;;;;;;;;1.8;11.8;;42.5;;;;;;;;;;;;
BOL;01.06.2002 00:00;;;;;;;;;;;;;;1.9;14.7;6.8;52.9;;;;;;;;;;;;
BOL;01.07.2002 00:00;;;;;;;;;;;;;;2;19;;68.4;;;;;;;;;;;;
BOL;01.08.2002 00:00;;;;;;;;;;;;;;1.7;11.3;;40.7;;;;;;;;;;;;
BOL;01.09.2002 00:00;;;;;;;;;;;;;;1.8;10.5;;37.8;;;;;;;;;;;;
BOL;01.10.2002 00:00;;;;;;;;;;;;;;2.2;21.5;7.9;77.4;;;;;;;;;;;;
BOL;01.11.2002 00:00;;;;;;;;;;;;;;1.6;15.5;;55.8;;;;;;;;;;;;
BOL;01.12.2002 00:00;;;;;;;;;;;;;;1.5;12.8;;46.1;;;;;;;;;;;;
BOL;01.01.2003 00:00;;;;;;;;;;;;;;2.2;30.2;;108.7;;;;;;;;;;;;
BOL;01.02.2003 00:00;;;;;;;;;;;;;;1.7;14;;50.4;;;;;;;;;;;;
BOL;01.03.2003 00:00;;;;;;;;;;;;;;1.9;13.3;;47.9;;;;;;;;;;;;
BOL;01.04.2003 00:00;;;;;;;;;;;;;;2.3;16.7;;60.1;;;;;;;;;;;;
BOL;01.05.2003 00:00;;;;;;;;;;;;;;2.2;30.7;;110.5;;;;;;;;;;;;
