station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CEV;01.10.1900 00:00;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;
CEV;01.11.1900 00:00;;;;;;;;;;;;;;;;;;377;;;;;;;;;;;
CEV;01.12.1900 00:00;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;
CEV;01.01.1901 00:00;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
CEV;01.02.1901 00:00;;;;;;;;;;;;;;;;;;39.3;;;;;;;;;;;
CEV;01.03.1901 00:00;;;;;;;;;;;;;;;;;;337.7;;;;;;;;;;;
CEV;01.04.1901 00:00;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;
CEV;01.05.1901 00:00;;;;;;;;;;;;;;;;;;70.5;;;;;;;;;;;
CEV;01.06.1901 00:00;;;;;;;;;;;;;;;;;;188.7;;;;;;;;;;;
CEV;01.07.1901 00:00;;;;;;;;;;;;;;;;;;233.1;;;;;;;;;;;
CEV;01.08.1901 00:00;;;;;;;;;;;;;;;;;;64.6;;;;;;;;;;;
CEV;01.09.1901 00:00;;;;;;;;;;;;;;;;;;191.2;;;;;;;;;;;
CEV;01.10.1901 00:00;;;;;;;;;;;;;;;;;;278.6;;;;;;;;;;;
CEV;01.11.1901 00:00;;;;;;;;;;;;;;;;;;23.3;;;;;;;;;;;
CEV;01.12.1901 00:00;;;;;;;;;;;;;;;;;;255.3;;;;;;;;;;;
CEV;01.01.1902 00:00;;;;;;;;;;;;;;;;;;42.5;;;;;;;;;;;
CEV;01.02.1902 00:00;;;;;;;;;;;;;;;;;;120.1;;;;;;;;;;;
CEV;01.03.1902 00:00;;;;;;;;;;;;;;;;;;178.5;;;;;;;;;;;
CEV;01.04.1902 00:00;;;;;;;;;;;;;;;;;;76.8;;;;;;;;;;;
CEV;01.05.1902 00:00;;;;;;;;;;;;;;;;;;89.1;;;;;;;;;;;
