station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CHZ;01.07.1993 00:00;17.1;31.3;7;;;;80.8;15.7;968.1;;;;;1.5;;;;288.1;;;;;;;;;;4.3;
CHZ;01.08.1993 00:00;17.9;;;;;;79.8;16.2;968.8;;;;;1.4;;;;108.9;;;;;;;;;;1.7;
CHZ;01.11.1993 00:00;1.8;15.3;-6.5;;;;90.2;6.5;968.5;;;;;1.7;26.7;;96.1;41.7;;;;;;;;;;306.9;
CHZ;01.12.1993 00:00;3.8;17.7;-6;;;;85.3;6.9;963.5;;;;;2.5;30.7;;110.5;82.1;;;;;;;;;;256.2;
CHZ;01.01.1994 00:00;2.4;14.1;-7.2;;;;88.5;6.5;966;;;;;1.7;30.1;;108.4;93.2;;;;;;;;;;297.4;
CHZ;01.02.1994 00:00;2;;;;;;85.8;6.2;962.6;;;;;1.4;;;;;;;;;;;;;;260.3;
CHZ;01.03.1994 00:00;9;21.1;-1.6;;;;78.1;8.9;970;;;;;2.2;19.2;;69.1;58.8;;;;;;;;;;100.8;
CHZ;01.04.1994 00:00;7.3;24.3;-1.7;;;;81.5;8.3;961.8;;;;;1.9;18.8;;67.7;97.5;;;;;;;;;;152.8;
CHZ;01.05.1994 00:00;13.3;24.6;5;;;;82.4;12.4;963.2;;;;;1.6;16.5;;59.4;237.3;;;;;;;;;;11.5;
CHZ;01.06.1994 00:00;17.2;29.7;5.2;;;;75.3;14.9;968.9;;;;;1.8;24.8;;89.3;114.8;;;;;;;;;;8.8;
CHZ;01.07.1994 00:00;21.5;33.2;12.1;;;;74;18.3;967.4;;;;;1.4;;;;70.7;;;;;;;;;;0;
CHZ;01.08.1994 00:00;19.5;34;10.2;;;;78.4;17.4;966.1;;;;;1.5;19.7;;70.9;155.7;;;;;;;;;;0;
CHZ;01.09.1994 00:00;13.9;27.7;3.1;;;;86.2;13.7;965.2;;;;;1.5;16.7;5.4;60.1;101.1;;;;;;;;;;17.4;
CHZ;01.10.1994 00:00;9;21.2;0;;;;88.6;10.3;966.8;;;;;1.2;14.7;;52.9;82.9;;;;;;;;;;105.1;
CHZ;01.11.1994 00:00;7.8;14.9;-0.2;;;;92.5;9.8;970.3;;;;;1.2;57;4.3;205.2;43.7;;;;;;;;;;126.1;
CHZ;01.12.1994 00:00;3.7;12.3;-2.8;;;;89.1;7.3;971.6;;;;;1.6;20.8;;74.9;92.7;;;;;;;;;;256.7;
CHZ;01.01.1995 00:00;0.2;13.8;-12.7;;;;86;5.5;967.8;;;;;2.1;32.8;;118.1;90.5;;;;;;;;;;367.3;
CHZ;01.02.1995 00:00;5;14.2;-2.2;;;;84.6;7.3;966.6;;;;;1.5;21;;75.6;92.1;;;;;;;;;;197.1;
CHZ;01.03.1995 00:00;3.9;16.4;-5.4;;;;75.6;6.1;965.4;;;;;2.2;21.1;;76;103;;;;;;;;;;250.8;
CHZ;01.04.1995 00:00;9.2;22.1;-0.1;;;;77.8;9;965.6;;;;;1.8;18;;64.8;103.6;;;;;;;;;;91.4;
CHZ;01.05.1995 00:00;13.4;26.4;-1.3;;;;74.8;11.2;965.4;;;;;1.6;17.3;;62.3;164.3;;;;;;;;;;29.5;
CHZ;01.06.1995 00:00;15;29.6;5.5;;;;78.2;13.1;966.4;;;;;1.6;13.1;;47.2;164.6;;;;;;;;;;10.9;
CHZ;01.07.1995 00:00;20.8;;;;;;75.7;18.2;966.3;;;;;1.5;;;;;;;;;;;;;;;
CHZ;01.08.1995 00:00;18;31.1;6.8;;;;79.7;16.2;966.9;;;;;1.5;15.2;;54.7;206.5;;;;;;;;;;6;
CHZ;01.09.1995 00:00;12.3;22.9;0.5;;;;84.1;11.9;964.4;;;;;1.3;16.5;;59.4;119.9;;;;;;;;;;19.6;
CHZ;01.10.1995 00:00;12.5;22.2;3.7;;;;89.2;12.9;972.5;;;;;0.8;10;;36;8.4;;;;;;;;;;26.2;
CHZ;01.11.1995 00:00;3.8;15.4;-5.2;;;;89.3;7.3;968.1;;;;;1.2;14.6;;52.6;55.2;;;;;;;;;;246.3;
CHZ;01.12.1995 00:00;0.2;13.1;-9;;;;90.5;5.8;964.5;;;;;1.4;16.8;;60.5;139.3;;;;;;;;;;365.4;
CHZ;01.01.1996 00:00;-0.1;5.4;-5.3;;;;92;5.7;963.3;;;;;1.1;7.1;;25.6;0;;;;;;;;;;373.7;
CHZ;01.02.1996 00:00;-0.4;10.6;-8.6;;;;84.1;5;962.4;;;;;1.3;16.6;;59.8;0;;;;;;;;;;360.9;
CHZ;01.03.1996 00:00;3.4;19.4;-7.9;;;;75.6;6.1;964.3;;;;;1.4;14;;50.4;0;;;;;;;;;;265.3;
CHZ;01.04.1996 00:00;9.5;24.1;-1.9;;;;71.8;8.4;965.2;;;;;1.7;17.8;;64.1;0;;;;;;;;;;97.6;
CHZ;01.05.1996 00:00;12.9;29.1;2;;;;82.2;12;;;;;;1.5;;;;;;;;;;;;;;27.9;
CHZ;01.06.1996 00:00;17.8;36.2;7.2;;;;75.8;15.2;;;;;;1.7;22.3;;80.3;;;;;;;;;;;4.4;
CHZ;01.07.1996 00:00;17.7;29.4;8.3;;;;77.6;15.5;968.1;;;;;1.6;17.6;;63.4;141.8;;;;;;;;;;0.8;
CHZ;01.08.1996 00:00;19.7;36.2;10;;;;79;17.8;966.6;;;;;1.3;18;;64.8;165.8;;;;;;;;;;0;
CHZ;01.09.1996 00:00;13.9;28.4;5.8;;;;79.2;12.3;964.8;;;;;1.5;13;;46.8;63.3;;;;;;;;;;7.2;
CHZ;01.10.1996 00:00;11.5;29.2;2.6;;;;85.7;11.7;967.6;;;;;1.1;19;;68.4;126.3;;;;;;;;;;31;
CHZ;01.11.1996 00:00;7.2;23.3;0.9;;;;83.2;8.5;962;;;;;1.6;23.6;5.8;85;91.6;;;;;;;;;;146.5;
CHZ;01.12.1996 00:00;3.3;16.7;-5.6;;;;82.8;6.6;961.6;;;;;1.5;14.6;;52.6;61.5;;;;;;;;;;270.6;
CHZ;01.01.1997 00:00;2.6;10.7;-4.5;;;;82.9;6.2;969.4;;;;;1;8.1;3.6;29.2;16.8;;;;;;;;;;291.9;
