station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CHD;01.01.1879 00:00;-4.6;;;;;;;;;;;;;;;;;73;;;;;;;;;762.6;;
CHD;01.02.1879 00:00;-1.9;;;;;;;;;;;;;;;;;115;;;;;;;;;613.4;;
CHD;01.03.1879 00:00;1.8;;;;;;;;;;;;;;;;;25.6;;;;;;;;;565.3;;
CHD;01.04.1879 00:00;3.7;;;;;;;;;;;;;;;;;103.2;;;;;;;;;490.2;;
CHD;01.05.1879 00:00;6.1;;;;;;;;;;;;;;;;;96.2;;;;;;;;;429.9;;
CHD;01.06.1879 00:00;13.4;;;;;;;;;;;;;;;;;128.4;;;;;;;;;89.8;;
CHD;01.07.1879 00:00;12.3;;;;;;;;;;;;;;;;;232;;;;;;;;;175.9;;
CHD;01.08.1879 00:00;16.1;;;;;;;;;;;;;;;;;125.4;;;;;;;;;17.8;;
CHD;01.09.1879 00:00;11.1;;;;;;;;;;;;;;;;;92.8;;;;;;;;;177.9;;
CHD;01.10.1879 00:00;4.9;;;;;;;;;;;;;;;;;100.2;;;;;;;;;468.1;;
CHD;01.11.1879 00:00;-1.6;;;;;;;;;;;;;;;;;97.5;;;;;;;;;648.8;;
CHD;01.12.1879 00:00;-7.9;;;;;;;;;;;;;;;;;49.4;;;;;;;;;863.6;;
CHD;01.01.1880 00:00;-7.3;;;;;;;;;;;;;;;;;19.6;;;;;;;;0;845.4;;
CHD;01.02.1880 00:00;-0.6;;;;;;;;;;;;;;;;;25;;;;;;;;;597.8;;
CHD;01.03.1880 00:00;3.9;;;;;;;;;;;;;;;;;13.3;;;;;;;;;497.8;;
CHD;01.04.1880 00:00;6.3;;;;;;;;;;;;;;;;;72;;;;;;;;;410.9;;
CHD;01.05.1880 00:00;8.6;;;;;;;;;;;;;;;;;50.4;;;;;;;;;333.8;;
CHD;01.06.1880 00:00;11.3;;;;;;;;;;;;;;;;;133.6;;;;;;;;;183.2;;
CHD;01.07.1880 00:00;15.8;;;;;;;;;;;;;;;;;89.4;;;;;;;;;0;;
CHD;01.08.1880 00:00;13.4;;;;;;;;;;;;;;;;;160.6;;;;;;;;;76.3;;
CHD;01.09.1880 00:00;11.4;;;;;;;;;;;;;;;;;103.2;;;;;;;;;185.7;;
CHD;01.10.1880 00:00;7.8;;;;;;;;;;;;;;;;;244;;;;;;;;;343.7;;
CHD;01.11.1880 00:00;2.7;;;;;;;;;;;;;;;;;78.5;;;;;;;;;519.3;;
CHD;01.12.1880 00:00;1.4;;;;;;;;;;;;;;;;;126.9;;;;;;;;;575.1;;
CHD;01.01.1881 00:00;-6.1;;;;;;;;;;;;;;;;;108;;;;;;;;;807.7;;
CHD;01.02.1881 00:00;-0.4;;;;;;;;;;;;;;;;;90;;;;;;;;;570.2;;
CHD;01.03.1881 00:00;2.9;;;;;;;;;;;;;;;;;96;;;;;;;;;531.1;;
CHD;01.04.1881 00:00;5.3;;;;;;;;;;;;;;;;;99.2;;;;;;;;;441.1;;
CHD;01.05.1881 00:00;8.7;;;;;;;;;;;;;;;;;114.4;;;;;;;;;314.7;;
CHD;01.06.1881 00:00;12;;;;;;;;;;;;;;;;;138.5;;;;;;;;;153.6;;
CHD;01.07.1881 00:00;16.8;;;;;;;;;;;;;;;;;105.5;;;;;;;;;18.8;;
CHD;01.08.1881 00:00;14.5;;;;;;;;;;;;;;;;;201.5;;;;;;;;;88.7;;
CHD;01.09.1881 00:00;9.3;;;;;;;;;;;;;;;;;114.7;;;;;;;;;293.9;;
CHD;01.10.1881 00:00;3.1;;;;;;;;;;;;;;;;;83.9;;;;;;;;;522.5;;
CHD;01.11.1881 00:00;3.1;;;;;;;;;;;;;;;;;28.1;;;;;;;;;507.3;;
CHD;01.12.1881 00:00;-2.4;;;;;;;;;;;;;;;;;56.8;;;;;;;;;695.6;;
CHD;01.01.1882 00:00;-2.3;;;;;;;;;;;;;;;;;20.6;;;;;;;;;690.8;;
CHD;01.02.1882 00:00;-1.7;;;;;;;;;;;;;;;;;33;;;;;;;;;608.8;;
CHD;01.03.1882 00:00;3;;;;;;;;;;;;;;;;;53.5;;;;;;;;;527.6;;
