station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CHM;01.01.1864 00:00;-3.8;;;;;;;;888.8;;;;;;;;;21.5;;;;;;;;;738.3;;
CHM;01.02.1864 00:00;-2.6;;;;;;;;879.5;;;;;;;;;38.4;;;;;;;;;654.4;;
CHM;01.03.1864 00:00;1.9;;;;;;;;876.4;;;;;;;;;69.1;;;;;;;;;562.6;;
CHM;01.04.1864 00:00;4.3;;;;;;;;884.8;;;;;;;;;47.8;;;;;;;;;464.2;;
CHM;01.05.1864 00:00;9.3;;;;;;;;884.2;;;;;;;;;89.5;;;;;;;;;291.9;;
CHM;01.06.1864 00:00;10.7;;;;;;;;887.1;;;;;;;;;192.5;;;;;;;;;213.3;;
CHM;01.07.1864 00:00;14;;;;;;;;888.4;;;;;;;;;47.3;;;;;;;;;72.7;;
CHM;01.08.1864 00:00;12.6;;;;;;;;889;;;;;;;;;60.2;;;;;;;;;157.9;;
CHM;01.09.1864 00:00;10;;;;;;;;888.6;;;;;;;;;97.7;;;;;;;;;267.1;;
CHM;01.10.1864 00:00;4.4;;;;;;;;880;;;;;;;;;63.1;;;;;;;;;483.4;;
CHM;01.11.1864 00:00;0.2;;;;;;;;879.8;;;;;;;;;59;;;;;;;;;595.1;;
CHM;01.12.1864 00:00;-1.9;;;;;;;;882.5;;;;;;;;;10.2;;;;;;;;;679.4;;
CHM;01.01.1865 00:00;-1.5;;;;;;;;874.8;;;;;;;;;77;;;;;;;;;666.3;;
CHM;01.02.1865 00:00;-5;;;;;;;;879;;;;;;;;;61.8;;;;;;;;;701.4;;
CHM;01.03.1865 00:00;-5.1;;;;;;;;875.1;;;;;;;;;40.6;;;;;;;;;776.7;;
CHM;01.04.1865 00:00;10.2;;;;;;;;888.9;;;;;;;;;14;;;;;;;;;222.6;;
CHM;01.05.1865 00:00;12.1;;;;;;;;887.5;;;;;;;;;84.3;;;;;;;;;160.9;;
CHM;01.06.1865 00:00;12.4;;;;;;;;889.8;;;;;;;;;53.8;;;;;;;;;156.8;;
CHM;01.07.1865 00:00;15.7;;;;;;;;889.1;;;;;;;;;90.2;;;;;;;;;59.9;;
CHM;01.08.1865 00:00;12.4;;;;;;;;886.7;;;;;;;;;162.4;;;;;;;;;143.4;;
CHM;01.09.1865 00:00;14.5;;;;;;;;894.3;;;;;;;;;1.9;;;;;;;;;34.5;;
CHM;01.10.1865 00:00;6.7;;;;;;;;879.3;;;;;;;;;190;;;;;;;;;405.2;;
CHM;01.11.1865 00:00;2.3;;;;;;;;883.9;;;;;;;;;68.8;;;;;;;;;530.2;;
CHM;01.12.1865 00:00;-1.1;;;;;;;;890.4;;;;;;;;;11.6;;;;;;;;;654;;
CHM;01.01.1866 00:00;0.6;;;;;;;;;;;;;;;;;47.8;;;;;;;;;602.3;;
CHM;01.02.1866 00:00;0.8;;;;;;;;;;;;;;;;;101.7;;;;;;;;;538.5;;
CHM;01.03.1866 00:00;-0.1;;;;;;;;;;;;;;;;;105.1;;;;;;;;;622.3;;
CHM;01.04.1866 00:00;5.8;;;;;;;;;;;;;;;;;85.1;;;;;;;;;410.8;;
CHM;01.05.1866 00:00;6;;;;;;;;;;;;;;;;;165.7;;;;;;;;;435.3;;
CHM;01.06.1866 00:00;13.9;;;;;;;;;;;;;;;;;43.9;;;;;;;;;93.1;;
CHM;01.07.1866 00:00;13.6;;;;;;;;;;;;;;;;;91.5;;;;;;;;;143.8;;
CHM;01.08.1866 00:00;11.3;;;;;;;;;;;;;;;;;173.5;;;;;;;;;190;;
CHM;01.09.1866 00:00;11.2;;;;;;;;;;;;;;;;;97;;;;;;;;;204.9;;
CHM;01.10.1866 00:00;7.2;;;;;;;;;;;;;;;;;66;;;;;;;;;377.9;;
CHM;01.11.1866 00:00;0.8;;;;;;;;;;;;;;;;;74.5;;;;;;;;;577.4;;
CHM;01.12.1866 00:00;2;;;;;;;;;;;;;;;;;73.3;;;;;;;;;559.5;;
CHM;01.01.1867 00:00;-2.7;;;;;;;;;;;;;;;;;132.4;;;;;;;;;705.1;;
CHM;01.02.1867 00:00;1.9;;;;;;;;;;;;;;;;;33.5;;;;;;;;;507.5;;
CHM;01.03.1867 00:00;0.6;;;;;;;;;;;;;;;;;151.8;;;;;;;;;600.7;;
CHM;01.04.1867 00:00;4.3;;;;;;;;;;;;;;;;;125.3;;;;;;;;;471.6;;
CHM;01.05.1867 00:00;9.5;;;;;;;;;;;;;;;;;61.5;;;;;;;;;269.9;;
CHM;01.06.1867 00:00;11.8;;;;;;;;;;;;;;;;;190.6;;;;;;;;;162.7;;
CHM;01.07.1867 00:00;12.2;;;;;;;;;;;;;;;;;41;;;;;;;;;169.6;;
CHM;01.08.1867 00:00;14.8;;;;;;;;;;;;;;;;;80.8;;;;;;;;;85.1;;
CHM;01.09.1867 00:00;11.5;;;;;;;;;;;;;;;;;90.3;;;;;;;;;197.4;;
CHM;01.10.1867 00:00;4.2;;;;;;;;;;;;;;;;;88.9;;;;;;;;;490.2;;
CHM;01.11.1867 00:00;0.1;;;;;;;;;;;;;;;;;11.5;;;;;;;;;598;;
CHM;01.12.1867 00:00;-4.3;;;;;;;;;;;;;;;;;33.5;;;;;;;;;753.1;;
CHM;01.01.1868 00:00;-4.9;;;;;;;;;;;;;;;;;27.4;;;;;;;;;772.5;;
CHM;01.02.1868 00:00;0.1;;;;;;;;;;;;;;;;;5;;;;;;;;;577.2;;
CHM;01.03.1868 00:00;-0.9;;;;;;;;;;;;;;;;;48.9;;;;;;;;;648.3;;
CHM;01.04.1868 00:00;3.6;;;;;;;;;;;;;;;;;65.8;;;;;;;;;491.5;;
CHM;01.05.1868 00:00;14.5;;;;;;;;;;;;;;;;;36;;;;;;;;;71.5;;
CHM;01.06.1868 00:00;13.4;;;;;;;;;;;;;;;;;38.7;;;;;;;;;116.8;;
CHM;01.07.1868 00:00;14.8;;;;;;;;;;;;;;;;;119.4;;;;;;;;;111.1;;
CHM;01.08.1868 00:00;13.9;;;;;;;;;;;;;;;;;108.4;;;;;;;;;106.3;;
CHM;01.09.1868 00:00;13.5;;;;;;;;;;;;;;;;;157.8;;;;;;;;;130.5;;
CHM;01.10.1868 00:00;5.6;;;;;;;;;;;;;;;;;85.3;;;;;;;;;447.5;;
CHM;01.11.1868 00:00;-0.7;;;;;;;;;;;;;;;;;48.1;;;;;;;;;621.4;;
CHM;01.12.1868 00:00;2.8;;;;;;;;;;;;;;;;;119.6;;;;;;;;;531.7;;
