station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CIM;01.01.1982 00:00;-0.6;7.3;-11.1;;;;59.5;3.4;;;;;;2.5;;9;;7.9;77;;;;10008;61;;0;640;392;
CIM;01.02.1982 00:00;-2.5;7.5;-14.6;;;;66.9;3.4;;;;;;2.1;;7.6;;20.1;103;;;;8622;51;;0;629.6;405.6;11.8
CIM;01.03.1982 00:00;-2;8.6;-7.6;;;;61.1;3.2;832.3;;1464.3;;;2.8;25.6;10.1;92.2;61.4;157;;;;10829;50;43.4;0;680.5;432.5;49.6
CIM;01.04.1982 00:00;2.3;10.8;-5;;;;60.4;4.3;831.5;;1453.9;;;2.5;20.3;9;73.1;10.5;220;;;;13506;58;71.1;0;530.1;290.1;-5.7
CIM;01.05.1982 00:00;7;17.4;-3.8;;;;65.4;6.6;838.2;;1517.1;;;2.9;22.4;10.4;80.6;135.3;230;;;;12681;48;92.8;0;395.4;155.4;100.3
CIM;01.06.1982 00:00;11.5;19.7;3.5;;;;66.7;9.1;837;;1502.7;;;2.7;21;9.7;75.6;208;252;;;;14201;53;107.3;0;149;29;92.4
CIM;01.07.1982 00:00;14.1;23.3;5.1;;;;67.9;10.8;839.2;;1524.5;;;2.5;33.3;9;119.9;196.4;253;;;;14195;53;120.1;2.5;50.5;10.5;52.5
CIM;01.08.1982 00:00;11.9;18.3;2.3;;;;72.6;10.2;837.9;;1511.3;;;2.5;30.1;9;108.4;302.6;188;;;;10955;44;84.5;0;161.4;33.4;194.1
CIM;01.09.1982 00:00;11.2;18.5;4.8;;;;76.1;10.1;840.2;;1535.3;;;2.2;27.5;7.9;99;320.2;161;;;;11240;52;63.2;0;158.9;38.9;244.1
CIM;01.10.1982 00:00;4.5;12.7;-1.5;;;;71.7;6;832.8;;1464.9;;;2;15.2;7.2;54.7;152.5;108;;;;9250;47;34.5;0;480.2;232.2;114.7
CIM;01.11.1982 00:00;2.6;12.9;-5.9;;;;67.2;4.8;834.8;;1486.3;;;2.7;22.3;9.7;80.3;162;63;;;;5808;35;23.8;0;522.9;282.9;142.7
CIM;01.12.1982 00:00;-0.4;9.6;-7.6;;;;57.4;3.4;830.1;;1442;;;3;31.1;10.8;112;52.9;58;;;;7607;49;23.5;0;633.3;385.3;37.8
CIM;01.01.1983 00:00;2.7;12.3;-9.7;;;;43.6;3.1;839.9;;1535.7;;;3.3;35.4;11.9;127.4;7.8;82;;;;10474;64;37.3;0;537;289;-7.9
CIM;01.02.1983 00:00;-5.1;6.2;-11.9;;;;63.5;2.6;829.7;;1456.5;;;2.3;24.8;8.3;89.3;26.7;110;;;;7903;47;23.2;0;703.6;479.6;18.7
CIM;01.03.1983 00:00;1.2;11.7;-8.1;;;;60.3;3.9;832.6;;1480.5;;;2.5;38.6;9;139;76.2;153;;;;11173;52;49.7;0;581.9;333.9;64.2
CIM;01.04.1983 00:00;1.1;10.6;-6.2;;;;79.2;5.4;829.9;;1454.9;;;3;23.3;10.8;83.9;229.5;129;;;;5726;24;40.7;0;568.2;328.2;217.5
CIM;01.05.1983 00:00;4.8;12.8;-0.3;;;;77.1;6.6;830.7;;1459.6;;;3.6;32.8;13;118.1;432.4;141;;;;5691;22;57.7;0;472.2;224.2;424.4
CIM;01.06.1983 00:00;10.9;20.2;0.9;;;;67.5;8.8;839.1;;1539.9;;;2.3;23.5;8.3;84.6;108.7;255;;;;12713;48;107.9;0;221.7;53.7;1.2
CIM;01.07.1983 00:00;16.7;25.4;7.7;;;;59.9;11.2;840.9;;1555.8;;;2.2;23.1;7.9;83.2;60.3;287;;;;18652;69;141.8;22.6;25.9;1.9;-151.5
CIM;01.08.1983 00:00;12.3;18.8;6.5;;;;71.1;10.2;838.8;;1536.4;;;2.3;25.6;8.3;92.2;93.5;210;;;;11381;46;95.3;0;138.8;18.8;-18.9
CIM;01.09.1983 00:00;10.8;20.6;2.1;;;;65.1;8.4;838.5;;1534.3;;;2.6;31.2;9.4;112.3;362.1;175;;;;13127;60;69.6;0;224;56;253.6
CIM;01.10.1983 00:00;7.1;15.9;-1.4;;;;60.6;6.1;840.7;;1556.5;;;2.2;30.1;7.9;108.4;42.1;138;;;;13822;71;46.6;0;385.4;153.4;-18.9
CIM;01.11.1983 00:00;2.1;11.9;-8.3;;;;56.5;3.9;835.3;;1506.6;;;2.1;27.7;7.6;99.7;45.1;86;;;;10513;64;24.5;0;538.5;298.5;16
CIM;01.12.1983 00:00;-0.1;13.9;-10.1;;;;51.6;3.1;834.4;;1498.8;;;2.5;36.9;9;132.8;167.6;64;;;;9757;63;24.7;0;621.8;373.8;65.5
