station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GSB;01.01.1818 00:00;-7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1818 00:00;-7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1818 00:00;-6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1818 00:00;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1818 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1818 00:00;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1818 00:00;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1818 00:00;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1818 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1818 00:00;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1818 00:00;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1818 00:00;-7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1819 00:00;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1819 00:00;-9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1819 00:00;-11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1819 00:00;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1819 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1819 00:00;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1819 00:00;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1819 00:00;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1819 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1819 00:00;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1819 00:00;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1819 00:00;-7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1820 00:00;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1820 00:00;-7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1820 00:00;-8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1820 00:00;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1820 00:00;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1820 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1820 00:00;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1820 00:00;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1820 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1820 00:00;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1820 00:00;-6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1820 00:00;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1821 00:00;-4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1821 00:00;-8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1821 00:00;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1821 00:00;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1821 00:00;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1821 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1821 00:00;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1821 00:00;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1821 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1821 00:00;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1821 00:00;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1821 00:00;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1822 00:00;-10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1822 00:00;-5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1822 00:00;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1822 00:00;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1822 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1822 00:00;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1822 00:00;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1822 00:00;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1822 00:00;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1822 00:00;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1822 00:00;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1822 00:00;-9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1823 00:00;-9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1823 00:00;-7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1823 00:00;-7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1823 00:00;-3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1823 00:00;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1823 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1823 00:00;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1823 00:00;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1823 00:00;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1823 00:00;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1823 00:00;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1823 00:00;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1824 00:00;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1824 00:00;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1824 00:00;-9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1824 00:00;-3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1824 00:00;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1824 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1824 00:00;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1824 00:00;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1824 00:00;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1824 00:00;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1824 00:00;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1824 00:00;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1825 00:00;-8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1825 00:00;-8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1825 00:00;-7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1825 00:00;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1825 00:00;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1825 00:00;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1825 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1825 00:00;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1825 00:00;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1825 00:00;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1825 00:00;-4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1825 00:00;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1826 00:00;-11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1826 00:00;-6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1826 00:00;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1826 00:00;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1826 00:00;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1826 00:00;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1826 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1826 00:00;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1826 00:00;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1826 00:00;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1826 00:00;-9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1826 00:00;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1827 00:00;-12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1827 00:00;-11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1827 00:00;-5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1827 00:00;-3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.05.1827 00:00;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.06.1827 00:00;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.07.1827 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.08.1827 00:00;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.09.1827 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.10.1827 00:00;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.11.1827 00:00;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.12.1827 00:00;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1828 00:00;-4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1828 00:00;-8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.03.1828 00:00;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.04.1828 00:00;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
