station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CMA;01.04.1993 00:00;-2.8;5.2;-12.1;;;;;;;;;;;;29.4;;105.8;;;;;;;;;;682.9;442.9;
CMA;01.05.1993 00:00;2.1;12.7;-5.3;;;;;;;;;;;3.8;27.9;;100.4;;;;;;;;;;555.4;307.4;
CMA;01.06.1993 00:00;4.9;14.3;-2.6;;;;;;;;;;;4;29.5;;106.2;;;;;;;;;;452.1;212.1;
CMA;01.07.1993 00:00;5.3;15.6;-4.1;;;;;;;;;;;3.8;26.7;;96.1;;;;;;;;;;456;208;
CMA;01.08.1993 00:00;7.6;15.8;-3.1;;;;;;;;;;;3.7;24.7;;88.9;;;;;;;;;;377.9;137.9;
CMA;01.09.1993 00:00;2.1;12.6;-5.3;;;;;;;;;;;4.5;28.3;;101.9;;;;;;;;;;535.6;295.6;
CMA;01.10.1993 00:00;-0.8;4.6;-10.2;;;;;;;;;;;4.9;28;;100.8;;;;;;;;;;643.3;395.3;
CMA;01.11.1993 00:00;-4.9;5.4;-15.9;;;;;;;;;;;4.1;28.2;;101.5;;;;;;;;;;746.4;506.4;
CMA;01.12.1993 00:00;-6.2;6.4;-17.8;;;;;;;;;;;6.1;40.3;;145.1;;;;;;;;;;812.4;564.4;
CMA;01.01.1994 00:00;-6.6;2;-17.3;;;;;;;;;;;6.2;40.5;22.3;145.8;;;;;;;;;;825.4;577.4;
CMA;01.02.1994 00:00;-8.1;2.5;-17.7;;;;;;;;;;;4.4;23.6;15.8;85;;;;;;;;;;787.3;563.3;
CMA;01.03.1994 00:00;-2.4;5.4;-11.1;;;;;;;;;;;5.5;34.2;19.8;123.1;;;;;;;;;;695;447;
CMA;01.04.1994 00:00;-5.1;6.7;-13.5;;;;;;;;;;;4.9;31.6;17.6;113.8;;;;;;;;;;753.7;513.7;
CMA;01.05.1994 00:00;1.6;7.8;-6.3;;;;;;;;;;;4.2;27.4;15.1;98.6;;;;;;;;;;570.6;322.6;
CMA;01.06.1994 00:00;5.1;15.5;-6.1;;;;;;;;;;;4.7;32.5;16.9;117;;;;;;;;;;447.9;207.9;
CMA;01.07.1994 00:00;9.7;18.3;1.7;;;;;;;;;;;3.5;24.9;12.6;89.6;;;;;;;;;;292.5;76.5;
CMA;01.08.1994 00:00;8.7;18.6;0.7;;;;;;;;;;;3.4;25.8;12.2;92.9;;;;;;;;;;322.8;106.8;
CMA;01.09.1994 00:00;3.6;11.8;-6.9;;;;;;;;;;;4;23.1;14.4;83.2;;;;;;;;;;491.8;251.8;
CMA;01.10.1994 00:00;1.1;;;;;;;;;;;;;4;;14.4;;;;;;;;;;;546.7;314.7;
CMA;01.11.1994 00:00;0.1;7.4;-6.4;;;;;;;;;;;4.5;27.9;16.2;100.4;;;;;;;;;;597.8;357.8;
CMA;01.12.1994 00:00;-4.3;6.3;-15.9;;;;;;;;;;;4.7;35;16.9;126;;;;;;;;;;753.7;505.7;
CMA;01.01.1995 00:00;-9.5;1;-22.3;;;;;;;;;;;6.7;38.8;24.1;139.7;;;;;;;;;;913.1;665.1;
CMA;01.02.1995 00:00;-5.1;2;-14.7;;;;;;;;;;;4.9;34.6;17.6;124.6;;;;;;;;;;701.7;477.7;
CMA;01.03.1995 00:00;-8.2;2.3;-20.3;;;;;;;;;;;6.1;35.2;22;126.7;;;;;;;;;;874.9;626.9;
CMA;01.04.1995 00:00;-3;4.8;-12.6;;;;;;;;;;;5.9;34.4;21.2;123.8;;;;;;;;;;688.6;448.6;
CMA;01.05.1995 00:00;0.6;9.7;-10.3;;;;;;;;;;;4.1;25.6;14.8;92.2;;;;;;;;;;601.6;353.6;
CMA;01.06.1995 00:00;2.3;13.1;-4.7;;;;;;;;;;;3.4;26;12.2;93.6;;;;;;;;;;530.5;290.5;
CMA;01.07.1995 00:00;9.3;17.9;1.2;;;;;;;;;;;2.8;24;10.1;86.4;;;;;;;;;;298.5;90.5;
