station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
DAV;01.01.1864 00:00;-11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.02.1864 00:00;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.03.1864 00:00;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.04.1864 00:00;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.05.1864 00:00;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.06.1864 00:00;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.07.1864 00:00;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.08.1864 00:00;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.09.1864 00:00;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.10.1864 00:00;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.11.1864 00:00;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.12.1864 00:00;-7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1865 00:00;-7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.02.1865 00:00;-9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.03.1865 00:00;-8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.04.1865 00:00;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.05.1865 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.06.1865 00:00;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.07.1865 00:00;12.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.08.1865 00:00;9.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.09.1865 00:00;9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.10.1865 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.11.1865 00:00;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.12.1865 00:00;-6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1866 00:00;-5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.02.1866 00:00;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.03.1866 00:00;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.04.1866 00:00;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.05.1866 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.06.1866 00:00;10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.07.1866 00:00;10.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.08.1866 00:00;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.09.1866 00:00;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.10.1866 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.11.1866 00:00;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.12.1866 00:00;-4.7;;;;;;;;;;;;;;;;;112.2;;;;;;;;;;;
DAV;01.01.1867 00:00;-6.5;;;;;;;;823.7;;;;;;;;;123.2;;;;;;;;;822.3;;
DAV;01.02.1867 00:00;-2.4;;;;;;;;837.9;;;;;;;;;54.4;;;;;;;;;628.4;;
DAV;01.03.1867 00:00;-1.9;;;;;;;;824;;;;;;;;;34.2;;;;;;;;;679.3;;
DAV;01.04.1867 00:00;1.4;;;;;;;;830.2;;;;;;;;;119.9;;;;;;;;;557.9;;
DAV;01.05.1867 00:00;6.2;;;;;;;;832.4;;;;;;;;;91.4;;;;;;;;;406.2;;
DAV;01.06.1867 00:00;9.6;;;;;;;;835.8;;;;;;;;;65.6;;;;;;;;;276.2;;
DAV;01.07.1867 00:00;10.1;;;;;;;;835.2;;;;;;;;;46;;;;;;;;;260.9;;
DAV;01.08.1867 00:00;11.7;;;;;;;;836.9;;;;;;;;;70;;;;;;;;;168.9;;
DAV;01.09.1867 00:00;9.1;;;;;;;;837.9;;;;;;;;;80.5;;;;;;;;;271;;
DAV;01.10.1867 00:00;1.4;;;;;;;;833.1;;;;;;;;;118.9;;;;;;;;;576.6;;
DAV;01.11.1867 00:00;-3.9;;;;;;;;836.2;;;;;;;;;34.4;;;;;;;;;716.2;;
DAV;01.12.1867 00:00;-8.9;;;;;;;;826.3;;;;;;;;;143.3;;;;;;;;;897.4;;
