station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
DIS;01.01.1959 00:00;-1.9;7.3;-12.3;;;;71.1;3.9;879.7;;;;;;;;;77.9;;;;;5166;;;;679.7;;
DIS;01.02.1959 00:00;2.3;13;-7.3;;;;57.3;4.1;893.4;;;;;;;;;16.7;;;;;9702;;;;495.9;;
DIS;01.03.1959 00:00;5.6;15.5;-2.4;;;;65.6;5.9;882.3;;;;;;;;;48.6;;;;;6462;;;;447.5;;
DIS;01.04.1959 00:00;7;18.3;-3.7;;;;62.1;6.2;879;;;;;;;;;96.4;;;;;11220;;;;375.4;;
DIS;01.05.1959 00:00;11.1;20.6;0;;;;62.3;8.2;881.8;;;;;;;;;41.4;;;;;13980;;;;169;;
DIS;01.06.1959 00:00;13.8;25.3;2.3;;;;68.5;10.8;886.4;;;;;;;;;83.5;;;;;9156;;;;107;;
DIS;01.07.1959 00:00;17;28.8;6.1;;;;66.4;12.6;886.7;;;;;;;;;87.8;;;;;15474;;;;29.5;;
DIS;01.08.1959 00:00;14.7;26.5;5.4;;;;73.7;12.3;886.2;;;;;;;;;59.8;;;;;11940;;;;53.1;;
DIS;01.09.1959 00:00;14.4;23.7;5.5;;;;69.3;11.4;886.6;;;;;;;;;19.4;;;;;12972;;;;8.2;;
DIS;01.10.1959 00:00;8.4;19.9;-3.5;;;;67.9;7.4;885.2;;;;;;;;;138.9;;;;;10026;;;;360.8;;
DIS;01.11.1959 00:00;2.3;10.6;-4;;;;76.8;5.6;880.7;;;;;;;;;131.6;;;;;4752;;;;531.1;;
DIS;01.12.1959 00:00;0.6;9.7;-6.4;;;;81.3;5.3;875.6;;;;;;;;;123.2;;;;;3294;;;;602.9;;
DIS;01.01.1960 00:00;-2.1;8.5;-19;;;;78.7;4.4;880.1;;;;;;;;;44.2;;;;;4338;;;;683.8;;
DIS;01.02.1960 00:00;0.9;14.3;-12.5;;;;73;4.8;877.3;;;;;;;;;21.6;;;;;4956;;;;554.1;;
DIS;01.03.1960 00:00;3.8;13.8;-3.5;;;;71.9;5.8;877.6;;;;;;;;;83.2;;;;;6924;;;;503.5;;
DIS;01.04.1960 00:00;5.8;16.1;-3.9;;;;69.4;6.4;881.9;;;;;;;;;77.4;;;;;11298;;;;425.6;;
DIS;01.05.1960 00:00;11.6;22.4;-1.1;;;;64.7;8.9;884.1;;;;;;;;;78.8;;;;;13656;;;;181.1;;
DIS;01.06.1960 00:00;14.5;26.4;5;;;;68.4;11.2;886.4;;;;;;;;;105.6;;;;;12618;;;;57.5;;
DIS;01.07.1960 00:00;13.6;24.2;4.6;;;;71.7;11;884.3;;;;;;;;;178.6;;;;;10170;;;;75.9;;
DIS;01.08.1960 00:00;14.3;26.6;6.5;;;;72.1;11.6;883.9;;;;;;;;;194.1;;;;;12288;;;;72.1;;
DIS;01.09.1960 00:00;10.4;21.2;2;;;;77.5;9.6;883.4;;;;;;;;;257.4;;;;;8322;;;;228;;
DIS;01.10.1960 00:00;6.4;18;-1.8;;;;78;7.6;877.7;;;;;;;;;193.9;;;;;5202;;;;399.7;;
DIS;01.11.1960 00:00;3.8;12.5;-4;;;;77.6;6.2;880.1;;;;;;;;;105.9;;;;;4878;;;;484.9;;
DIS;01.12.1960 00:00;-0.6;8.2;-10.9;;;;74.7;4.4;875.4;;;;;;;;;127.2;;;;;3444;;;;640;;
DIS;01.01.1961 00:00;-0.9;8.4;-9.4;;;;71.5;4.1;880.4;;;;;0.8;;2.9;;27.1;;;;;4746;44;;;649.2;;
DIS;01.02.1961 00:00;1.9;11.2;-5.5;;;;75.6;5.2;888.7;;;;;1.1;;4;;149.2;;;;;6846;54;;;507.9;;
DIS;01.03.1961 00:00;3.5;15.6;-7.7;;;;66.2;5.1;889.7;;;;;0.8;;2.9;;45.2;;;;;12864;72;;;512.4;;
DIS;01.04.1961 00:00;8.8;19.8;2;;;;72.1;8.1;879.3;;;;;2;;7.2;;67.2;;;;;8190;39;;;321.3;;
DIS;01.05.1961 00:00;8.6;19.6;-1.5;;;;71.7;8;881.7;;;;;1.4;;5;;98.6;;;;;9738;41;;;320.8;;
DIS;01.06.1961 00:00;14.3;27.3;2.9;;;;70.2;11.4;885.5;;;;;1.1;;4;;93.2;;;;;13224;55;;;98;;
DIS;01.07.1961 00:00;14.2;27.4;5.6;;;;68.5;11;885.4;;;;;0.8;;2.9;;83.2;;;;;13554;56;;;82.5;;
DIS;01.08.1961 00:00;14.6;25.5;4.5;;;;69.5;11.5;888.1;;;;;0.8;;2.9;;114.9;;;;;14412;63;;;62.6;;
DIS;01.09.1961 00:00;16;26.2;6.4;;;;62.9;11.3;888.3;;;;;0.8;;2.9;;12.2;;;;;13212;70;;;26;;
DIS;01.10.1961 00:00;8.8;19.3;-2;;;;71.2;8.1;883.7;;;;;1.4;;5;;139;;;;;7854;53;;;296;;
DIS;01.11.1961 00:00;3.5;13.4;-5.6;;;;70.6;5.6;879.1;;;;;0.8;;2.9;;39.6;;;;;5406;49;;;494.8;;
DIS;01.12.1961 00:00;0.2;12.2;-10;;;;76.8;5;880.2;;;;;0.8;;2.9;;119.2;;;;;4776;50;;;613.1;;
DIS;01.01.1962 00:00;-0.5;7.3;-15.9;;;;76.6;4.7;883.7;;;;;1.1;;4;;90.9;;;;;5058;47;;;637;;
DIS;01.02.1962 00:00;-2.4;7.7;-14.6;;;;76.8;4.1;883.1;;;;;0.8;;2.9;;112.6;;;;;5826;47;;;626.1;;
DIS;01.03.1962 00:00;-1.2;11.9;-10.6;;;;70.8;4.1;874;;;;;2;;7.2;;68.6;;;;;9168;50;;;655.7;;
DIS;01.04.1962 00:00;5;20.1;-4.2;;;;69.1;6.1;881.4;;;;;2.4;;8.6;;84.3;;;;;9774;46;;;426.7;;
DIS;01.05.1962 00:00;8;21.8;-2.9;;;;74.2;8;882.4;;;;;1.7;;6.1;;105.2;;;;;9210;38;;;331.5;;
DIS;01.06.1962 00:00;12.7;27.4;-0.8;;;;65.1;9.9;887.5;;;;;1.4;;5;;55.4;;;;;13956;58;;;163.1;;
DIS;01.07.1962 00:00;14.7;27.2;5.2;;;;69.6;11.8;885.3;;;;;1.1;;4;;59.6;;;;;14082;58;;;60.9;;
DIS;01.08.1962 00:00;16.5;28;6.5;;;;70.9;13.2;887.2;;;;;0.6;;2.2;;91.3;;;;;16722;73;;;9;;
DIS;01.09.1962 00:00;12.3;27;1.4;;;;71.4;10.3;885.6;;;;;1.4;;5;;56.9;;;;;11322;59;;;163.4;;
DIS;01.10.1962 00:00;8.7;21.8;-2.9;;;;72.8;8.3;886.5;;;;;0.8;;2.9;;18.5;;;;;10320;68;;;302.8;;
DIS;01.11.1962 00:00;1.3;13.1;-10.2;;;;74.2;5.2;878.8;;;;;1.4;;5;;54.8;;;;;4746;43;;;560.2;;
