station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
EGH;01.11.1993 00:00;-6.6;4.1;-18.7;;;;;;;;;;;3.3;31.4;;113;;;;;;;;;;;556.8;
EGH;01.12.1993 00:00;-7.7;4.8;-17.6;;;;;;;;;;;5.9;32.1;21.2;115.6;;;;;;;;;;;591.5;
EGH;01.01.1994 00:00;-8;1.9;-18.5;;;;;;;;;;;5.4;41.6;;149.8;;;;;;;;;;;620.8;
EGH;01.02.1994 00:00;-8.5;3.3;-19.7;;;;;;;;;;;3.8;21.6;;77.8;;;;;;;;;;;573.6;
EGH;01.03.1994 00:00;-3.9;4.9;-13.7;;;;;;;;;;;5;32.4;;116.6;;;;;;;;;;;493.4;
EGH;01.04.1994 00:00;-4.3;9.5;-15.7;;;;;;;;;;;3.9;69.5;;250.2;;;;;;;;;;;488.2;
EGH;01.05.1994 00:00;0.5;9.1;-6.6;;;;;;;;;;;3.6;28.7;;103.3;;;;;;;;;;;355;
EGH;01.06.1994 00:00;3.2;15.4;-8.1;;;;;;;;;;;3.7;31.2;;112.3;;;;;;;;;;;264.3;
EGH;01.07.1994 00:00;7.9;;;;;;;;;;;;;2.5;;9;;;;;;;;;;;;117.8;
EGH;01.08.1994 00:00;6.8;17;-0.5;;;;;;;;;;;3.7;32.1;13.3;115.6;;;;;;;;;;;157.6;
EGH;01.09.1994 00:00;0.8;12.2;-40.8;;;;;;;;;;;3.7;29.1;;104.8;;;;;;;;;;;336.8;
EGH;01.10.1994 00:00;-0.9;8.4;-9.7;;;;;;;;;;;3.3;26;;93.6;;;;;;;;;;;398.8;
EGH;01.11.1994 00:00;-1.8;9.4;-9;;;;;;;;;;;4.4;28.9;;104;;;;;;;;;;;414.4;
EGH;01.12.1994 00:00;-6;5.1;-19.2;;;;;;;;;;;4.5;34.8;;125.3;;;;;;;;;;;557.5;
EGH;01.01.1995 00:00;-10.9;0.1;-21.9;;;;;;;;;;;6.8;40.8;;146.9;;;;;;;;;;;708.5;
EGH;01.02.1995 00:00;-6.8;6;-17.5;;;;;;;;;;;4.9;33.2;;119.5;;;;;;;;;;;526.3;
