station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
EIN;01.01.1864 00:00;-9;;;;;;;;;;;;;;;;;56.4;;;;;;;;;;;
EIN;01.02.1864 00:00;-3.9;;;;;;;;;;;;;;;;;67.4;;;;;;;;;;;
EIN;01.03.1864 00:00;2.2;;;;;;;;;;;;;;;;;106.5;;;;;;;;;;;
EIN;01.04.1864 00:00;4.1;;;;;;;;;;;;;;;;;119.6;;;;;;;;;;;
EIN;01.05.1864 00:00;9.9;;;;;;;;;;;;;;;;;215.4;;;;;;;;;;;
EIN;01.06.1864 00:00;12.2;;;;;;;;;;;;;;;;;315.8;;;;;;;;;;;
EIN;01.07.1864 00:00;14.6;;;;;;;;;;;;;;;;;204.2;;;;;;;;;;;
EIN;01.08.1864 00:00;12.7;;;;;;;;;;;;;;;;;127.2;;;;;;;;;;;
EIN;01.09.1864 00:00;10.2;;;;;;;;;;;;;;;;;117.1;;;;;;;;;;;
EIN;01.10.1864 00:00;5.5;;;;;;;;;;;;;;;;;33.8;;;;;;;;;;;
EIN;01.11.1864 00:00;0.8;;;;;;;;;;;;;;;;;93.3;;;;;;;;;;;
EIN;01.12.1864 00:00;-6.3;;;;;;;;;;;;;;;;;11.1;;;;;;;;;;;
EIN;01.01.1865 00:00;-1.8;;;;;;;;;;;;;;;;;123.8;;;;;;;;;;;
EIN;01.02.1865 00:00;-4.5;;;;;;;;;;;;;;;;;117.4;;;;;;;;;;;
EIN;01.03.1865 00:00;-3.7;;;;;;;;;;;;;;;;;138.2;;;;;;;;;;;
EIN;01.04.1865 00:00;7.4;;;;;;;;;;;;;;;;;5.9;;;;;;;;;;;
EIN;01.05.1865 00:00;12.6;;;;;;;;;;;;;;;;;115.7;;;;;;;;;;;
EIN;01.06.1865 00:00;13.1;;;;;;;;;;;;;;;;;74.4;;;;;;;;;;;
EIN;01.07.1865 00:00;15.9;;;;;;;;;;;;;;;;;344.4;;;;;;;;;;;
EIN;01.08.1865 00:00;13.5;;;;;;;;;;;;;;;;;307;;;;;;;;;;;
EIN;01.09.1865 00:00;12.4;;;;;;;;;;;;;;;;;4;;;;;;;;;;;
EIN;01.10.1865 00:00;7.2;;;;;;;;;;;;;;;;;161;;;;;;;;;;;
EIN;01.11.1865 00:00;2.6;;;;;;;;;;;;;;;;;75;;;;;;;;;;;
EIN;01.12.1865 00:00;-4.3;;;;;;;;;;;;;;;;;16.7;;;;;;;;;;;
EIN;01.01.1866 00:00;-0.2;;;;;;;;;;;;;;;;;68.5;;;;;;;;;;;
EIN;01.02.1866 00:00;1.3;;;;;;;;;;;;;;;;;179.8;;;;;;;;;;;
EIN;01.03.1866 00:00;1.2;;;;;;;;;;;;;;;;;154;;;;;;;;;;;
EIN;01.04.1866 00:00;6.6;;;;;;;;;;;;;;;;;135.6;;;;;;;;;;;
EIN;01.05.1866 00:00;7.6;;;;;;;;;;;;;;;;;139;;;;;;;;;;;
EIN;01.06.1866 00:00;14.5;;;;;;;;;;;;;;;;;101.9;;;;;;;;;;;
EIN;01.07.1866 00:00;14.8;;;;;;;;;;;;;;;;;155.7;;;;;;;;;;;
