station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ENG;01.01.1864 00:00;-6.7;;;;;;;;903.4;;;;;;;;;49.2;;;;;;;;;826.6;;
ENG;01.02.1864 00:00;-3.4;;;;;;;;893.7;;;;;;;;;71.1;;;;;;;;;679.9;;
ENG;01.03.1864 00:00;1.8;;;;;;;;890.6;;;;;;;;;64.2;;;;;;;;;564.3;;
ENG;01.04.1864 00:00;3.9;;;;;;;;898.9;;;;;;;;;165.8;;;;;;;;;482.6;;
ENG;01.05.1864 00:00;9.7;;;;;;;;897.7;;;;;;;;;251.1;;;;;;;;;261.8;;
ENG;01.06.1864 00:00;11.8;;;;;;;;900.4;;;;;;;;;268.2;;;;;;;;;162.1;;
ENG;01.07.1864 00:00;13.9;;;;;;;;901.5;;;;;;;;;260.3;;;;;;;;;55;;
ENG;01.08.1864 00:00;12.6;;;;;;;;902.3;;;;;;;;;133.5;;;;;;;;;151.6;;
ENG;01.09.1864 00:00;10.2;;;;;;;;902;;;;;;;;;132.2;;;;;;;;;249.2;;
ENG;01.10.1864 00:00;5.3;;;;;;;;893.9;;;;;;;;;89.6;;;;;;;;;441.9;;
ENG;01.11.1864 00:00;0.4;;;;;;;;893.9;;;;;;;;;81.6;;;;;;;;;589.2;;
ENG;01.12.1864 00:00;-4.4;;;;;;;;897;;;;;;;;;3.7;;;;;;;;;755.4;;
ENG;01.01.1865 00:00;-1.5;;;;;;;;889;;;;;;;;;83.8;;;;;;;;;666.3;;
ENG;01.02.1865 00:00;-4.6;;;;;;;;893.2;;;;;;;;;81.8;;;;;;;;;689;;
ENG;01.03.1865 00:00;-4.3;;;;;;;;889.5;;;;;;;;;111.2;;;;;;;;;753.9;;
ENG;01.04.1865 00:00;8.3;;;;;;;;902.8;;;;;;;;;2.6;;;;;;;;;301.5;;
ENG;01.05.1865 00:00;12.6;;;;;;;;901.1;;;;;;;;;121.8;;;;;;;;;127.9;;
ENG;01.06.1865 00:00;12.8;;;;;;;;903.4;;;;;;;;;152.2;;;;;;;;;99.4;;
ENG;01.07.1865 00:00;16;;;;;;;;902.4;;;;;;;;;274.2;;;;;;;;;45.6;;
ENG;01.08.1865 00:00;13;;;;;;;;900.2;;;;;;;;;288.1;;;;;;;;;124.9;;
ENG;01.09.1865 00:00;12.8;;;;;;;;907.9;;;;;;;;;4;;;;;;;;;104.1;;
ENG;01.10.1865 00:00;7.1;;;;;;;;893;;;;;;;;;145.6;;;;;;;;;385.4;;
ENG;01.11.1865 00:00;2.6;;;;;;;;898.3;;;;;;;;;78.2;;;;;;;;;523;;
ENG;01.12.1865 00:00;-2.8;;;;;;;;905;;;;;;;;;17.8;;;;;;;;;705.5;;
ENG;01.01.1866 00:00;-0.3;;;;;;;;901.6;;;;;;;;;65.8;;;;;;;;;629.1;;
ENG;01.02.1866 00:00;1;;;;;;;;895.1;;;;;;;;;139.7;;;;;;;;;532;;
ENG;01.03.1866 00:00;1.1;;;;;;;;888.9;;;;;;;;;109.4;;;;;;;;;585.8;;
ENG;01.04.1866 00:00;6.5;;;;;;;;897.6;;;;;;;;;134.3;;;;;;;;;393.6;;
ENG;01.05.1866 00:00;7.3;;;;;;;;897.5;;;;;;;;;165.6;;;;;;;;;372;;
ENG;01.06.1866 00:00;14.2;;;;;;;;901;;;;;;;;;113.2;;;;;;;;;59.9;;
ENG;01.07.1866 00:00;14.4;;;;;;;;900.3;;;;;;;;;219;;;;;;;;;44.6;;
ENG;01.08.1866 00:00;12.1;;;;;;;;898.8;;;;;;;;;369.7;;;;;;;;;156.6;;
ENG;01.09.1866 00:00;11.7;;;;;;;;899;;;;;;;;;181.2;;;;;;;;;196.9;;
ENG;01.10.1866 00:00;6.6;;;;;;;;901.6;;;;;;;;;26.2;;;;;;;;;386.2;;
ENG;01.11.1866 00:00;1;;;;;;;;898.7;;;;;;;;;209.2;;;;;;;;;571.1;;
ENG;01.12.1866 00:00;0.5;;;;;;;;901.7;;;;;;;;;118.7;;;;;;;;;604;;
ENG;01.01.1867 00:00;-2.7;;;;;;;;890;;;;;;;;;189.7;;;;;;;;;704;;
ENG;01.02.1867 00:00;2.7;;;;;;;;904.8;;;;;;;;;98;;;;;;;;;483.5;;
ENG;01.03.1867 00:00;1.6;;;;;;;;890.3;;;;;;;;;153.5;;;;;;;;;569.6;;
ENG;01.04.1867 00:00;6.1;;;;;;;;897.5;;;;;;;;;249.8;;;;;;;;;409.8;;
ENG;01.05.1867 00:00;10.2;;;;;;;;898.1;;;;;;;;;179.5;;;;;;;;;250.3;;
ENG;01.06.1867 00:00;13.2;;;;;;;;901.5;;;;;;;;;218.6;;;;;;;;;94.7;;
ENG;01.07.1867 00:00;13.9;;;;;;;;900.8;;;;;;;;;82.1;;;;;;;;;87.3;;
ENG;01.08.1867 00:00;14.8;;;;;;;;902.2;;;;;;;;;182.4;;;;;;;;;53.3;;
