station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
EVI;01.09.1993 00:00;13.9;26.9;3.6;;;;76.6;12.1;;;;;;4.1;19.8;;71.3;;;;;;;;;;;12.6;
EVI;01.10.1993 00:00;9.6;23.6;0.8;;;;77.4;9.1;;;;;;3.9;28.8;;103.7;;;;;;;;;;;92;
EVI;01.11.1993 00:00;4;16.3;-3.9;;;;76.9;6.5;;;;;;3.5;22.8;;82.1;;;;;;;;;;;240.7;
EVI;01.12.1993 00:00;3.3;14.8;-5.2;;;;74.7;5.8;;;;;;4.2;34.6;15.1;124.6;;;;;;;;;;;259.8;
EVI;01.01.1994 00:00;3;13.8;-5.3;;;;73.1;5.6;;;;;;4.8;31.5;;113.4;;;;;;;;;;;277.6;
EVI;01.02.1994 00:00;4.5;16.8;-4.8;;;;63;5.2;;;;;;5.2;24.1;;86.8;;;;;;;;;;;210.3;
EVI;01.03.1994 00:00;9.9;20.5;2;;;;62.8;7.6;;;;;;4;20.7;;74.5;;;;;;;;;;;76.9;
EVI;01.04.1994 00:00;7.8;23.6;-0.6;;;;71.8;7.5;;;;;;4.1;23.5;;84.6;;;;;;;;;;;141.9;
EVI;01.05.1994 00:00;14.3;25.1;7;;;;72.4;11.5;;;;;;3.9;20.7;;74.5;;;;;;;;;;;8.1;
EVI;01.06.1994 00:00;17.5;29;4.4;;;;64.8;13;;;;;;4.1;27;14.8;97.2;;;;;;;;;;;5.1;
EVI;01.07.1994 00:00;21.8;32.1;12.7;;;;63.8;16.3;;;;;;4.1;17.3;;62.3;;;;;;;;;;;0;
EVI;01.08.1994 00:00;20;31.2;11.1;;;;68.5;15.8;;;;;;3.9;19.3;;69.5;;;;;;;;;;;0;
EVI;01.09.1994 00:00;14.5;25;5;;;;77.6;12.7;;;;;;3.6;18.6;13;67;;;;;;;;;;;18.8;
EVI;01.10.1994 00:00;10.9;20.4;2.9;;;;75.9;9.9;;;;;;3.6;24.2;;87.1;;;;;;;;;;;56.3;
EVI;01.11.1994 00:00;8.3;20.8;0.8;;;;80.9;8.9;;;;;;3;21.8;;78.5;;;;;;;;;;;112.9;
