station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
FRU;01.01.1901 00:00;;;;;;;;;;;;;;;;;;58.9;;;;;;;;;;;
FRU;01.02.1901 00:00;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;
FRU;01.03.1901 00:00;;;;;;;;;;;;;;;;;;87.3;;;;;;;;;;;
FRU;01.04.1901 00:00;;;;;;;;;;;;;;;;;;179.1;;;;;;;;;;;
FRU;01.05.1901 00:00;;;;;;;;;;;;;;;;;;57.3;;;;;;;;;;;
FRU;01.06.1901 00:00;;;;;;;;;;;;;;;;;;180;;;;;;;;;;;
FRU;01.07.1901 00:00;;;;;;;;;;;;;;;;;;116.5;;;;;;;;;;;
FRU;01.08.1901 00:00;;;;;;;;;;;;;;;;;;147;;;;;;;;;;;
FRU;01.09.1901 00:00;;;;;;;;;;;;;;;;;;148.8;;;;;;;;;;;
FRU;01.10.1901 00:00;;;;;;;;;;;;;;;;;;66.9;;;;;;;;;;;
FRU;01.11.1901 00:00;;;;;;;;;;;;;;;;;;29.3;;;;;;;;;;;
FRU;01.12.1901 00:00;;;;;;;;;;;;;;;;;;93.1;;;;;;;;;;;
FRU;01.01.1902 00:00;;;;;;;;;;;;;;;;;;53.2;;;;;;;;;;;
FRU;01.02.1902 00:00;;;;;;;;;;;;;;;;;;62.4;;;;;;;;;;;
FRU;01.03.1902 00:00;;;;;;;;;;;;;;;;;;183.8;;;;;;;;;;;
FRU;01.04.1902 00:00;;;;;;;;;;;;;;;;;;56.7;;;;;;;;;;;
FRU;01.05.1902 00:00;;;;;;;;;;;;;;;;;;134.8;;;;;;;;;;;
FRU;01.06.1902 00:00;;;;;;;;;;;;;;;;;;70.4;;;;;;;;;;;
FRU;01.07.1902 00:00;;;;;;;;;;;;;;;;;;136.7;;;;;;;;;;;
FRU;01.08.1902 00:00;;;;;;;;;;;;;;;;;;155.9;;;;;;;;;;;
FRU;01.09.1902 00:00;;;;;;;;;;;;;;;;;;84.8;;;;;;;;;;;
FRU;01.10.1902 00:00;;;;;;;;;;;;;;;;;;91.2;;;;;;;;;;;
FRU;01.11.1902 00:00;;;;;;;;;;;;;;;;;;31.5;;;;;;;;;;;
FRU;01.12.1902 00:00;;;;;;;;;;;;;;;;;;119.4;;;;;;;;;;;
FRU;01.01.1903 00:00;;;;;;;;;;;;;;;;;;49.4;;;;;;;;;;;
FRU;01.02.1903 00:00;;;;;;;;;;;;;;;;;;50.5;;;;;;;;;;;
FRU;01.03.1903 00:00;;;;;;;;;;;;;;;;;;63.2;;;;;;;;;;;
FRU;01.04.1903 00:00;;;;;;;;;;;;;;;;;;77;;;;;;;;;;;
FRU;01.05.1903 00:00;;;;;;;;;;;;;;;;;;86.1;;;;;;;;;;;
FRU;01.06.1903 00:00;;;;;;;;;;;;;;;;;;86.4;;;;;;;;;;;
FRU;01.07.1903 00:00;;;;;;;;;;;;;;;;;;162.5;;;;;;;;;;;
FRU;01.08.1903 00:00;;;;;;;;;;;;;;;;;;105.6;;;;;;;;;;;
FRU;01.09.1903 00:00;;;;;;;;;;;;;;;;;;48.2;;;;;;;;;;;
FRU;01.10.1903 00:00;;;;;;;;;;;;;;;;;;146.4;;;;;;;;;;;
FRU;01.11.1903 00:00;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;
FRU;01.12.1903 00:00;;;;;;;;;;;;;;;;;;46.9;;;;;;;;;;;
FRU;01.01.1904 00:00;;;;;;;;;;;;;;;;;;43.7;;;;;;;;;;;
FRU;01.02.1904 00:00;;;;;;;;;;;;;;;;;;105.8;;;;;;;;;;;
FRU;01.03.1904 00:00;;;;;;;;;;;;;;;;;;56.7;;;;;;;;;;;
FRU;01.04.1904 00:00;;;;;;;;;;;;;;;;;;128.8;;;;;;;;;;;
FRU;01.05.1904 00:00;;;;;;;;;;;;;;;;;;117.2;;;;;;;;;;;
FRU;01.06.1904 00:00;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;
FRU;01.07.1904 00:00;;;;;;;;;;;;;;;;;;62.2;;;;;;;;;;;
FRU;01.08.1904 00:00;;;;;;;;;;;;;;;;;;156.7;;;;;;;;;;;
FRU;01.09.1904 00:00;;;;;;;;;;;;;;;;;;89.6;;;;;;;;;;;
FRU;01.10.1904 00:00;;;;;;;;;;;;;;;;;;49.6;;;;;;;;;;;
FRU;01.11.1904 00:00;;;;;;;;;;;;;;;;;;31.7;;;;;;;;;;;
FRU;01.12.1904 00:00;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;
FRU;01.01.1905 00:00;;;;;;;;;;;;;;;;;;39.5;;;;;;;;;;;
FRU;01.02.1905 00:00;;;;;;;;;;;;;;;;;;32.4;;;;;;;;;;;
FRU;01.03.1905 00:00;;;;;;;;;;;;;;;;;;115.2;;;;;;;;;;;
FRU;01.04.1905 00:00;;;;;;;;;;;;;;;;;;125.1;;;;;;;;;;;
FRU;01.05.1905 00:00;;;;;;;;;;;;;;;;;;95.8;;;;;;;;;;;
FRU;01.06.1905 00:00;;;;;;;;;;;;;;;;;;118.9;;;;;;;;;;;
FRU;01.07.1905 00:00;;;;;;;;;;;;;;;;;;159.4;;;;;;;;;;;
FRU;01.08.1905 00:00;;;;;;;;;;;;;;;;;;227.6;;;;;;;;;;;
FRU;01.09.1905 00:00;;;;;;;;;;;;;;;;;;151.1;;;;;;;;;;;
FRU;01.10.1905 00:00;;;;;;;;;;;;;;;;;;127.3;;;;;;;;;;;
FRU;01.11.1905 00:00;;;;;;;;;;;;;;;;;;109.5;;;;;;;;;;;
FRU;01.12.1905 00:00;;;;;;;;;;;;;;;;;;39.6;;;;;;;;;;;
FRU;01.01.1906 00:00;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;
FRU;01.02.1906 00:00;;;;;;;;;;;;;;;;;;64.8;;;;;;;;;;;
FRU;01.03.1906 00:00;;;;;;;;;;;;;;;;;;63.4;;;;;;;;;;;
FRU;01.04.1906 00:00;;;;;;;;;;;;;;;;;;60.3;;;;;;;;;;;
FRU;01.05.1906 00:00;;;;;;;;;;;;;;;;;;115;;;;;;;;;;;
FRU;01.06.1906 00:00;;;;;;;;;;;;;;;;;;89.8;;;;;;;;;;;
FRU;01.07.1906 00:00;;;;;;;;;;;;;;;;;;108.6;;;;;;;;;;;
FRU;01.08.1906 00:00;;;;;;;;;;;;;;;;;;67.5;;;;;;;;;;;
FRU;01.09.1906 00:00;;;;;;;;;;;;;;;;;;29.3;;;;;;;;;;;
FRU;01.10.1906 00:00;;;;;;;;;;;;;;;;;;44.4;;;;;;;;;;;
FRU;01.11.1906 00:00;;;;;;;;;;;;;;;;;;47.9;;;;;;;;;;;
FRU;01.12.1906 00:00;;;;;;;;;;;;;;;;;;124.8;;;;;;;;;;;
FRU;01.01.1907 00:00;;;;;;;;;;;;;;;;;;83.6;;;;;;;;;;;
FRU;01.02.1907 00:00;;;;;;;;;;;;;;;;;;71.3;;;;;;;;;;;
FRU;01.03.1907 00:00;;;;;;;;;;;;;;;;;;112.9;;;;;;;;;;;
FRU;01.04.1907 00:00;;;;;;;;;;;;;;;;;;93.3;;;;;;;;;;;
FRU;01.05.1907 00:00;;;;;;;;;;;;;;;;;;89.1;;;;;;;;;;;
FRU;01.06.1907 00:00;;;;;;;;;;;;;;;;;;134.1;;;;;;;;;;;
FRU;01.07.1907 00:00;;;;;;;;;;;;;;;;;;139.2;;;;;;;;;;;
FRU;01.08.1907 00:00;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;
FRU;01.09.1907 00:00;;;;;;;;;;;;;;;;;;58.5;;;;;;;;;;;
FRU;01.10.1907 00:00;;;;;;;;;;;;;;;;;;75.7;;;;;;;;;;;
FRU;01.11.1907 00:00;;;;;;;;;;;;;;;;;;16.1;;;;;;;;;;;
FRU;01.12.1907 00:00;;;;;;;;;;;;;;;;;;104.6;;;;;;;;;;;
FRU;01.01.1908 00:00;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;
FRU;01.02.1908 00:00;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;
FRU;01.03.1908 00:00;;;;;;;;;;;;;;;;;;48.8;;;;;;;;;;;
FRU;01.04.1908 00:00;;;;;;;;;;;;;;;;;;82.7;;;;;;;;;;;
FRU;01.05.1908 00:00;;;;;;;;;;;;;;;;;;119.1;;;;;;;;;;;
FRU;01.06.1908 00:00;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;
FRU;01.07.1908 00:00;;;;;;;;;;;;;;;;;;139.1;;;;;;;;;;;
FRU;01.08.1908 00:00;;;;;;;;;;;;;;;;;;74.8;;;;;;;;;;;
FRU;01.09.1908 00:00;;;;;;;;;;;;;;;;;;137.7;;;;;;;;;;;
FRU;01.10.1908 00:00;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;
FRU;01.11.1908 00:00;;;;;;;;;;;;;;;;;;67.5;;;;;;;;;;;
FRU;01.12.1908 00:00;;;;;;;;;;;;;;;;;;46.4;;;;;;;;;;;
FRU;01.01.1909 00:00;;;;;;;;;;;;;;;;;;42.2;;;;;;;;;;;
FRU;01.02.1909 00:00;;;;;;;;;;;;;;;;;;14.4;;;;;;;;;;;
FRU;01.03.1909 00:00;;;;;;;;;;;;;;;;;;69.9;;;;;;;;;;;
FRU;01.04.1909 00:00;;;;;;;;;;;;;;;;;;46.8;;;;;;;;;;;
FRU;01.05.1909 00:00;;;;;;;;;;;;;;;;;;72.9;;;;;;;;;;;
FRU;01.06.1909 00:00;;;;;;;;;;;;;;;;;;156;;;;;;;;;;;
