station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GVE;01.01.1950 00:00;;5.1;0;;;;;;969.9;;;;;;;;;88;;;;;;;;;;;
GVE;01.02.1950 00:00;;1.4;0;;;;;;966.2;;;;;;;;;63;;;;;;;;;;;
GVE;01.03.1950 00:00;;1.8;0;;;;;;969.1;;;;;;;;;8;;;;;;;;;;;
GVE;01.04.1950 00:00;;2.4;0.1;;;;;;961.2;;;;;;;;;48.6;;;;;;;;;;;
GVE;01.05.1950 00:00;;3;0.4;;;;;;965.9;;;;;;;;;50;;;;;;;;;;;
GVE;01.06.1950 00:00;;3.7;0.8;;;;;;968.8;;;;;;;;;38;;;;;;;;;;;
GVE;01.07.1950 00:00;;3.7;0.9;;;;;;966.9;;;;;;;;;45;;;;;;;;;;;
GVE;01.08.1950 00:00;;3.1;0.7;;;;;;965.7;;;;;;;;;101.6;;;;;;;;;;;
GVE;01.09.1950 00:00;;2.8;0.3;;;;;;967.4;;;;;;;;;129;;;;;;;;;;;
GVE;01.10.1950 00:00;;2.1;0;;;;;;969.7;;;;;;;;;22;;;;;;;;;;;
GVE;01.11.1950 00:00;;1.4;0;;;;;;963.8;;;;;;;;;317.3;;;;;;;;;;;
GVE;01.12.1950 00:00;;5.2;0;;;;;;958.9;;;;;;;;;41.9;;;;;;;;;;;
GVE;01.01.1951 00:00;;9.8;0;;;;;;963.4;;;;;;;;;67.1;;;;;;;;;;;
GVE;01.02.1951 00:00;;11.5;0;;;;;;959.2;;;;;;;;;109.1;;;;;;;;;;;
GVE;01.03.1951 00:00;;19.9;0.1;;;;;;960.1;;;;;;;;;105.4;;;;;;;;;;;
GVE;01.04.1951 00:00;;23;0.2;;;;;;966.2;;;;;;;;;43.6;;;;;;;;;;;
GVE;01.05.1951 00:00;;27.6;1.6;;;;;;961.4;;;;;;;;;93;;;;;;;;;;;
GVE;01.06.1951 00:00;;31.2;7.4;;;;;;966.9;;;;;;;;;69.5;;;;;;;;;;;
GVE;01.07.1951 00:00;;32;7;;;;;;968.8;;;;;;;;;59.4;;;;;;;;;;;
GVE;01.08.1951 00:00;;29.9;7.5;;;;;;965.9;;;;;;;;;92.3;;;;;;;;;;;
GVE;01.09.1951 00:00;;28.4;3.1;;;;;;968;;;;;;;;;54.7;;;;;;;;;;;
GVE;01.10.1951 00:00;;20.6;0;;;;;;967.2;;;;;;;;;61.1;;;;;;;;;;;
GVE;01.11.1951 00:00;;15.4;0.4;;;;;;961.6;;;;;;;;;137.8;;;;;;;;;;;
GVE;01.12.1951 00:00;;;0.2;;;;;;971.5;;;;;;;;;39.1;;;;;;;;;;;
GVE;01.01.1952 00:00;;;0;;;;;;965.1;;;;;;;;;74.1;;;;;;;;;;;
GVE;01.02.1952 00:00;;9.7;0;;;;;;967.4;;;;;;;;;35;;;;;;;;;;;
GVE;01.03.1952 00:00;;19;2;;;;;;962.7;;;;;;;;;96.9;;;;;;;;;;;
GVE;01.04.1952 00:00;;24;0.5;;;;;;966;;;;;;;;;39.8;;;;;;;;;;;
GVE;01.05.1952 00:00;;25.7;3;;;;;;966.2;;;;;;;;;58.1;;;;;;;;;;;
GVE;01.06.1952 00:00;;32.5;7.1;;;;;;968.7;;;;;;;;;80.3;;;;;;;;;;;
GVE;01.07.1952 00:00;;36.8;7.2;;;;;;967.8;;;;;;;;;21.2;;;;;;;;;;;
GVE;01.08.1952 00:00;;34.2;6.5;;;;;;965.8;;;;;;;;;101.9;;;;;;;;;;;
GVE;01.09.1952 00:00;;25.2;0.1;;;;;;965.7;;;;;;;;;96.5;;;;;;;;;;;
GVE;01.10.1952 00:00;;18.6;0.1;;;;;;965.9;;;;;;;;;187.2;;;;;;;;;;;
GVE;01.11.1952 00:00;;15.5;0;;;;;;963.6;;;;;;;;;185.5;;;;;;;;;;;
GVE;01.12.1952 00:00;;;0;;;;;;963.4;;;;;;;;;102.1;;;;;;;;;;;
GVE;01.01.1953 00:00;;;0.8;;;;;;;;;;;;;;;1.6;;;;;;;;;;;
GVE;01.02.1953 00:00;;;0;;;;;;;;;;;;;;;23.5;;;;;;;;;;;
GVE;01.03.1953 00:00;;21.3;-5.4;;;;;;;;;;;;;;;1.3;;;;;;;;;;;
GVE;01.04.1953 00:00;;25.2;-1.3;;;;;;;;;;;;;;;39.7;;;;;;;;;;;
GVE;01.05.1953 00:00;;31.6;-1.3;;;;;;;;;;;;;;;36.4;;;;;;;;;;;
GVE;01.06.1953 00:00;;28.4;2.2;;;;;;;;;;;;;;;195.9;;;;;;;;;;;
GVE;01.07.1953 00:00;;31.7;6.2;;;;;;;;;;;;;;;29.2;;;;;;;;;;;
GVE;01.08.1953 00:00;;32.6;6.7;;;;;;;;;;;;;;;36.1;;;;;;;;;;;
GVE;01.09.1953 00:00;;30.5;4.4;;;;;;;;;;;;;;;116;;;;;;;;;;;
GVE;01.10.1953 00:00;;20.9;-1.5;;;;;;;;;;;;;;;50.7;;;;;;;;;;;
GVE;01.11.1953 00:00;;14.4;-2.7;;;;;;;;;;;;;;;30;;;;;;;;;;;
GVE;01.12.1953 00:00;;14.2;-4.8;;;;;;;;;;;;;;;17.6;;;;;;;;;;;
