station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GLA;01.01.1864 00:00;-7.4;;;;;;;;;;;;;;;;;34.8;;;;;;;;;;;
GLA;01.02.1864 00:00;-1.2;;;;;;;;;;;;;;;;;24.3;;;;;;;;;;;
GLA;01.03.1864 00:00;5.3;;;;;;;;;;;;;;;;;71.9;;;;;;;;;;;
GLA;01.04.1864 00:00;7;;;;;;;;;;;;;;;;;141.3;;;;;;;;;;;
GLA;01.05.1864 00:00;12.6;;;;;;;;;;;;;;;;;214.3;;;;;;;;;;;
GLA;01.06.1864 00:00;14.5;;;;;;;;;;;;;;;;;250.9;;;;;;;;;;;
GLA;01.07.1864 00:00;16.8;;;;;;;;;;;;;;;;;279;;;;;;;;;;;
GLA;01.08.1864 00:00;15.4;;;;;;;;;;;;;;;;;157.4;;;;;;;;;;;
GLA;01.09.1864 00:00;13.2;;;;;;;;;;;;;;;;;144.3;;;;;;;;;;;
GLA;01.10.1864 00:00;8.7;;;;;;;;;;;;;;;;;43.7;;;;;;;;;;;
GLA;01.11.1864 00:00;3.4;;;;;;;;;;;;;;;;;100.3;;;;;;;;;;;
GLA;01.12.1864 00:00;-3.1;;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;
GLA;01.01.1865 00:00;-0.4;;;;;;;;;;;;;;;;;86.3;;;;;;;;;;;
GLA;01.02.1865 00:00;-2.6;;;;;;;;;;;;;;;;;80.2;;;;;;;;;;;
GLA;01.03.1865 00:00;-1;;;;;;;;;;;;;;;;;80.9;;;;;;;;;;;
GLA;01.04.1865 00:00;11.9;;;;;;;;;;;;;;;;;5.7;;;;;;;;;;;
GLA;01.05.1865 00:00;15.5;;;;;;;;;;;;;;;;;85.7;;;;;;;;;;;
GLA;01.06.1865 00:00;16;;;;;;;;;;;;;;;;;115.2;;;;;;;;;;;
GLA;01.07.1865 00:00;18.4;;;;;;;;;;;;;;;;;278.7;;;;;;;;;;;
