station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GRC;01.01.1864 00:00;-4.9;;;;;;;;;;;;;;;;;0.7;;;;;;;;;770.4;;
GRC;01.02.1864 00:00;-4.5;;;;;;;;;;;;;;;;;27;;;;;;;;;709.2;;
GRC;01.03.1864 00:00;0;;;;;;;;;;;;;;;;;0;;;;;;;;;619.6;;
GRC;01.04.1864 00:00;2.9;;;;;;;;;;;;;;;;;18.2;;;;;;;;;512.3;;
GRC;01.05.1864 00:00;8.3;;;;;;;;;;;;;;;;;67.5;;;;;;;;;334.8;;
GRC;01.06.1864 00:00;9.8;;;;;;;;;;;;;;;;;103.9;;;;;;;;;265.1;;
GRC;01.07.1864 00:00;13.4;;;;;;;;;;;;;;;;;42.4;;;;;;;;;106.5;;
GRC;01.08.1864 00:00;11.7;;;;;;;;;;;;;;;;;15.1;;;;;;;;;178.5;;
GRC;01.09.1864 00:00;8.8;;;;;;;;;;;;;;;;;27.6;;;;;;;;;301.7;;
GRC;01.10.1864 00:00;3.6;;;;;;;;;;;;;;;;;162.1;;;;;;;;;507.3;;
GRC;01.11.1864 00:00;-0.4;;;;;;;;;;;;;;;;;21.7;;;;;;;;;611.9;;
GRC;01.12.1864 00:00;-2.6;;;;;;;;;;;;;;;;;0;;;;;;;;;700.8;;
GRC;01.01.1865 00:00;-4;;;;;;;;;;;;;;;;;47;;;;;;;;;745.5;;
GRC;01.02.1865 00:00;-6.8;;;;;;;;;;;;;;;;;20;;;;;;;;;750;;
GRC;01.03.1865 00:00;-6.7;;;;;;;;;;;;;;;;;41.3;;;;;;;;;826.5;;
GRC;01.04.1865 00:00;6.9;;;;;;;;;;;;;;;;;0;;;;;;;;;393.9;;
GRC;01.05.1865 00:00;9.9;;;;;;;;;;;;;;;;;57.1;;;;;;;;;282.6;;
GRC;01.06.1865 00:00;12.5;;;;;;;;;;;;;;;;;34.1;;;;;;;;;122.6;;
GRC;01.07.1865 00:00;14.6;;;;;;;;;;;;;;;;;71.8;;;;;;;;;88.6;;
GRC;01.08.1865 00:00;11.3;;;;;;;;;;;;;;;;;96.5;;;;;;;;;202.7;;
GRC;01.09.1865 00:00;12.4;;;;;;;;;;;;;;;;;0;;;;;;;;;97.5;;
GRC;01.10.1865 00:00;4.5;;;;;;;;;;;;;;;;;33.7;;;;;;;;;479.6;;
GRC;01.11.1865 00:00;0.8;;;;;;;;;;;;;;;;;79.6;;;;;;;;;574.7;;
GRC;01.12.1865 00:00;-1.5;;;;;;;;;;;;;;;;;12.1;;;;;;;;;665.7;;
GRC;01.01.1866 00:00;-1.3;;;;;;;;;;;;;;;;;22.4;;;;;;;;;659.6;;
GRC;01.02.1866 00:00;-1.2;;;;;;;;;;;;;;;;;51.2;;;;;;;;;593.6;;
GRC;01.03.1866 00:00;-1.5;;;;;;;;;;;;;;;;;20.5;;;;;;;;;665.3;;
GRC;01.04.1866 00:00;3.7;;;;;;;;;;;;;;;;;21.2;;;;;;;;;490.4;;
GRC;01.05.1866 00:00;5.7;;;;;;;;;;;;;;;;;78.9;;;;;;;;;443.1;;
GRC;01.06.1866 00:00;12.3;;;;;;;;;;;;;;;;;23.4;;;;;;;;;133;;
GRC;01.07.1866 00:00;13.5;;;;;;;;;;;;;;;;;40.7;;;;;;;;;98.2;;
GRC;01.08.1866 00:00;10.1;;;;;;;;;;;;;;;;;121;;;;;;;;;253.1;;
GRC;01.09.1866 00:00;9.3;;;;;;;;;;;;;;;;;111.9;;;;;;;;;296.6;;
GRC;01.10.1866 00:00;5.4;;;;;;;;;;;;;;;;;14.3;;;;;;;;;453.1;;
GRC;01.11.1866 00:00;-0.5;;;;;;;;;;;;;;;;;36.6;;;;;;;;;613.9;;
GRC;01.12.1866 00:00;0.4;;;;;;;;;;;;;;;;;19.2;;;;;;;;;606.6;;
GRC;01.01.1867 00:00;-4.2;;;;;;;;;;;;;;;;;69.2;;;;;;;;;749.6;;
GRC;01.02.1867 00:00;-0.5;;;;;;;;;;;;;;;;;33.4;;;;;;;;;573.2;;
GRC;01.03.1867 00:00;0.1;;;;;;;;;;;;;;;;;58.8;;;;;;;;;616.6;;
GRC;01.04.1867 00:00;3.4;;;;;;;;;;;;;;;;;36.8;;;;;;;;;499.4;;
GRC;01.05.1867 00:00;8.4;;;;;;;;;;;;;;;;;20.8;;;;;;;;;303.4;;
GRC;01.06.1867 00:00;11.2;;;;;;;;;;;;;;;;;43.8;;;;;;;;;194.5;;
GRC;01.07.1867 00:00;12.2;;;;;;;;;;;;;;;;;19.5;;;;;;;;;153.4;;
GRC;01.08.1867 00:00;13.4;;;;;;;;;;;;;;;;;43.6;;;;;;;;;115.2;;
GRC;01.09.1867 00:00;10.9;;;;;;;;;;;;;;;;;21.8;;;;;;;;;209.2;;
GRC;01.10.1867 00:00;2.8;;;;;;;;;;;;;;;;;60;;;;;;;;;532.2;;
GRC;01.11.1867 00:00;-1.1;;;;;;;;;;;;;;;;;17;;;;;;;;;633.1;;
GRC;01.12.1867 00:00;-5.9;;;;;;;;;;;;;;;;;32.4;;;;;;;;;801.4;;
GRC;01.01.1868 00:00;-5.3;;;;;;;;;;;;;;;;;41.4;;;;;;;;;785.4;;
GRC;01.02.1868 00:00;-1.8;;;;;;;;;;;;;;;;;0;;;;;;;;;632.1;;
GRC;01.03.1868 00:00;-2.8;;;;;;;;;;;;;;;;;33.5;;;;;;;;;707.8;;
GRC;01.04.1868 00:00;2.5;;;;;;;;;;;;;;;;;8.9;;;;;;;;;526.4;;
GRC;01.05.1868 00:00;12;;;;;;;;;;;;;;;;;35.3;;;;;;;;;170.1;;
GRC;01.06.1868 00:00;12.1;;;;;;;;;;;;;;;;;101.2;;;;;;;;;135.4;;
GRC;01.07.1868 00:00;13.1;;;;;;;;;;;;;;;;;65.9;;;;;;;;;147.4;;
GRC;01.08.1868 00:00;12.6;;;;;;;;;;;;;;;;;53.7;;;;;;;;;164.7;;
GRC;01.09.1868 00:00;11.3;;;;;;;;;;;;;;;;;81.9;;;;;;;;;199;;
GRC;01.10.1868 00:00;4.4;;;;;;;;;;;;;;;;;152.7;;;;;;;;;485.1;;
GRC;01.11.1868 00:00;-2;;;;;;;;;;;;;;;;;38;;;;;;;;;659.2;;
GRC;01.12.1868 00:00;0.5;;;;;;;;;;;;;;;;;73.8;;;;;;;;;604;;
GRC;01.01.1869 00:00;-4.5;;;;;;;;;;;;;;;;;0;;;;;;;;;759.6;;
