station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GRH;01.01.1868 00:00;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
GRH;01.02.1868 00:00;;;;;;;;;;;;;;;;;;54.9;;;;;;;;;;;
GRH;01.03.1868 00:00;;;;;;;;;;;;;;;;;;458;;;;;;;;;;;
GRH;01.04.1868 00:00;;;;;;;;;;;;;;;;;;270.3;;;;;;;;;;;
GRH;01.05.1868 00:00;;;;;;;;;;;;;;;;;;66.9;;;;;;;;;;;
GRH;01.06.1868 00:00;;;;;;;;;;;;;;;;;;127.4;;;;;;;;;;;
GRH;01.07.1868 00:00;;;;;;;;;;;;;;;;;;115;;;;;;;;;;;
GRH;01.08.1868 00:00;;;;;;;;;;;;;;;;;;109.5;;;;;;;;;;;
GRH;01.09.1868 00:00;;;;;;;;;;;;;;;;;;142.1;;;;;;;;;;;
GRH;01.10.1868 00:00;;;;;;;;;;;;;;;;;;316.3;;;;;;;;;;;
GRH;01.11.1868 00:00;;;;;;;;;;;;;;;;;;116.1;;;;;;;;;;;
GRH;01.12.1868 00:00;;;;;;;;;;;;;;;;;;160.9;;;;;;;;;;;
GRH;01.01.1869 00:00;;;;;;;;;;;;;;;;;;164.7;;;;;;;;;;;
GRH;01.02.1869 00:00;;;;;;;;;;;;;;;;;;81.2;;;;;;;;;;;
GRH;01.03.1869 00:00;;;;;;;;;;;;;;;;;;279;;;;;;;;;;;
GRH;01.04.1869 00:00;;;;;;;;;;;;;;;;;;112.4;;;;;;;;;;;
GRH;01.05.1869 00:00;;;;;;;;;;;;;;;;;;248.7;;;;;;;;;;;
GRH;01.06.1869 00:00;;;;;;;;;;;;;;;;;;219.8;;;;;;;;;;;
GRH;01.07.1869 00:00;;;;;;;;;;;;;;;;;;74.4;;;;;;;;;;;
GRH;01.08.1869 00:00;;;;;;;;;;;;;;;;;;161.6;;;;;;;;;;;
GRH;01.09.1869 00:00;;;;;;;;;;;;;;;;;;56.4;;;;;;;;;;;
GRH;01.10.1869 00:00;;;;;;;;;;;;;;;;;;100.7;;;;;;;;;;;
GRH;01.11.1869 00:00;;;;;;;;;;;;;;;;;;271.7;;;;;;;;;;;
GRH;01.12.1869 00:00;;;;;;;;;;;;;;;;;;250.3;;;;;;;;;;;
GRH;01.01.1870 00:00;;;;;;;;;;;;;;;;;;86.7;;;;;;;;;;;
GRH;01.02.1870 00:00;;;;;;;;;;;;;;;;;;51.1;;;;;;;;;;;
GRH;01.03.1870 00:00;;;;;;;;;;;;;;;;;;145.4;;;;;;;;;;;
GRH;01.04.1870 00:00;;;;;;;;;;;;;;;;;;75.3;;;;;;;;;;;
GRH;01.05.1870 00:00;;;;;;;;;;;;;;;;;;35.4;;;;;;;;;;;
GRH;01.06.1870 00:00;;;;;;;;;;;;;;;;;;84.2;;;;;;;;;;;
GRH;01.07.1870 00:00;;;;;;;;;;;;;;;;;;74.4;;;;;;;;;;;
GRH;01.08.1870 00:00;;;;;;;;;;;;;;;;;;238.1;;;;;;;;;;;
GRH;01.09.1870 00:00;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;
GRH;01.10.1870 00:00;;;;;;;;;;;;;;;;;;404.9;;;;;;;;;;;
GRH;01.11.1870 00:00;;;;;;;;;;;;;;;;;;209;;;;;;;;;;;
GRH;01.12.1870 00:00;;;;;;;;;;;;;;;;;;97.2;;;;;;;;;;;
GRH;01.01.1871 00:00;;;;;;;;;;;;;;;;;;52.1;;;;;;;;;;;
GRH;01.02.1871 00:00;;;;;;;;;;;;;;;;;;79.7;;;;;;;;;;;
GRH;01.03.1871 00:00;;;;;;;;;;;;;;;;;;128.3;;;;;;;;;;;
GRH;01.04.1871 00:00;;;;;;;;;;;;;;;;;;310.8;;;;;;;;;;;
GRH;01.05.1871 00:00;;;;;;;;;;;;;;;;;;70.9;;;;;;;;;;;
GRH;01.06.1871 00:00;;;;;;;;;;;;;;;;;;396.8;;;;;;;;;;;
GRH;01.07.1871 00:00;;;;;;;;;;;;;;;;;;140.1;;;;;;;;;;;
GRH;01.08.1871 00:00;;;;;;;;;;;;;;;;;;39.1;;;;;;;;;;;
GRH;01.09.1871 00:00;;;;;;;;;;;;;;;;;;5.5;;;;;;;;;;;
GRH;01.10.1871 00:00;;;;;;;;;;;;;;;;;;61.6;;;;;;;;;;;
GRH;01.11.1871 00:00;;;;;;;;;;;;;;;;;;133.8;;;;;;;;;;;
GRH;01.12.1871 00:00;;;;;;;;;;;;;;;;;;43.7;;;;;;;;;;;
GRH;01.01.1872 00:00;;;;;;;;;;;;;;;;;;103.5;;;;;;;;;;;
GRH;01.02.1872 00:00;;;;;;;;;;;;;;;;;;100.7;;;;;;;;;;;
GRH;01.03.1872 00:00;;;;;;;;;;;;;;;;;;111.2;;;;;;;;;;;
GRH;01.04.1872 00:00;;;;;;;;;;;;;;;;;;195.1;;;;;;;;;;;
GRH;01.05.1872 00:00;;;;;;;;;;;;;;;;;;405.2;;;;;;;;;;;
GRH;01.06.1872 00:00;;;;;;;;;;;;;;;;;;208.8;;;;;;;;;;;
GRH;01.07.1872 00:00;;;;;;;;;;;;;;;;;;79;;;;;;;;;;;
GRH;01.01.1932 00:00;-2.8;;;;;;;;;;;;;;;;;188.3;;;;;;;;;706.9;;
GRH;01.02.1932 00:00;-8.8;;;;;;;;;;;;;;;;;20.3;;;;;;;;;834;;
