station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
GRO;01.01.1901 00:00;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;
GRO;01.02.1901 00:00;;;;;;;;;;;;;;;;;;76.2;;;;;;;;;;;
GRO;01.03.1901 00:00;;;;;;;;;;;;;;;;;;273;;;;;;;;;;;
GRO;01.04.1901 00:00;;;;;;;;;;;;;;;;;;142.1;;;;;;;;;;;
GRO;01.05.1901 00:00;;;;;;;;;;;;;;;;;;82.1;;;;;;;;;;;
GRO;01.06.1901 00:00;;;;;;;;;;;;;;;;;;276;;;;;;;;;;;
GRO;01.07.1901 00:00;;;;;;;;;;;;;;;;;;322;;;;;;;;;;;
GRO;01.08.1901 00:00;;;;;;;;;;;;;;;;;;120.3;;;;;;;;;;;
GRO;01.09.1901 00:00;;;;;;;;;;;;;;;;;;122.6;;;;;;;;;;;
GRO;01.10.1901 00:00;;;;;;;;;;;;;;;;;;200.9;;;;;;;;;;;
GRO;01.11.1901 00:00;;;;;;;;;;;;;;;;;;28.2;;;;;;;;;;;
GRO;01.12.1901 00:00;;;;;;;;;;;;;;;;;;186.5;;;;;;;;;;;
GRO;01.01.1902 00:00;;;;;;;;;;;;;;;;;;30.6;;;;;;;;;;;
GRO;01.02.1902 00:00;;;;;;;;;;;;;;;;;;108.8;;;;;;;;;;;
GRO;01.03.1902 00:00;;;;;;;;;;;;;;;;;;111.8;;;;;;;;;;;
GRO;01.04.1902 00:00;;;;;;;;;;;;;;;;;;81.2;;;;;;;;;;;
GRO;01.05.1902 00:00;;;;;;;;;;;;;;;;;;70.5;;;;;;;;;;;
GRO;01.06.1902 00:00;;;;;;;;;;;;;;;;;;151.5;;;;;;;;;;;
GRO;01.07.1902 00:00;;;;;;;;;;;;;;;;;;170.9;;;;;;;;;;;
GRO;01.08.1902 00:00;;;;;;;;;;;;;;;;;;201.8;;;;;;;;;;;
GRO;01.09.1902 00:00;;;;;;;;;;;;;;;;;;168.8;;;;;;;;;;;
GRO;01.10.1902 00:00;;;;;;;;;;;;;;;;;;143.5;;;;;;;;;;;
GRO;01.11.1902 00:00;;;;;;;;;;;;;;;;;;92.5;;;;;;;;;;;
GRO;01.12.1902 00:00;;;;;;;;;;;;;;;;;;72.2;;;;;;;;;;;
GRO;01.01.1903 00:00;;;;;;;;;;;;;;;;;;57.4;;;;;;;;;;;
GRO;01.02.1903 00:00;;;;;;;;;;;;;;;;;;30.4;;;;;;;;;;;
GRO;01.03.1903 00:00;;;;;;;;;;;;;;;;;;59.4;;;;;;;;;;;
GRO;01.04.1903 00:00;;;;;;;;;;;;;;;;;;140.9;;;;;;;;;;;
GRO;01.05.1903 00:00;;;;;;;;;;;;;;;;;;298.6;;;;;;;;;;;
GRO;01.06.1903 00:00;;;;;;;;;;;;;;;;;;135.5;;;;;;;;;;;
GRO;01.07.1903 00:00;;;;;;;;;;;;;;;;;;184.1;;;;;;;;;;;
GRO;01.08.1903 00:00;;;;;;;;;;;;;;;;;;173.5;;;;;;;;;;;
GRO;01.09.1903 00:00;;;;;;;;;;;;;;;;;;72.9;;;;;;;;;;;
GRO;01.10.1903 00:00;;;;;;;;;;;;;;;;;;225.9;;;;;;;;;;;
GRO;01.11.1903 00:00;;;;;;;;;;;;;;;;;;58.7;;;;;;;;;;;
GRO;01.12.1903 00:00;;;;;;;;;;;;;;;;;;166.7;;;;;;;;;;;
GRO;01.01.1904 00:00;;;;;;;;;;;;;;;;;;23.8;;;;;;;;;;;
