station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
HLL;01.07.1886 00:00;18;;;;;;;;;;;;;;;;;79.3;;;;;;;;;;;
HLL;01.08.1886 00:00;17.4;;;;;;;;;;;;;;;;;113.4;;;;;;;;;;;
HLL;01.09.1886 00:00;15.6;;;;;;;;;;;;;;;;;23.5;;;;;;;;;;;
HLL;01.10.1886 00:00;9.4;;;;;;;;;;;;;;;;;97.6;;;;;;;;;;;
HLL;01.11.1886 00:00;4.5;;;;;;;;;;;;;;;;;81.4;;;;;;;;;;;
HLL;01.12.1886 00:00;0.3;;;;;;;;;;;;;;;;;149.1;;;;;;;;;;;
HLL;01.01.1887 00:00;-4.3;;;;;;;;;;;;;;;;;10.7;;;;;;;;;;;
HLL;01.02.1887 00:00;-2.2;;;;;;;;;;;;;;;;;7.6;;;;;;;;;;;
HLL;01.03.1887 00:00;0.8;;;;;;;;;;;;;;;;;62;;;;;;;;;;;
HLL;01.04.1887 00:00;8;;;;;;;;;;;;;;;;;21.7;;;;;;;;;;;
HLL;01.05.1887 00:00;10.1;;;;;;;;;;;;;;;;;112.1;;;;;;;;;;;
HLL;01.06.1887 00:00;17.4;;;;;;;;;;;;;;;;;40.6;;;;;;;;;;;
HLL;01.07.1887 00:00;20.1;;;;;;;;;;;;;;;;;89.1;;;;;;;;;;;
HLL;01.08.1887 00:00;16.5;;;;;;;;;;;;;;;;;72.4;;;;;;;;;;;
HLL;01.09.1887 00:00;11.9;;;;;;;;;;;;;;;;;70.5;;;;;;;;;;;
HLL;01.10.1887 00:00;5.1;;;;;;;;;;;;;;;;;54.5;;;;;;;;;;;
HLL;01.11.1887 00:00;2.2;;;;;;;;;;;;;;;;;30.3;;;;;;;;;;;
HLL;01.12.1887 00:00;-2.1;;;;;;;;;;;;;;;;;89.1;;;;;;;;;;;
HLL;01.01.1888 00:00;-3.5;;;;;;;;;;;;;;;;;21;;;;;;;;;;;
HLL;01.02.1888 00:00;-1.4;;;;;;;;;;;;;;;;;28.4;;;;;;;;;;;
HLL;01.03.1888 00:00;2;;;;;;;;;;;;;;;;;183.6;;;;;;;;;;;
HLL;01.04.1888 00:00;6.4;;;;;;;;;;;;;;;;;63.1;;;;;;;;;;;
HLL;01.05.1888 00:00;13.9;;;;;;;;;;;;;;;;;24.3;;;;;;;;;;;
HLL;01.06.1888 00:00;16.6;;;;;;;;;;;;;;;;;134.2;;;;;;;;;;;
HLL;01.07.1888 00:00;15.3;;;;;;;;;;;;;;;;;103.8;;;;;;;;;;;
HLL;01.08.1888 00:00;15.5;;;;;;;;;;;;;;;;;114.1;;;;;;;;;;;
HLL;01.09.1888 00:00;14;;;;;;;;;;;;;;;;;160.7;;;;;;;;;;;
HLL;01.10.1888 00:00;5.6;;;;;;;;;;;;;;;;;130.7;;;;;;;;;;;
HLL;01.11.1888 00:00;3.9;;;;;;;;;;;;;;;;;40.2;;;;;;;;;;;
HLL;01.12.1888 00:00;-2.2;;;;;;;;;;;;;;;;;7.5;;;;;;;;;;;
HLL;01.01.1889 00:00;-2.9;;;;;;;;;;;;;;;;;18.3;;;;;;;;;;;
HLL;01.02.1889 00:00;-2.5;;;;;;;;;;;;;;;;;90.8;;;;;;;;;;;
HLL;01.03.1889 00:00;0.7;;;;;;;;;;;;;;;;;38;;;;;;;;;;;
HLL;01.04.1889 00:00;7;;;;;;;;;;;;;;;;;53.9;;;;;;;;;;;
HLL;01.05.1889 00:00;14.6;;;;;;;;;;;;;;;;;40.8;;;;;;;;;;;
HLL;01.06.1889 00:00;18.1;;;;;;;;;;;;;;;;;98.8;;;;;;;;;;;
HLL;01.07.1889 00:00;16.9;;;;;;;;;;;;;;;;;82.7;;;;;;;;;;;
HLL;01.08.1889 00:00;15.6;;;;;;;;;;;;;;;;;59.3;;;;;;;;;;;
HLL;01.09.1889 00:00;11.9;;;;;;;;;;;;;;;;;60.4;;;;;;;;;;;
HLL;01.10.1889 00:00;7.7;;;;;;;;;;;;;;;;;106.8;;;;;;;;;;;
HLL;01.11.1889 00:00;2.6;;;;;;;;;;;;;;;;;36;;;;;;;;;;;
HLL;01.12.1889 00:00;-2.4;;;;;;;;;;;;;;;;;13.6;;;;;;;;;;;
HLL;01.01.1890 00:00;0.7;;;;;;;;;;;;;;;;;87.8;;;;;;;;;;;
