station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
JUN;01.01.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;6300;;;;;;
JUN;01.02.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;5700;;;;;;
JUN;01.03.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;10800;;;;;;
JUN;01.04.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;10500;;;;;;
JUN;01.05.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;11700;;;;;;
JUN;01.06.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;14700;;;;;;
JUN;01.07.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;13800;;;;;;
JUN;01.08.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;11400;;;;;;
JUN;01.09.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;8700;;;;;;
JUN;01.10.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;10500;;;;;;
JUN;01.11.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;5700;;;;;;
JUN;01.12.1931 00:00;;;;;;;;;;;;;;;;;;;;;;;8700;;;;;;
JUN;01.01.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;9000;;;;;;
JUN;01.02.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;10800;;;;;;
JUN;01.03.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;7500;;;;;;
JUN;01.04.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;8100;;;;;;
JUN;01.05.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;9000;;;;;;
JUN;01.06.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;12600;;;;;;
JUN;01.07.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;10500;;;;;;
JUN;01.08.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;13800;;;;;;
JUN;01.09.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;9180;;;;;;
JUN;01.10.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;5400;;;;;;
JUN;01.11.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;8220;;;;;;
JUN;01.12.1932 00:00;;;;;;;;;;;;;;;;;;;;;;;6180;;;;;;
JUN;01.01.1933 00:00;-15.4;;;;;;79.2;1.6;648.2;;;;;10.5;;37.8;;;;;;;6300;;;;1098.3;;
JUN;01.02.1933 00:00;-13.7;;;;;;77.5;1.9;646.6;;;;;9.9;;35.6;;;;;;;6000;;;;943.4;;
JUN;01.03.1933 00:00;-11;;;;;;69;1.8;651;;;;;7.7;;27.7;;;;;;;11580;;;;962.5;;
JUN;01.04.1933 00:00;-8.2;;;;;;70.8;2.4;652.9;;;;;8.3;;29.9;;;;;;;11160;;;;846.2;;
JUN;01.05.1933 00:00;-6.4;;;;;;79.8;3;653.1;;;;;8.8;;31.7;;;;;;;7500;;;;818.7;;
JUN;01.06.1933 00:00;-3.1;;;;;;85;4.1;653.2;;;;;6.7;;24.1;;;;;;;8700;;;;694.4;;
JUN;01.07.1933 00:00;2.6;;;;;;68.5;5;663.8;;;;;5.7;;20.5;;;;;;;16980;;;;538.9;;
JUN;01.08.1933 00:00;2.3;;;;;;71.3;5.1;663.6;;;;;6.2;;22.3;;;;;;;15480;;;;547.6;;
JUN;01.09.1933 00:00;-1.8;;;;;;89.2;4.7;660;;;;;8.3;;29.9;;;;;;;9180;;;;654.4;;
JUN;01.10.1933 00:00;-6.6;;;;;;79.1;3.2;654.6;;;;;8.8;;31.7;;;;;;;8040;;;;824.1;;
JUN;01.11.1933 00:00;-13;;;;;;83.1;2;645.5;;;;;9.9;;35.6;;;;;;;4080;;;;991.3;;
JUN;01.12.1933 00:00;-13.7;;;;;;73.2;1.6;645.4;;;;;6.7;;24.1;;;;;;;7740;;;;1044.5;;
JUN;01.01.1934 00:00;-13.5;;;;;;83.9;1.8;652.2;;;;;9.4;;33.8;;;;;;;6780;;;;1040;;
JUN;01.02.1934 00:00;-10.9;;;;;;56.9;1.4;654.4;;;;;7.7;;27.7;;;;;;;10620;;;;866.1;;
JUN;01.03.1934 00:00;-12.9;;;;;;81;1.9;643.5;;;;;8.3;;29.9;;;;;;;7140;;;;1018.8;;
JUN;01.04.1934 00:00;-8.4;;;;;;82.4;2.6;649.5;;;;;7.7;;27.7;;;;;;;8340;;;;852.3;;
JUN;01.05.1934 00:00;-3.4;;;;;;75.7;3.6;657.6;;;;;5.7;;20.5;;;;;;;10860;;;;724.6;;
JUN;01.06.1934 00:00;-1.5;;;;;;81.3;4.4;658.2;;;;;6.2;;22.3;;;;;;;10860;;;;644.4;;
JUN;01.07.1934 00:00;1;;;;;;67.6;4.3;661.8;;;;;5.7;;20.5;;;;;;;15300;;;;588.6;;
JUN;01.08.1934 00:00;-0.1;;;;;;75.4;4.4;658.7;;;;;5.7;;20.5;;;;;;;11220;;;;623.3;;
JUN;01.09.1934 00:00;-0.9;;;;;;67.9;3.7;661.8;;;;;5.7;;20.5;;;;;;;12300;;;;627.9;;
JUN;01.10.1934 00:00;-5.6;;;;;;69.8;2.7;657.2;;;;;9.4;;33.8;;;;;;;8700;;;;794.3;;
JUN;01.11.1934 00:00;-10.1;;;;;;69.6;1.9;651.2;;;;;9.9;;35.6;;;;;;;6360;;;;903.5;;
JUN;01.12.1934 00:00;-9.9;;;;;;85.3;2.5;649;;;;;9.9;;35.6;;;;;;;4620;;;;925.6;;
JUN;01.01.1935 00:00;-16.4;;;;;;76.5;1.3;646.3;;;;;11.7;;42.1;;;;;;;6720;;;;1129.6;;
JUN;01.02.1935 00:00;-14.6;;;;;;84.3;1.7;644.4;;;;;12.3;;44.3;;;;;;;4500;;;;967.5;;
JUN;01.03.1935 00:00;-14.1;;;;;;72.5;1.5;650.2;;;;;8.8;;31.7;;;;;;;10200;;;;1056.8;;
JUN;01.04.1935 00:00;-12.1;;;;;;88.9;2.2;647.7;;;;;9.9;;35.6;;;;;;;5400;;;;962.3;;
JUN;01.05.1935 00:00;-6.9;;;;;;81.9;3.1;652;;;;;7.2;;25.9;;;;;;;9420;;;;832.8;;
JUN;01.06.1935 00:00;-0.5;;;;;;72.4;4.2;661.5;;;;;6.7;;24.1;;;;;;;14400;;;;614.8;;
JUN;01.07.1935 00:00;0.4;;;;;;67.5;4.2;663;;;;;5.3;;19.1;;;;;;;15960;;;;607.6;;
JUN;01.08.1935 00:00;-0.8;;;;;;73.2;4.1;660;;;;;4.8;;17.3;;;;;;;11880;;;;646.2;;
JUN;01.09.1935 00:00;-1.2;;;;;;60.2;3.4;660.7;;;;;7.7;;27.7;;;;;;;11460;;;;636.3;;
JUN;01.10.1935 00:00;-6.3;;;;;;85.5;3.3;653;;;;;9.9;;35.6;;;;;;;3900;;;;816.4;;
JUN;01.11.1935 00:00;-9.9;;;;;;76.5;2.2;650.1;;;;;9.4;;33.8;;;;;;;4380;;;;896.7;;
JUN;01.12.1935 00:00;-14.7;;;;;;84.9;1.8;640.8;;;;;11.1;;40;;;;;;;3360;;;;1076.5;;
JUN;01.01.1936 00:00;-11.7;;;;;;91.2;2.4;645.8;;;;;11.1;;40;;;;;;;2700;;;;981.4;;
JUN;01.02.1936 00:00;-14;;;;;;74.1;1.7;642.2;;;;;8.8;;31.7;;;;;;;6000;;;;985.2;;
JUN;01.03.1936 00:00;-11.7;;;;;;70.7;1.8;647.8;;;;;8.3;;29.9;;;;;;;9420;;;;982.5;;
JUN;01.04.1936 00:00;-10.4;;;;;;77.2;2.2;647.3;;;;;9.9;;35.6;;;;;;;7200;;;;912.1;;
JUN;01.05.1936 00:00;-4.4;;;;;;57.7;2.6;652.6;;;;;4.4;;15.8;;;;;;;12120;;;;755.1;;
JUN;01.06.1936 00:00;-2.7;;;;;;70.5;3.3;658;;;;;6.7;;24.1;;;;;;;7440;;;;682;;
JUN;01.07.1936 00:00;-0.6;;;;;;63.9;3.6;659.8;;;;;6.2;;22.3;;;;;;;9360;;;;639.6;;
JUN;01.08.1936 00:00;0;;;;;;42.1;2.4;662.8;;;;;5.3;;19.1;;;;;;;16320;;;;620.6;;
JUN;01.09.1936 00:00;-3.1;;;;;;71.2;3.3;659.3;;;;;8.8;;31.7;;;;;;;8160;;;;692.4;;
JUN;01.10.1936 00:00;-8.6;;;;;;50.9;1.5;652.8;;;;;9.9;;35.6;;;;;;;10080;;;;887.1;;
JUN;01.11.1936 00:00;-11.3;;;;;;63.3;1.6;651.2;;;;;8.8;;31.7;;;;;;;6840;;;;937.8;;
JUN;01.12.1936 00:00;-11.4;;;;;;70;1.8;654.5;;;;;9.4;;33.8;;;;;;;7500;;;;974.3;;
JUN;01.01.1937 00:00;-11.4;;;;;;78.7;2.1;650.2;;;;;11.7;;42.1;;;;;;;5160;;;;974.9;;
JUN;01.02.1937 00:00;-13.2;;;;;;92.8;2.1;644.7;;;;;16.9;;60.8;;;;;;;2100;;;;928.6;;
