station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
KOP;01.12.1960 00:00;-0.1;13.3;-13;;;;85.7;5.3;953.6;;;;;;;;;51.2;;;;;1962;13;;;622.8;;
KOP;01.01.1961 00:00;-0.6;8.2;-8.6;;;;86.4;5.2;959.1;;;;;3.5;;12.6;;84;;;;;1038;6;;;639.2;;
KOP;01.02.1961 00:00;4;17.5;-2.4;;;;81.2;6.6;967.3;;;;;3.9;;14;;65;;;;;6744;40;;;447.6;;
KOP;01.03.1961 00:00;5.4;19.8;-6;;;;73.9;6.6;968.3;;;;;2.7;;9.7;;21.4;;;;;12690;60;;;452.2;;
KOP;01.04.1961 00:00;10.5;23;0.8;;;;78;9.8;955.4;;;;;2.7;;9.7;;117.6;;;;;7692;33;;;253.2;;
KOP;01.05.1961 00:00;11.2;25;-0.8;;;;73.1;9.8;958.9;;;;;3.5;;12.6;;44.8;;;;;10782;40;;;219.9;;
KOP;01.06.1961 00:00;16.2;29.9;4.7;;;;73.2;13.7;961.2;;;;;2.4;;8.6;;86.6;;;;;13236;50;;;41.4;;
KOP;01.07.1961 00:00;16.2;31;5.6;;;;71.5;13.1;961.4;;;;;3.1;;11.2;;148.8;;;;;14490;53;;;8;;
KOP;01.08.1961 00:00;16.3;30;5.7;;;;74.7;13.9;963.7;;;;;3.1;;11.2;;107.5;;;;;15054;60;;;16.7;;
KOP;01.09.1961 00:00;16.8;29.6;3.8;;;;76.8;14.6;962.7;;;;;2;;7.2;;20.3;;;;;12348;57;;;16.2;;
KOP;01.10.1961 00:00;9.4;21.7;-2.5;;;;84.9;10.3;959.4;;;;;2.7;;9.7;;84.3;;;;;6366;33;;;287;;
KOP;01.11.1961 00:00;3.4;11;-2.5;;;;85.8;6.8;956.2;;;;;2.7;;9.7;;26.4;;;;;1734;11;;;498;;
KOP;01.12.1961 00:00;1;15;-10.5;;;;84.7;6.1;958.5;;;;;3.9;;14;;106.1;;;;;2778;19;;;587.8;;
KOP;01.01.1962 00:00;0.4;11.4;-10.2;;;;83.4;5.5;962.6;;;;;4.4;;15.8;;117;;;;;3528;22;;;608.5;;
KOP;01.02.1962 00:00;-0.3;9.5;-13;;;;82.7;5.1;963.5;;;;;3.9;;14;;57.3;;;;;4002;24;;;567.6;;
KOP;01.03.1962 00:00;1.2;15;-7.8;;;;77.2;5.4;952.7;;;;;4.4;;15.8;;74.1;;;;;7782;36;;;582.3;;
KOP;01.04.1962 00:00;7.6;24.3;-3;;;;74.1;7.8;958.3;;;;;3.9;;14;;64.5;;;;;10890;46;;;321.4;;
KOP;01.05.1962 00:00;10.4;27.1;-3;;;;75.7;9.7;959.6;;;;;3.5;;12.6;;131.8;;;;;9348;35;;;243.3;;
KOP;01.06.1962 00:00;14.7;30.8;-1.1;;;;66.3;11.6;964.2;;;;;3.5;;12.6;;48.5;;;;;17250;65;;;80;;
KOP;01.07.1962 00:00;16.4;32;3;;;;71.2;13.4;961.2;;;;;2.7;;9.7;;46;;;;;13350;49;;;27.8;;
KOP;01.08.1962 00:00;18.3;32.7;7;;;;69.1;14.5;962.5;;;;;2.7;;9.7;;58.2;;;;;18270;73;;;0;;
KOP;01.09.1962 00:00;13.1;31.5;-0.6;;;;78.2;11.9;961.4;;;;;3.1;;11.2;;46.4;;;;;10590;49;;;136.7;;
KOP;01.10.1962 00:00;8.6;23.7;-4;;;;83.6;9.6;963.5;;;;;2.7;;9.7;;13.9;;;;;8070;41;;;316.5;;
KOP;01.11.1962 00:00;1.1;17.6;-11.6;;;;85.6;5.8;956;;;;;2.7;;9.7;;18.5;;;;;3534;22;;;568.1;;
KOP;01.12.1962 00:00;-3.6;8.5;-15;;;;86.4;4.4;958.7;;;;;3.9;;14;;89.2;;;;;1122;8;;;732.3;;
KOP;01.01.1963 00:00;-7.3;4.5;-28.9;;;;82.1;3.4;959.1;;;;;4.4;;15.8;;40.7;;;;;3462;22;;;847.8;;
KOP;01.02.1963 00:00;-5.4;6;-24;;;;80.1;3.6;951.6;;;;;3.1;;11.2;;47.9;;;;;4842;30;;;712.3;;
KOP;01.03.1963 00:00;1.6;12.7;-18;;;;81.7;5.8;959;;;;;3.5;;12.6;;112.5;;;;;7590;36;;;571;;
KOP;01.04.1963 00:00;8.7;21;-2.4;;;;79.7;9;955.7;;;;;2.7;;9.7;;45.6;;;;;6990;30;;;324.5;;
KOP;01.05.1963 00:00;11.4;24.4;-0.6;;;;78;10.6;959.5;;;;;2.7;;9.7;;54.2;;;;;10422;39;;;194.7;;
KOP;01.06.1963 00:00;15.2;29.7;6.1;;;;79.9;14;958.2;;;;;3.1;;11.2;;163.6;;;;;10512;39;;;16.7;;
KOP;01.07.1963 00:00;18.1;30;7;;;;76.2;16;962.2;;;;;2.7;;9.7;;80.4;;;;;15570;57;;;0;;
KOP;01.08.1963 00:00;15.7;29;4.5;;;;81.4;14.7;957.9;;;;;3.1;;11.2;;157.3;;;;;9798;39;;;53.6;;
KOP;01.09.1963 00:00;14.5;25.5;2.8;;;;83.5;14;961.8;;;;;2.7;;9.7;;62.2;;;;;8232;38;;;57.2;;
KOP;01.10.1963 00:00;8.2;19.6;-3.6;;;;86.1;9.6;964.2;;;;;2.7;;9.7;;37.3;;;;;6378;33;;;357.9;;
KOP;01.11.1963 00:00;6.2;15.5;-2;;;;86.6;8.4;955;;;;;3.5;;12.6;;132.3;;;;;4764;30;;;413.7;;
KOP;01.12.1963 00:00;-3.3;6.7;-14.5;;;;87.6;4.4;960.2;;;;;3.5;;12.6;;1.7;;;;;2472;17;;;721.7;;
KOP;01.01.1964 00:00;-3.3;3.5;-8;;;;90.3;4.4;971.5;;;;;2.7;;9.7;;9;;;;;798;5;;;721.6;;
KOP;01.02.1964 00:00;1.6;15.5;-7.1;;;;84.9;5.9;959.9;;;;;2.7;;9.7;;27.2;;;;;5562;33;;;533.5;;
KOP;01.03.1964 00:00;2.6;13;-6.7;;;;87.8;6.7;954.4;;;;;3.1;;11.2;;106.9;;;;;2418;12;;;539.1;;
KOP;01.04.1964 00:00;9;22.6;-1.5;;;;75.4;8.5;958.2;;;;;3.1;;11.2;;68.3;;;;;9360;40;;;304.3;;
KOP;01.05.1964 00:00;13.6;27;1.8;;;;74.7;11.8;961.5;;;;;2.7;;9.7;;81.7;;;;;13344;50;;;79.5;;
KOP;01.06.1964 00:00;16.8;29.8;5.6;;;;71.4;13.8;960.5;;;;;3.5;;12.6;;88.2;;;;;15282;57;;;0;;
KOP;01.07.1964 00:00;18.8;32.2;5;;;;64.8;14.1;962.7;;;;;2.4;;8.6;;83.4;;;;;19620;72;;;8.6;;
KOP;01.08.1964 00:00;16.3;30.8;6;;;;71.8;13.2;961.4;;;;;2.7;;9.7;;109.2;;;;;13032;52;;;16.3;;
KOP;01.09.1964 00:00;14;26;0.6;;;;78.9;12.8;965.1;;;;;3.1;;11.2;;53.1;;;;;10596;49;;;63.3;;
KOP;01.10.1964 00:00;7.5;20;-0.8;;;;83.3;8.9;960.1;;;;;3.5;;12.6;;97.4;;;;;3792;19;;;338.2;;
KOP;01.11.1964 00:00;4.6;13.3;-2.7;;;;87.3;7.6;963.7;;;;;3.1;;11.2;;63.2;;;;;1380;9;;;462.6;;
KOP;01.12.1964 00:00;-1.5;5;-18;;;;89.4;5.1;958.8;;;;;2.7;;9.7;;23.5;;;;;684;5;;;666.8;;
KOP;01.01.1965 00:00;-0.3;10.5;-14.5;;;;87;5.3;956.9;;;;;2.7;;9.7;;60.6;;;;;1626;10;;;628.9;;
KOP;01.02.1965 00:00;-3.6;6.8;-18.6;;;;77;3.7;963.7;;;;;3.5;;12.6;;23.7;;;;;5634;34;;;660.9;;
KOP;01.03.1965 00:00;2.7;19.2;-17;;;;77.6;6.1;960;;;;;3.1;;11.2;;95.6;;;;;7290;34;;;536.2;;
KOP;01.04.1965 00:00;6.5;19.5;-2;;;;76.1;7.3;956.5;;;;;3.5;;12.6;;105.6;;;;;6282;27;;;403.6;;
KOP;01.05.1965 00:00;11.6;26.6;1.4;;;;71.2;9.8;959.4;;;;;3.9;;14;;137.3;;;;;10746;40;;;193.4;;
KOP;01.06.1965 00:00;16.2;31.7;3.6;;;;70.3;13.1;960.5;;;;;3.1;;11.2;;90.2;;;;;10998;41;;;55.8;;
KOP;01.07.1965 00:00;15.8;28.5;6;;;;74.1;13.4;960;;;;;3.1;;11.2;;217.8;;;;;10848;40;;;26.3;;
KOP;01.08.1965 00:00;15.9;30.2;6;;;;77.9;14.1;960.9;;;;;2.7;;9.7;;121.3;;;;;11964;47;;;0;;
KOP;01.09.1965 00:00;11.5;24.1;4;;;;86.4;11.9;958.1;;;;;2.7;;9.7;;148.6;;;;;7698;36;;;196.4;;
KOP;01.10.1965 00:00;8;18;0.5;;;;89.2;9.8;964.5;;;;;2.7;;9.7;;29.7;;;;;4176;21;;;365.4;;
KOP;01.11.1965 00:00;3.4;17.4;-11;;;;88.3;7.1;954.1;;;;;4.8;;17.3;;133;;;;;1398;9;;;498;;
KOP;01.12.1965 00:00;2.3;11.6;-6.2;;;;87.5;6.4;954.6;;;;;4.8;;17.3;;167.5;;;;;1788;12;;;548.4;;
KOP;01.01.1966 00:00;-3.1;9.2;-21.4;;;;86.3;4.7;957.5;;;;;3.5;;12.6;;66.7;;;;;3246;21;;;716.3;;
KOP;01.02.1966 00:00;4.4;12.5;-3.2;;;;87.6;7.4;953.3;;;;;3.1;;11.2;;125.3;;;;;3150;19;;;436.7;;
