station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
DOL;01.01.1973 00:00;-2.3;6.5;-9.4;;;;73.8;3.7;830.3;;;;;6.3;;24.1;;53.8;;;;;8988;52;;;692.5;;
DOL;01.02.1973 00:00;-5.9;6.1;-14;;;;90.8;3.6;824.6;;;;;8.2;;29.5;;94.4;;;;;6432;37;;;726.2;;
DOL;01.03.1973 00:00;-2.8;9.3;-11.7;;;;77.8;3.9;830.9;;;;;6.1;;23;;37.6;;;;;10596;48;;;707.9;;
DOL;01.04.1973 00:00;-2.9;8.8;-10.6;;;;92.5;4.7;826;;;;;6.5;;24.5;;104.6;;;;;7074;30;;;686.5;;
DOL;01.05.1973 00:00;6;16.8;-3;;;;85.1;8.2;831.9;;;;;4.1;;16.2;;107.4;;;;;11508;42;;;425.4;;
DOL;01.06.1973 00:00;9;19.1;-0.8;;;;89.3;10.5;834.3;;;;;4.8;;18.4;;90.9;;;;;10836;39;;;290.6;;
DOL;01.07.1973 00:00;9.7;21;1.5;;;;89.2;11.1;832.4;;;;;4.7;;17.3;;193.2;;;;;11058;38;;;290.4;;
DOL;01.08.1973 00:00;12.8;22;2.5;;;;86.1;13.1;837.1;;;;;3.2;;13;;188;;;;;12390;47;;;150.4;;
DOL;01.09.1973 00:00;9.5;21.5;-1.8;;;;83.8;10.2;834;;;;;4.8;;18;;127.6;;;;;12570;54;;;251.6;;
DOL;01.10.1973 00:00;3.8;15;-5.1;;;;79.4;6.5;832.2;;;;;7.2;;26.3;;109.5;;;;;9060;44;;;501.6;;
