station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
FRE;01.01.1978 00:00;-2.3;6.5;-9.5;;;;84;4.4;;;;;;2.1;;7.6;;128.2;;;;;3522;24;;;690.4;;
FRE;01.02.1978 00:00;-2.1;9.8;-12.6;;;;86.1;4.8;;;;;;1.8;;7.2;;178.2;;;;;2760;18;;;618.6;;
FRE;01.03.1978 00:00;0.9;12.2;-7.3;;;;79.8;5.2;;;;;;2.1;;7.9;;203.1;;;;;4572;23;;;592.4;;
FRE;01.04.1978 00:00;1.8;9.7;-6.2;;;;79.8;5.6;;;;;;1.7;;6.8;;71.6;;;;;6192;28;;;547;;
FRE;01.05.1978 00:00;6.4;17.5;-0.3;;;;82.8;7.9;;;;;;;;;;157.3;;;;;6930;28;;;415.5;;
FRE;01.06.1978 00:00;10.4;19.8;2.3;;;;79.3;10.5;;;;;;1.8;;6.8;;95;;;;;8496;35;;;233.1;;
FRE;01.07.1978 00:00;12.1;22.6;4.1;;;;80.2;11.8;;;;;;1.6;;6.1;;97.9;;;;;8988;36;;;159.1;;
FRE;01.08.1978 00:00;11.4;21.2;3.5;;;;85.7;12.1;;;;;;1.4;;5.4;;178;;;;;10668;46;;;196.8;;
FRE;01.09.1978 00:00;9.9;24.4;0.7;;;;82.7;10.4;;;;;;1.5;;5.8;;106;;;;;13308;64;;;250.9;;
FRE;01.10.1978 00:00;6.6;18.1;-1.2;;;;80.2;7.8;;;;;;1.6;;6.1;;22.5;;;;;11520;62;;;401.3;;
FRE;01.11.1978 00:00;3;12.6;-9.7;;;;66.9;5.1;;;;;;1.7;;6.8;;7.5;;;;;9642;63;;;508.6;;
FRE;01.12.1978 00:00;0.3;12.3;-11.3;;;;82;5.3;;;;;;2;;7.9;;168.4;;;;;3984;28;;;611.6;;
FRE;01.01.1979 00:00;-4.4;6.7;-18;;;;82.9;4;;;;;;1.6;;6.5;;123.8;;;;;4836;33;;;755.7;;
FRE;01.02.1979 00:00;-1;6.9;-9.3;;;;86.2;5.2;;;;;;1.9;;7.9;;121.4;;;;;3792;23;;;587.4;;
FRE;01.03.1979 00:00;0.7;8.1;-6.5;;;;86.3;5.7;;;;;;2.1;;7.9;;178.9;;;;;2994;15;;;599;;
FRE;01.04.1979 00:00;1.6;13.3;-5.6;;;;80.9;5.6;;;;;;1.6;;6.5;;67.5;;;;;6060;28;;;552.5;;
FRE;01.05.1979 00:00;7.7;21.3;-6.3;;;;72.6;8.1;;;;;;1.8;;7.6;;81.2;;;;;9810;40;;;357.4;;
FRE;01.06.1979 00:00;11.6;20.5;1.8;;;;82.7;11.9;;;;;;1.5;;6.1;;108.4;;;;;9564;39;;;152.6;;
FRE;01.07.1979 00:00;13.2;24.5;3.7;;;;72.2;11.2;;;;;;1.5;;5.8;;44.4;;;;;12216;49;;;88.4;;
FRE;01.08.1979 00:00;11.5;23.4;2.8;;;;79.1;10.9;;;;;;1.4;;5.4;;116.5;;;;;9618;42;;;206.6;;
FRE;01.09.1979 00:00;10.1;20;1.2;;;;80.7;10.5;;;;;;1.4;;5.4;;55.1;;;;;9876;48;;;230.3;;
FRE;01.10.1979 00:00;8.2;20.6;0.4;;;;77;8.3;;;;;;1.2;;4.7;;96.5;;;;;6414;34;;;338.6;;
FRE;01.11.1979 00:00;1.3;18.6;-7.7;;;;77.9;5.2;;;;;;1.7;;6.8;;191.1;;;;;4740;32;;;552.7;;
FRE;01.12.1979 00:00;0.8;14.1;-7.4;;;;82.5;5.4;;;;;;2;;7.2;;205.6;;;;;3444;24;;;594.8;;
FRE;01.01.1980 00:00;-3.5;6;-12.4;;;;83.6;4.1;;;;;;1.7;;6.8;;119.4;;;;;3804;25;;;729;;
FRE;01.02.1980 00:00;-0.1;8.1;-7.8;;;;81.6;5;;;;;;1.7;;6.1;;105.7;;;;;6930;42;;;584.3;;
