station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MLS;01.10.1982 00:00;;;;;;;73.9;5.9;;;;;;4.5;;16.2;;;98;;;;7384;38;;;;;
MLS;01.11.1982 00:00;;;;;;;63.4;4.4;;;;;;5.8;;20.9;;13.7;68;;;;6837;42;;;;;
MLS;01.12.1982 00:00;-2.7;3.9;-12.4;;;;;4.1;797.7;;;;;7.8;;28.1;;45.9;47;;;;5219;33;14.8;0;704.5;456.5;
MLS;01.01.1983 00:00;-0.9;8.1;-13.4;-2.6;-17.6;7.5;64.2;3.6;808.9;;1573.7;;;7.4;50.8;26.6;182.9;22.8;54;;;;5965;37;31.1;0;647.5;399.5;13.8
MLS;01.02.1983 00:00;-5.4;2;-13.7;-7.1;-17.5;4.3;70.8;2.9;795.7;;1449.6;;;6.3;35.8;22.7;128.9;25.4;94;;;;6592;39;24.1;0;711.3;487.3;18.2
MLS;01.03.1983 00:00;-1.9;6.1;-12.7;-2.1;-14.3;8.5;75.9;4;799.9;;1485.8;;;6.1;35.7;22;128.5;34.3;143;;;;9141;42;36.5;0;678.7;430.7;27.8
MLS;01.04.1983 00:00;-0.4;9.1;-11;0;-13.2;11.2;80.4;4.8;795.6;;1438.3;;;7.2;34.7;25.9;124.9;199.7;156;;;;4880;20;44.9;0;611.8;371.8;49.3
MLS;01.05.1983 00:00;1.5;11.2;-4.1;1.9;-4.2;13.1;84.6;5.7;797.4;;1453.8;;;6.6;29;23.8;104.4;212.3;180;;;;5453;20;52.2;0;574.1;326.1;59.7
MLS;01.06.1983 00:00;7.8;17.5;-1.4;8.9;-2.4;21;80.6;8.5;807;;1541.8;;;4.5;24.2;16.2;87.1;72.3;203;;;;7823;28;77.6;0;323.9;131.9;12.4
MLS;01.07.1983 00:00;14.3;25.2;3.3;15.6;1.4;33.2;65.3;10.3;809;;1553;;;4.7;20.2;16.9;72.7;36.5;264;;;;17102;61;135;11.5;93.2;21.2;-143.9
MLS;01.08.1983 00:00;9.5;20.1;-0.2;10.4;-0.9;24;83.2;9.9;806.7;;1535.5;;;3.1;25.6;11.2;92.2;118.1;167;;;;7169;28;69.2;0;303.6;79.6;46.6
MLS;01.09.1983 00:00;8.2;16.6;-1.9;8.3;-3.7;23.2;71.4;7.6;806.6;;1538.1;;;5.6;29.7;20.2;106.9;96.5;160;;;;11304;51;67.7;0;312.2;120.2;15.9
MLS;01.10.1983 00:00;4.7;15;-3.2;4.1;-6.2;21.3;64.3;5.5;807.6;;1551.9;;;5.2;31.3;18.7;112.7;77.3;125;;;;12066;61;52.3;0;475.6;227.6;-19.3
MLS;01.11.1983 00:00;2.2;13.1;-8.5;0.9;-10.3;17.3;55.3;3.9;801.4;;1493.6;;;5.1;46.4;18.4;167;109.1;86;;;;11767;72;36.6;0;532.6;292.6;74
MLS;01.12.1983 00:00;-1.3;11.1;-12.5;-2.7;-14.8;12;64.5;3.5;800.2;;1486.7;;;6.4;32.7;23;117.7;73.3;59;;;;8550;55;32.5;0;659.1;411.1;9.5
MLS;01.01.1984 00:00;-5.7;8.1;-13.8;-5.8;-16.4;8.2;85.6;3.5;796.6;;1459.4;;;8.7;38.6;31.3;139;181.6;43;;;;3033;19;13.6;0;795.5;547.5;179
MLS;01.02.1984 00:00;-7.3;0.1;-14.7;-7;-14.4;2.2;86.5;3.1;797.7;;1473.3;;;8.3;43.1;29.9;155.2;137.4;105;;;;7640;44;14.9;0;791.6;559.6;134.5
MLS;01.03.1984 00:00;-5.3;3;-15.8;-5.2;-17.9;7.6;75.8;3.2;794.3;;1435.7;;;6.5;32.4;23.4;116.6;80.2;165;;;;11295;52;32.7;0;784.2;536.2;72.3
MLS;01.04.1984 00:00;-1.6;8.9;-12;-0.9;-13.3;13.7;76.1;4.1;798.2;;1468.5;;;5.1;23.8;18.4;85.7;54.2;225;;;;12166;51;53.9;0;648.4;408.4;43.5
MLS;01.05.1984 00:00;0.4;8.9;-4.8;0.9;-5.1;11.7;87.5;5.5;792.9;;1409.9;;;4.6;24;16.6;86.4;125.8;177;;;;3883;14;48.1;0;606.6;358.6;120.3
MLS;01.06.1984 00:00;6.1;15.4;-2.2;6.9;-2.3;22.1;80.3;7.5;803.7;;1510.6;;;4.5;22.4;16.2;80.6;86.6;216;;;;9846;36;75.6;0;409.9;177.9;23.7
MLS;01.07.1984 00:00;9.5;23.8;-0.1;10.4;-1.5;26.4;74.6;8.8;807.2;;1541.7;;;4.9;32.9;17.6;118.4;58;228;;;;13289;48;97.7;0.6;263.8;103.8;-67.1
MLS;01.08.1984 00:00;8.5;18.7;4.2;9.2;2.5;24.9;83.3;9.2;805.4;;1524.8;;;4;25.5;14.4;91.8;108.8;167;;;;8466;33;66.6;0;348.9;108.9;43.1
MLS;01.09.1984 00:00;4.5;17;-4;4.8;-5.2;21.7;83.8;7.1;800;;1475.8;;;5.9;33.9;21.2;122;314.8;130;;;;6911;31;45.3;0;450.4;226.4;270.2
MLS;01.10.1984 00:00;4.8;16.4;-2.2;4.2;-4.4;17.9;61.9;5;803.6;;1512.4;;;6.3;32.5;22.7;117;62.4;118;;;;10922;56;60.7;0;471.1;223.1;10.8
MLS;01.11.1984 00:00;2.9;15.2;-6;2;-8.6;15;59.8;4.1;796.6;;1443.7;;;6.5;36.3;23.4;130.7;64.9;63;;;;6516;40;49.5;0;512.8;272.8;42.4
MLS;01.12.1984 00:00;-2.1;11.3;-16;-3.1;-17.5;10.6;69;3.5;801.8;;1506.3;;;6.1;28.8;22;103.7;72.9;60;;;;8233;53;27.9;0;685.6;437.6;58.9
MLS;01.01.1985 00:00;-9;4.4;-22.6;-9.6;-26.2;2.3;78.5;2.7;789.1;;1393.5;;;6.7;26.8;24.1;96.5;102.4;62;;;;6299;39;14.8;0;900.4;652.4;97.7
MLS;01.02.1985 00:00;-2.4;7;-14;-3;-16.3;8.2;69;3.6;798.4;;1472.3;;;7.8;28;28.1;100.8;123.7;90;;;;7087;42;31.3;0;627.4;403.4;116.7
MLS;01.03.1985 00:00;-4.9;4;-14.3;-5;-16.8;5.9;77.3;3.2;793.8;;1431.3;;;5;33.2;18;119.5;87.1;149;;;;6993;32;34;0;773.3;525.3;82.5
MLS;01.04.1985 00:00;-0.4;8.3;-10.6;-0.2;-12.3;12.3;75.3;4.4;796.6;;1450.5;;;5.7;32.7;20.5;117.7;125;192;;;;8211;34;50.9;0;612.9;372.9;116.9
