station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
LEI;01.03.1984 00:00;;;;;;;;;;;;;;1.8;18.4;6.5;66.2;;;;;;;;;;;;
LEI;01.04.1984 00:00;;;;;;;;;;;;;;2;;7.2;;;;;;;;;;;;;
LEI;01.05.1984 00:00;;;;;;;;;;;;;;2.1;;7.6;;;;;;;;;;;;;
LEI;01.06.1984 00:00;;;;;;;;;;;;;;2.1;;7.6;;;;;;;;;;;;;
LEI;01.07.1984 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
LEI;01.08.1984 00:00;;;;;;;;;;;;;;1.5;;5.4;;;;;;;;;;;;;
LEI;01.09.1984 00:00;;;;;;;;;;;;;;1.9;;6.8;;;;;;;;;;;;;
LEI;01.10.1984 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
LEI;01.11.1984 00:00;;;;;;;;;;;;;;1.7;;6.1;;;;;;;;;;;;;
LEI;01.12.1984 00:00;;;;;;;;;;;;;;1.5;;5.4;;;;;;;;;;;;;
LEI;01.01.1985 00:00;;;;;;;;;;;;;;1.5;;5.4;;;;;;;;;;;;;
LEI;01.02.1985 00:00;;;;;;;;;;;;;;2;;7.2;;;;;;;;;;;;;
LEI;01.03.1985 00:00;;;;;;;;;;;;;;2.1;;7.6;;;;;;;;;;;;;
LEI;01.04.1985 00:00;;;;;;;;;;;;;;2.5;;9;;;;;;;;;;;;;
LEI;01.05.1985 00:00;;;;;;;;;;;;;;2;;7.2;;;;;;;;;;;;;
LEI;01.06.1985 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;;;;;;;
LEI;01.07.1985 00:00;;;;;;;;;;;;;;1.7;;6.1;;;;;;;;;;;;;
LEI;01.08.1985 00:00;;;;;;;;;;;;;;1.9;;6.8;;;;;;;;;;;;;
LEI;01.09.1985 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;;;;;;;
LEI;01.10.1985 00:00;;;;;;;;;;;;;;1.7;;6.1;;;;;;;;;;;;;
LEI;01.11.1985 00:00;;;;;;;;;;;;;;2;;7.2;;;;;;;;;;;;;
LEI;01.12.1985 00:00;;;;;;;;;;;;;;1.6;13.5;5.8;48.6;;;;;;;;;;;;
LEI;01.01.1986 00:00;;;;;;;;;;;;;;2.9;;10.4;;;;;;;;;;;;;
LEI;01.02.1986 00:00;;;;;;;;;;;;;;1.9;;6.8;;;;;;;;;;;;;
LEI;01.03.1986 00:00;;;;;;;;;;;;;;2.2;;7.9;;;;;;;;;;;;;
LEI;01.04.1986 00:00;;;;;;;;;;;;;;2.3;;8.3;;;;;;;;;;;;;
LEI;01.05.1986 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
LEI;01.06.1986 00:00;;;;;;;;;;;;;;1.8;;6.5;;;;;;;;;;;;;
LEI;01.07.1986 00:00;;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
LEI;01.08.1986 00:00;;;;;;;;;;;;;;1.4;;5;;;;;;;;;;;;;
LEI;01.09.1986 00:00;;;;;;;;;;;;;;1.4;17.3;5;62.3;;;;;;;;;;;;
LEI;01.10.1986 00:00;;;;;;;;;;;;;;1.8;;6.5;;;;;;;;;;;;;
LEI;01.11.1986 00:00;;;;;;;;;;;;;;1.3;;4.7;;;;;;;;;;;;;
LEI;01.12.1986 00:00;;;;;;;;;;;;;;2.4;;8.6;;;;;;;;;;;;;
LEI;01.01.1987 00:00;;;;;;;;;;;;;;2.2;20.8;7.9;74.9;;;;;;;;;;;;
LEI;01.02.1987 00:00;1.1;12.3;-9.3;;;;;;;;;;;1.7;13.7;6.1;49.3;;;;;;;;;;;306.5;
LEI;01.03.1987 00:00;2;15.7;-10;;;;;;;;;;;2.4;21.4;8.6;77;;;;;;;;;;;309.9;
LEI;01.04.1987 00:00;10;24.6;-1.2;;;;;;;;;;;1.9;16.9;6.8;60.8;;;;;;;;;;;80;
LEI;01.05.1987 00:00;10.1;23.3;0.7;;;;;;;;;;;1.9;15.6;6.8;56.2;;;;;;;;;;;76;
LEI;01.06.1987 00:00;14.7;31;7.7;;;;;;;;;;;1.8;16.3;6.5;58.7;;;;;;;;;;;6.8;
LEI;01.07.1987 00:00;18.5;30;9;;;;;;;;;;;1.6;13.5;5.8;48.6;;;;;;;;;;;0;
LEI;01.08.1987 00:00;17.3;30.6;6.8;;;;;;;;;;;1.5;19.4;5.4;69.8;;;;;;;;;;;0;
LEI;01.09.1987 00:00;16.6;29.4;3.5;;;;;;;;;;;1.3;18.4;4.7;66.2;;;;;;;;;;;10.8;
LEI;01.10.1987 00:00;10.3;21.5;2.6;;;;;;;;;;;1.5;21.6;5.4;77.8;;;;;;;;;;;56.5;
LEI;01.11.1987 00:00;5.8;14.5;-1.6;;;;;;;;;;;1.9;21.7;6.8;78.1;;;;;;;;;;;186.6;
LEI;01.12.1987 00:00;3.4;;;;;;;;;;;;;1.6;;5.8;;;;;;;;;;;;;
LEI;01.01.1988 00:00;3.9;14.9;-2.6;;;;;;;;;;;1.9;25.2;6.8;90.7;;;;;;;;;;;251.4;
LEI;01.02.1988 00:00;2.6;13;-3.2;;;;;;;;;;;2.8;25.3;10.1;91.1;;;;;;;;;;;273;
LEI;01.03.1988 00:00;4.3;14.9;-7.3;;;;;;;;;;;3;32.1;10.8;115.6;;;;;;;;;;;238.8;
LEI;01.04.1988 00:00;10.1;23.3;-0.2;;;;;;;;;;;1.8;14.6;6.5;52.6;;;;;;;;;;;67.2;
LEI;01.05.1988 00:00;14.8;26.7;5.6;;;;;;;;;;;1.7;15.5;6.1;55.8;;;;;;;;;;;3.2;
LEI;01.06.1988 00:00;16.2;25.3;8.3;;;;;;;;;;;1.5;14.9;5.4;53.6;;;;;;;;;;;5.5;
LEI;01.07.1988 00:00;18;33.8;9.7;;;;;;;;;;;1.8;21.9;6.5;78.8;;;;;;;;;;;0;
LEI;01.08.1988 00:00;18;30.5;8.8;;;;;;;;;;;1.3;17.2;4.7;61.9;;;;;;;;;;;0;
LEI;01.09.1988 00:00;14.3;24.8;6.5;;;;;;;;;;;1.6;14;5.8;50.4;;;;;;;;;;;10.4;
