station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
OTL;01.01.1864 00:00;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1864 00:00;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1864 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1864 00:00;11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1864 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1864 00:00;18.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1864 00:00;21.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1864 00:00;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1864 00:00;16.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1864 00:00;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1864 00:00;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1864 00:00;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1865 00:00;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1865 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1865 00:00;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1865 00:00;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1865 00:00;16.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1865 00:00;20.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1865 00:00;21.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1865 00:00;19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1865 00:00;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1865 00:00;11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1865 00:00;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1865 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1866 00:00;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1866 00:00;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1866 00:00;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1866 00:00;11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1866 00:00;13.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1866 00:00;19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1866 00:00;21.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1866 00:00;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1866 00:00;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1866 00:00;11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1866 00:00;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1866 00:00;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1867 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1867 00:00;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1867 00:00;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1867 00:00;13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1867 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1867 00:00;20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1867 00:00;20.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1867 00:00;21.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1867 00:00;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1867 00:00;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1867 00:00;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1867 00:00;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1868 00:00;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1868 00:00;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1868 00:00;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1868 00:00;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1868 00:00;19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1868 00:00;20.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1868 00:00;21.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1868 00:00;20.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1868 00:00;17.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1868 00:00;12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1868 00:00;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1868 00:00;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1869 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1869 00:00;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1869 00:00;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1869 00:00;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1869 00:00;16.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1869 00:00;17.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1869 00:00;23.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1869 00:00;20.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1869 00:00;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1869 00:00;11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1869 00:00;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1869 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1870 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.02.1870 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.03.1870 00:00;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.04.1870 00:00;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.05.1870 00:00;17.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.06.1870 00:00;20.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.07.1870 00:00;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.08.1870 00:00;19.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.09.1870 00:00;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.10.1870 00:00;11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.11.1870 00:00;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.12.1870 00:00;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
