station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
LUG;01.01.1864 00:00;-2;;;;;;80.6;4.3;991.9;;;;;0.1;;0.4;;8;;;;;;;;;683.5;;
LUG;01.02.1864 00:00;1.7;;;;;;75.2;5.4;980;;;;;0.2;;0.7;;99.5;;;;;;;;;529.7;;
LUG;01.03.1864 00:00;7.3;;;;;;67.8;6.9;975.5;;;;;0.4;;1.4;;86.3;;;;;;;;;393;;
LUG;01.04.1864 00:00;11.2;;;;;;57.3;7.6;980.8;;;;;1.1;;4;;13.7;;;;;;;;;183.1;;
LUG;01.05.1864 00:00;15.3;;;;;;69.4;12.1;979.6;;;;;0.6;;2.2;;143.9;;;;;;;;;17.4;;
LUG;01.06.1864 00:00;18.6;;;;;;72.1;15.5;980.3;;;;;0.6;;2.2;;181.6;;;;;;;;;0;;
LUG;01.07.1864 00:00;21.3;32.1;12.1;;;;69;17.6;981.7;;;;;0.4;;1.4;;53.2;;;;;;;;;0;;
LUG;01.08.1864 00:00;19.8;32.5;7;;;;70.3;16.7;983.1;;;;;0.6;;2.2;;192.5;;;;;;;;;0;;
LUG;01.09.1864 00:00;16.5;27.6;7.5;;;;76.2;14.5;983.9;;;;;0.8;;2.9;;259.9;;;;;;;;;0;;
LUG;01.10.1864 00:00;10.3;19.1;2.9;;;;81.3;10.3;979.5;;;;;0.2;;0.7;;330.5;;;;;;;;;258.8;;
LUG;01.11.1864 00:00;6.9;16;0.2;;;;79.3;8;979;;;;;0.4;;1.4;;101.2;;;;;;;;;391.8;;
LUG;01.12.1864 00:00;2.9;10.4;-3.9;;;;82.5;6.4;984.5;;;;;0;;0;;51;;;;;;;;;528.8;;
LUG;01.01.1865 00:00;1.6;10.3;-4.8;;;;76.4;5.2;975.4;;;;;0.1;;0.4;;39.5;;;;;;;;;571.4;;
LUG;01.02.1865 00:00;2.2;12.3;-4.9;;;;62.3;4.4;977.3;;;;;1.1;;4;;9.4;;;;;;;;;499.7;;
LUG;01.03.1865 00:00;3.8;15.7;-3.2;;;;57.5;4.6;973.4;;;;;1.7;;6.1;;84.2;;;;;;;;;502.4;;
LUG;01.04.1865 00:00;13.9;27.8;-2.2;;;;62.4;10.1;987.6;;;;;0.4;;1.4;;5.6;;;;;;;;;75.2;;
LUG;01.05.1865 00:00;16.7;28;5.9;;;;74.5;14.3;985.2;;;;;0.4;;1.4;;150.3;;;;;;;;;0;;
LUG;01.06.1865 00:00;19.8;27.9;10;;;;67.1;15.5;983.4;;;;;0.6;;2.2;;172.6;;;;;;;;;0;;
LUG;01.07.1865 00:00;22.2;32.2;11.1;;;;67.6;18.3;983.3;;;;;0.2;;0.7;;141.6;;;;;;;;;0;;
LUG;01.08.1865 00:00;19.7;29.6;10.5;;;;75.6;17.7;981.3;;;;;0.2;;0.7;;271;;;;;;;;;0;;
LUG;01.09.1865 00:00;18.8;29.4;9;;;;74.2;16.3;990;;;;;0.1;;0.4;;21.5;;;;;;;;;0;;
LUG;01.10.1865 00:00;11.6;22.5;3.3;;;;82.2;11.4;979.3;;;;;0.1;;0.4;;236.8;;;;;;;;;173.6;;
LUG;01.11.1865 00:00;7.5;14.8;-1;;;;85.5;9.1;985.8;;;;;0.1;;0.4;;260;;;;;;;;;373.6;;
LUG;01.12.1865 00:00;2.6;13.4;-4.2;;;;80.8;6.3;993;;;;;0.1;;0.4;;98.1;;;;;;;;;539.3;;
LUG;01.01.1866 00:00;2.6;13;-3;;;;82;6.1;989.3;;;;;0.2;;0.7;;46.7;;;;;;;;;540.3;;
LUG;01.02.1866 00:00;5.4;14.6;-2;;;;78.8;7.1;982.1;;;;;0.2;;0.7;;86.3;;;;;;;;;408.1;;
LUG;01.03.1866 00:00;6.8;19.7;-0.4;;;;71.4;6.9;974.8;;;;;0.6;;2.2;;222.3;;;;;;;;;396.5;;
LUG;01.04.1866 00:00;11.7;25.3;2.5;;;;71.2;9.7;983.9;;;;;0.8;;2.9;;199.4;;;;;;;;;159.4;;
LUG;01.05.1866 00:00;13.6;24.2;5.5;;;;76.1;12.1;981.8;;;;;0.8;;2.9;;313.6;;;;;;;;;51;;
LUG;01.06.1866 00:00;19.5;31.8;10.2;;;;81.7;19.1;984.3;;;;;0.2;;0.7;;166.2;;;;;;;;;0;;
LUG;01.07.1866 00:00;21.6;34.3;11.3;;;;68.2;18;981.1;;;;;0.6;;2.2;;123.7;;;;;;;;;0;;
