station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MAG;01.06.1953 00:00;16.9;29.3;2;;;;;;989;;;;;;;;;;;;;;;;;;17;;
MAG;01.07.1953 00:00;21.1;30.6;10;;;;;;992.9;;;;;;;;;;;;;;;;;;0;;
MAG;01.08.1953 00:00;20.8;31.4;7.5;;;;;;994.9;;;;;;;;;;;;;;;;;;0;;
MAG;01.09.1953 00:00;17.3;28.4;6;;;;;;993.4;;;;;;;;;;;;;;;;;;0;;
MAG;01.10.1953 00:00;12.6;22.4;1.5;;;;;;995.2;;;;;;;;;;;;;;;;;;110.1;;
MAG;01.11.1953 00:00;16.8;17.1;-4.5;;;;;;998.3;;;;;;;;;;;;;;;;;;136.5;;
MAG;01.12.1953 00:00;4.4;12.2;-4.9;;;;;;997.8;;;;;;;;;;;;;;;;;;484.3;;
MAG;01.01.1954 00:00;0.2;12.2;-13;;;;;;990.3;;;;;;;;;;;;;;;;;;612.6;;
MAG;01.02.1954 00:00;1.6;13.2;-7.7;;;;;;988.1;;;;;;;;;;;;;;;;;;515.4;;
MAG;01.03.1954 00:00;7;17;-3;;;;;;988.4;;;;;;;;;;;;;;;;;;401.8;;
MAG;01.04.1954 00:00;10.4;24.1;-1.9;;;;;;991.3;;;;;;;;;;;;;;;;;;258.6;;
MAG;01.05.1954 00:00;14.4;26.1;4.4;;;;;;988.8;;;;;;;;;;;;;;;;;;77.7;;
MAG;01.06.1954 00:00;18.6;30.2;6.4;;;;;;990.9;;;;;;;;;;;;;;;;;;0;;
MAG;01.07.1954 00:00;19.4;29.2;8.7;;;;;;989.5;;;;;;;;;;;;;;;;;;0;;
MAG;01.08.1954 00:00;18.1;29.8;6.6;;;;;;988.9;;;;;;;;;;;;;;;;;;0;;
MAG;01.09.1954 00:00;16.7;27.4;2.9;;;;;;994;;;;;;;;;;;;;;;;;;28.3;;
MAG;01.10.1954 00:00;10.4;21.7;-1;;;;;;995.1;;;;;;;;;;;;;;;;;;222;;
MAG;01.11.1954 00:00;5.6;19.7;-7.1;;;;;;993.7;;;;;;;;;;;;;;;;;;432;;
MAG;01.12.1954 00:00;3;14.3;-5;;;;;;990.9;;;;;;;;;;;;;;;;;;525.8;;
MAG;01.01.1955 00:00;2.6;16.1;-5.4;;;;;;990;;;;;;;;;;;;;;;;;;539.4;;
MAG;01.02.1955 00:00;2.9;14;-8.9;;;;;;982.3;;;;;;;;;;;;;;;;;;479.9;;
MAG;01.03.1955 00:00;5.7;17.1;-4.8;;;;;;989.1;;;;;;;;;;;;;;;;;;442.1;;
MAG;01.04.1955 00:00;12;25.4;-2.1;;;;;;993.6;;;;;;;;;;;;;;;;;;159.6;;
MAG;01.05.1955 00:00;14.8;26.4;3.6;;;;;;992.6;;;;;;;;;;;;;;;;;;26.6;;
MAG;01.06.1955 00:00;18.4;28.4;7.6;;;;;;991.9;;;;;;;;;;;;;;;;;;0;;
MAG;01.07.1955 00:00;20.7;30.6;9.8;;;;;;990.2;;;;;;;;;;;;;;;;;;0;;
MAG;01.08.1955 00:00;19.1;28.7;7.5;;;;;;992.6;;;;;;;;;;;;;;;;;;0;;
MAG;01.09.1955 00:00;16.8;28.2;3.3;;;;;;992.6;;;;;;;;;;;;;;;;;;8.5;;
MAG;01.10.1955 00:00;10.7;23.5;-0.2;;;;;;991.7;;;;;;;;;;;;;;;;;;212.9;;
MAG;01.11.1955 00:00;4.6;16;-8;;;;;;995.1;;;;;;;;;;;;;;;;;;462;;
MAG;01.12.1955 00:00;2.4;14.9;-5.2;;;;;;990.8;;;;;;;;;;;;;;;;;;546.4;;
MAG;01.01.1956 00:00;1.5;13.3;-7.4;;;;;;992.7;;;;;;;;;;;;;;;;;;574.9;;
MAG;01.02.1956 00:00;-1.8;18.5;-15.5;;;;;;987.6;;;;;;;;;;;;;;;;;;631;;
MAG;01.03.1956 00:00;5.8;23.8;-7.4;;;;;;992.6;;;;;;;;;;;;;;;;;;435.1;;
MAG;01.04.1956 00:00;9.2;21.4;-4.2;;;;;;987.1;;;;;;;;;;;;;;;;;;304.3;;
MAG;01.05.1956 00:00;15.9;27.6;3.7;;;;;;994.5;;;;;;;;;;;;;;;;;;0;;
MAG;01.06.1956 00:00;17.4;27.3;6.4;;;;;;992.1;;;;;;;;;;;;;;;;;;8;;
MAG;01.07.1956 00:00;20;30.5;10.6;;;;;;991.4;;;;;;;;;;;;;;;;;;0;;
MAG;01.08.1956 00:00;19.4;29.4;6.8;;;;;;989.3;;;;;;;;;;;;;;;;;;0;;
MAG;01.09.1956 00:00;16.7;28;6.6;;;;;;995;;;;;;;;;;;;;;;;;;0;;
MAG;01.10.1956 00:00;9.6;23.6;-2.7;;;;;;994.9;;;;;;;;;;;;;;;;;;289.6;;
MAG;01.11.1956 00:00;5.3;16.5;-3.6;;;;;;992;;;;;;;;;;;;;;;;;;439.6;;
MAG;01.12.1956 00:00;1.1;20.2;-10.5;;;;;;997.4;;;;;;;;;;;;;;;;;;584.7;;
MAG;01.01.1957 00:00;-0.7;15.5;-11;;;;;;996.1;;;;;;;;;;;;;;;;;;642.2;;
MAG;01.02.1957 00:00;3.4;16.4;-7;;;;;;990.8;;;;;;;;;;;;;;;;;;465.7;;
MAG;01.03.1957 00:00;8.3;18.2;-4.2;;;;;;994;;;;;;;;;;;;;;;;;;356.3;;
MAG;01.04.1957 00:00;11.4;21.6;-1.5;;;;;;991.5;;;;;;;;;;;;;;;;;;165.5;;
MAG;01.05.1957 00:00;13.2;24.9;-1;;;;;;989.4;;;;;;;;;;;;;;;;;;77.8;;
MAG;01.06.1957 00:00;17.6;29.6;7.8;;;;;;993.1;;;;;;;;;;;;;;;;;;0;;
MAG;01.07.1957 00:00;20.6;33.1;;;;;;;990.7;;;;;;;;;;;;;;;;;;0;;
MAG;01.08.1957 00:00;19.1;29.1;7.9;;;;;;991.5;;;;;;;;;;;;;;;;;;0;;
MAG;01.09.1957 00:00;15.7;25.4;2.8;;;;;;991.9;;;;;;;;;;;;;;;;;;34.4;;
MAG;01.10.1957 00:00;11.3;29.4;-1.1;;;;;;995.4;;;;;;;;;;;;;;;;;;179.8;;
MAG;01.11.1957 00:00;6.5;20.3;-4.2;;;;;;993.3;;;;;;;;;;;;;;;;;;404.1;;
MAG;01.12.1957 00:00;0.3;12;-7.6;;;;;;991.9;;;;;;;;;;;;;;;;;;610.9;;
MAG;01.01.1958 00:00;0.5;12.2;-9.4;;;;;;992.7;;;;;1.3;;;;5.1;;;;;;;;;604.1;;
MAG;01.02.1958 00:00;4.1;18;-6.2;;;;;;991.3;;;;;1.6;;;;97.3;;;;;;;;;444.7;;
MAG;01.03.1958 00:00;5.2;21.2;-5.3;;;;;;985.8;;;;;2;;;;13.3;;;;;;;;;449.9;;
MAG;01.04.1958 00:00;9.2;21.9;-0.9;;;;;;989;;;;;2;;;;209.2;;;;;;;;;268.6;;
MAG;01.05.1958 00:00;16.5;25.8;3.6;;;;;;993.9;;;;;1.4;;;;266.6;;;;;;;;;10.4;;
MAG;01.06.1958 00:00;18.1;26.8;7;;;;;;990;;;;;1.5;;;;135.5;;;;;;;;;0;;
MAG;01.07.1958 00:00;20.7;31.4;7.9;;;;;;991.4;;;;;1.5;;;;143.7;;;;;;;;;0;;
MAG;01.08.1958 00:00;20.4;31.6;8.5;;;;;;991.3;;;;;1.3;;;;342.3;;;;;;;;;0;;
MAG;01.09.1958 00:00;17.7;26.2;6.6;;;;;;995.4;;;;;1;;;;153.6;;;;;;;;;0;;
MAG;01.10.1958 00:00;11;27.6;-2.4;;;;;;996.5;;;;;1.6;;;;292.9;;;;;;;;;192.8;;
MAG;01.11.1958 00:00;6.9;15.5;-2.2;;;;;;995.1;;;;;0.9;;;;83.3;;;;;;;;;392.9;;
MAG;01.12.1958 00:00;1.7;16.8;-7.6;;;;;;987.4;;;;;1.1;;;;280.1;;;;;;;;;568.8;;
MAG;01.01.1959 00:00;1.5;13.8;-7.6;;;;63;4.2;992.1;;;;;1.7;;;;28.1;;;;;;;;;573.9;;
