station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MTR;01.01.1993 00:00;1;9.5;-14.9;;;;;;;;;;;;;;;;;;;;;;;;;341.6;
MTR;01.02.1993 00:00;-1.4;7.9;-17.9;;;;;;;;;;;6.1;30;22;108;;;;;;;;;;;376;
MTR;01.03.1993 00:00;-2.2;13.4;-13.2;;;;;;;;;;;;;;;;;;;;;;;;;441.7;
MTR;01.04.1993 00:00;0.9;10.7;-7.1;;;;;;;;;;;5.4;27.4;;98.6;;;;;;;;;;;331.9;
MTR;01.05.1993 00:00;5.1;;;;;;;;;;;;;4.2;;15.1;;;;;;;;;;;;203;
MTR;01.06.1993 00:00;8.8;;;;;;;;;;;;;4.7;;;;;;;;;;;;;;;
MTR;01.07.1993 00:00;9.7;19.2;0.8;;;;;;;;;;;5.1;21.4;;77;;;;;;;;;;;87.2;
MTR;01.08.1993 00:00;11.9;19.6;2.5;;;;;;;;;;;4.7;21.4;;77;;;;;;;;;;;36.8;
MTR;01.09.1993 00:00;5.5;13.4;-2.2;;;;;;;;;;;6.6;39.2;;141.1;;;;;;;;;;;194.3;
MTR;01.10.1993 00:00;2;8;-6.5;;;;;;;;;;;7.3;38.5;;138.6;;;;;;;;;;;311.5;
MTR;01.11.1993 00:00;-3.4;4.1;-14.3;;;;;;;;;;;4.3;27.2;;97.9;;;;;;;;;;;461.5;
MTR;01.12.1993 00:00;-3.9;6.4;-13.3;;;;;;;;;;;5.6;27;;97.2;;;;;;;;;;;491.8;
MTR;01.01.1994 00:00;-3.8;3.3;-14.1;;;;;;;;;;;7.1;38.7;;139.3;;;;;;;;;;;490.6;
MTR;01.02.1994 00:00;-6.2;0.7;-15.5;;;;;;;;;;;5.4;25.2;;90.7;;;;;;;;;;;509.5;
MTR;01.03.1994 00:00;0.7;8.6;-7.6;;;;;;;;;;;5.7;30.9;;111.2;;;;;;;;;;;349;
MTR;01.04.1994 00:00;-2.4;;;;;;;;;;;;;7.2;;25.9;;;;;;;;;;;;402.5;
MTR;01.05.1994 00:00;3.7;13.4;-3;;;;;;;;;;;6;29;;104.4;;;;;;;;;;;255.9;
MTR;01.06.1994 00:00;7.8;18.8;-2.4;;;;;;;;;;;6.5;36.2;;130.3;;;;;;;;;;;132.1;
MTR;01.07.1994 00:00;12.1;20.2;6.3;;;;;;;;;;;3.6;32.5;;117;;;;;;;;;;;20.6;
MTR;01.08.1994 00:00;11.3;20.4;4.7;;;;;;;;;;;4.5;23.6;;85;;;;;;;;;;;45.7;
MTR;01.09.1994 00:00;5.5;13.6;-3.7;;;;;;;;;;;7.1;33;;118.8;;;;;;;;;;;194.1;
MTR;01.10.1994 00:00;5.1;;;;;;;;;;;;;5.2;19.3;18.7;69.5;;;;;;;;;;;198.9;
MTR;01.11.1994 00:00;5.3;13.8;-3.8;;;;;;;;;;;6.4;30.6;;110.2;;;;;;;;;;;200.6;
MTR;01.12.1994 00:00;-1.6;11.3;-12.3;;;;;;;;;;;5.7;30;;108;;;;;;;;;;;423;
MTR;01.01.1995 00:00;-7.1;3.2;-16.5;;;;;;;;;;;8.4;35.1;30.2;126.4;;;;;;;;;;;552.8;
MTR;01.02.1995 00:00;-2.1;6.1;-11;;;;;;;;;;;6.1;25.2;22;90.7;;;;;;;;;;;396;
MTR;01.03.1995 00:00;-5;;;;;;;;;;;;;7;;25.2;;;;;;;;;;;;491.9;
MTR;01.04.1995 00:00;;;;;;;;;;;;;;7.3;;26.3;;;;;;;;;;;;;
MTR;01.05.1995 00:00;3.6;;;;;;;;;;;;;5.8;25.1;20.9;90.4;;;;;;;;;;;;
MTR;01.06.1995 00:00;5.8;19.4;-1;;;;;;;;;;;5.3;23.4;;84.2;;;;;;;;;;;187;
MTR;01.07.1995 00:00;11.9;21.1;2.7;;;;;;;;;;;4.4;20.6;;74.2;;;;;;;;;;;28.4;
MTR;01.08.1995 00:00;8.5;19.1;-1.6;;;;;;;;;;;5;26.2;;94.3;;;;;;;;;;;109.8;
MTR;01.09.1995 00:00;3.7;13.2;-9.9;;;;;;;;;;;5.7;25.3;;91.1;;;;;;;;;;;248.7;
MTR;01.10.1995 00:00;8;17.5;0.3;;;;;;;;;;;4;31.5;;113.4;;;;;;;;;;;124.9;
MTR;01.11.1995 00:00;-0.8;39.2;-13.6;;;;;;;;;;;8;32.6;28.8;117.4;;;;;;;;;;;384.1;
MTR;01.12.1995 00:00;-1.9;10.5;-14.1;;;;;;;;;;;7.5;30.7;;110.5;;;;;;;;;;;431.8;
MTR;01.01.1996 00:00;-1.3;;;;;;;;;;;;;;28.5;;102.6;;;;;;;;;;;399.3;
MTR;01.02.1996 00:00;;;;;;;;;;;;;;;32.1;;115.6;;;;;;;;;;;;
MTR;01.03.1996 00:00;;;;;;;;;;;;;;7.1;34.2;;123.1;;;;;;;;;;;;
MTR;01.04.1996 00:00;1;9.2;-9.7;;;;;;;;;;;6.5;29.1;23.4;104.8;;;;;;;;;;;331.3;
MTR;01.05.1996 00:00;;;;;;;;;;;;;;7.7;44.5;;160.2;;;;;;;;;;;;
MTR;01.06.1996 00:00;11.3;;;;;;;;;;;;;4.6;23.1;;83.2;;;;;;;;;;;;
MTR;01.07.1996 00:00;8.5;;;;;;;;;;;;;4.8;31.3;;112.7;;;;;;;;;;;;
MTR;01.08.1996 00:00;7;18.5;0.3;;;;;;;;;;;4.5;19.1;;68.8;;;;;;;;;;;155;
MTR;01.09.1996 00:00;3.8;16.3;-3.7;;;;;;;;;;;5.6;22.6;20.2;81.4;;;;;;;;;;;246.6;
MTR;01.10.1996 00:00;3.5;;;;;;;;;;;;;5.7;24.3;;87.5;;;;;;;;;;;262.2;
MTR;01.11.1996 00:00;-2;;;;;;;;;;;;;7.2;34.9;25.9;125.6;;;;;;;;;;;391.9;
MTR;01.12.1996 00:00;-4.3;4;-18.9;;;;71.7;3.3;;;;;;5.2;24.3;;87.5;;;;;;;;;;;490.3;
MTR;01.01.1997 00:00;-2.5;;;;;;61.1;2.9;;;;;;4.9;;17.6;;;;;;;;;;;;421.7;
MTR;01.02.1997 00:00;-2.3;5.4;-10.7;;;;49.4;2.5;;;;;;4.9;24.7;;88.9;;;;;;;;;;;400.1;
MTR;01.03.1997 00:00;-0.1;7.7;-11;;;;52.8;3.1;;;;;;5.7;23.7;;85.3;;;;;;;;;;;375.2;
MTR;01.04.1997 00:00;-1.4;6.5;-10.8;;;;53.6;3.1;;;;;;6.4;32.8;;118.1;;;;;;;;;;;401.3;
MTR;01.06.1997 00:00;6.1;14;-1.8;;;;84.2;8;;;;;;5.8;27.3;;98.3;;;;;;;;;;;177;
MTR;01.07.1997 00:00;8.1;16.3;0.3;;;;72.1;7.8;;;;;;5.7;22.4;;80.6;;;;;;;;;;;120.1;
MTR;01.08.1997 00:00;10.5;17.7;1.6;;;;77.1;9.8;;;;;;4.1;32.5;;117;;;;;;;;;;;54.8;
MTR;01.09.1997 00:00;9.4;15.9;1.7;;;;67.2;7.8;;;;;;3.6;18;;64.8;;;;;;;;;;;81.4;
MTR;01.10.1997 00:00;3.2;12.7;-10.4;;;;63.8;5.1;;;;;;5.1;25.3;;91.1;;;;;;;;;;;272;
MTR;01.11.1997 00:00;-1.1;6.6;-9.1;;;;72.9;4.1;;;;;;5.9;31.8;;114.5;;;;;;;;;;;391.6;
MTR;01.12.1997 00:00;-4.1;4.5;-11.2;;;;70.1;3.2;;;;;;5.9;23.1;;83.2;;;;;;;;;;;498.6;
MTR;01.01.1998 00:00;-3.9;5.8;-12.2;;;;54.9;2.4;;;;;;5.9;34.4;;123.8;;;;;;;;;;;492.3;
MTR;01.02.1998 00:00;;;;;;;;;;;;;;4.6;23.1;16.6;83.2;;;;;;;;;;;;
MTR;01.03.1998 00:00;-3;;;;;;54.8;2.8;;;;;;6.2;29.3;22.3;105.5;;;;;;;;;;;;
MTR;01.04.1998 00:00;-1.9;7;-11.7;;;;82.9;4.6;;;;;;6.6;;23.8;;;;;;;;;;;;389.8;
MTR;01.05.1998 00:00;4.1;14.1;-3.2;;;;72.1;5.9;;;;;;4.7;23.1;16.9;83.2;;;;;;;;;;;245.9;
MTR;01.06.1998 00:00;7.9;19.6;-3.1;;;;73.9;8.1;;;;;;4.9;;17.6;;;;;;;;;;;;130.9;
MTR;01.07.1998 00:00;10.1;18.1;0.4;;;;72.9;9.2;;;;;;5;23.4;18;84.2;;;;;;;;;;;69.7;
MTR;01.08.1998 00:00;11;21.5;0;;;;69.8;9.2;;;;;;4.3;24.7;15.5;88.9;;;;;;;;;;;62.3;
MTR;01.10.1998 00:00;2.1;11.1;-5.4;;;;71.8;5.1;;;;;;5.3;28.3;19.1;101.9;;;;;;;;;;;285.7;
MTR;01.11.1998 00:00;-4.1;8.5;-15.2;;;;56.5;2.7;;;;;;;;;;;;;;;;;;;;450.5;
MTR;01.12.1998 00:00;-4.2;9.1;-14.2;;;;54.9;2.5;;;;;;;;;;;;;;;;;;;;486.4;
MTR;01.01.1999 00:00;-3.7;8.9;-18.9;;;;;;;;;;;5.2;;18.7;;;;;;;;;;;;487.1;
MTR;01.06.1999 00:00;6.3;17.7;-1.6;;;;;;;;;;;6.7;29;24.1;104.4;;;;;;;;;;;164.8;
MTR;01.07.1999 00:00;9.7;19;1.9;;;;;;;;;;;5.6;29;;104.4;;;;;;;;;;;76.4;
MTR;01.08.1999 00:00;9.6;17.7;2;;;;;;;;;;;6.2;27.3;22.3;98.3;;;;;;;;;;;78;
MTR;01.09.1999 00:00;7.4;15.6;0.8;;;;;;;;;;;;;;;;;;;;;;;;;132.1;
MTR;01.10.1999 00:00;3.6;13.4;-5.7;;;;;;;;;;;6.4;;23;;;;;;;;;;;;261.3;
MTR;01.11.1999 00:00;-3.3;5.4;-13.2;;;;;;;;;;;6.8;;24.5;;;;;;;;;;;;458;
MTR;01.12.1999 00:00;-5.1;5.1;-14;;;;;;;;;;;;;;;;;;;;;;;;;529.9;
MTR;01.01.2000 00:00;-4.1;5.4;-17.4;;;;49;;;;;;;;;;;;;;;;;;;;;498.3;
MTR;01.02.2000 00:00;-3.2;;;;;;57.7;;;;;;;;;;;;;;;;;;;;;409.5;
MTR;01.03.2000 00:00;-2.7;6.2;-11.7;;;;62.7;;;;;;;6.2;;22.3;;;;;;;;;;;;441.1;
MTR;01.04.2000 00:00;-0.1;;;;;;78.4;;;;;;;6.6;;23.8;;;;;;;;;;;;351.6;
MTR;01.05.2000 00:00;4.8;12.3;0;;;;81.5;;;;;;;4.2;;15.1;;;;;;;;;;;;214.8;
MTR;01.06.2000 00:00;8.9;15.7;2.2;;;;70.1;;;;;;;4.6;25.8;16.6;92.9;;;;;;;;;;;88.7;
MTR;01.07.2000 00:00;7.2;15.8;0;;;;72.9;;;;;;;5.6;24;20.2;86.4;;;;;;;;;;;145;
MTR;01.08.2000 00:00;10.7;18.8;3.6;;;;73.7;;;;;;;4.9;26.4;17.6;95;;;;;;;;;;;59.2;
MTR;01.09.2000 00:00;7.3;16.2;0.9;;;;74.2;;;;;;;5.3;31.1;;112;;;;;;;;;;;142.5;
MTR;01.10.2000 00:00;2.8;9.6;-5.3;;;;81.3;;;;;;;6.8;36.7;24.5;132.1;;;;;;;;;;;275.8;
MTR;01.11.2000 00:00;;;;;;;;;;;;;;7.5;;27;;;;;;;;;;;;;
MTR;01.12.2000 00:00;-2.9;6;-12.2;;;;;;;;;;;5.5;20.4;19.8;73.4;;;;;;;;;;;461.9;
MTR;01.01.2001 00:00;-5.7;1.5;-13.3;;;;;;;;;;;2.6;20.2;9.4;72.7;;;;;;;;;;;549.7;
MTR;01.02.2001 00:00;-4.3;5.4;-16.1;;;;;;;;;;;;;;;;;;;;;;;;;441.3;
MTR;01.03.2001 00:00;-1.6;;;;;;;;;;;;;6;29.4;21.6;105.8;;;;;;;;;;;393.2;
MTR;01.04.2001 00:00;-2.6;4.5;-11.9;;;;;;;;;;;6.8;30.5;24.5;109.8;;;;;;;;;;;437.1;
MTR;01.05.2001 00:00;5.6;20;-1.4;;;;;;;;;;;5.3;26.3;;94.7;;;;;;;;;;;202.6;
MTR;01.06.2001 00:00;6.7;18.5;-4.5;;;;;;;;;;;5.9;26.1;;94;;;;;;;;;;;162.9;
MTR;01.07.2001 00:00;9.7;18.3;2.1;;;;;;;;;;;5.5;27.3;19.8;98.3;;;;;;;;;;;80.2;
MTR;01.08.2001 00:00;11.2;19;3;;;;;;;;;;;4.9;24.3;17.6;87.5;;;;;;;;;;;46.6;
MTR;01.09.2001 00:00;2.9;11.5;-3;;;;;;;;;;;5.9;;21.2;;;;;;;;;;;;273.9;
MTR;01.10.2001 00:00;6.1;15.5;-0.9;;;;;;;;;;;4.6;24.8;16.6;89.3;;;;;;;;;;;182.2;
MTR;01.11.2001 00:00;-0.8;9.2;-11.8;;;;;;;;;;;5.9;26.5;21.2;95.4;;;;;;;;;;;383.7;
MTR;01.12.2001 00:00;-5.6;5.4;-18;;;;;;;;;;;6.6;32.3;;116.3;;;;;;;;;;;545;
MTR;01.01.2002 00:00;-1.9;7.8;-13.6;;;;37.1;1.9;;;;;;4.8;21.5;17.3;77.4;;;;;;;;;;;432;
MTR;01.02.2002 00:00;-2.7;6;-12.2;;;;66;3.3;;;;;;5.7;34.2;;123.1;;;;;;;;;;;412.4;
MTR;01.03.2002 00:00;-1.5;7.2;-11.1;;;;63.6;3.5;;;;;;5.8;31.9;20.9;114.8;;;;;;;;;;;405;
MTR;01.04.2002 00:00;-0.8;7.2;-7;;;;70.7;4.1;;;;;;5.3;20.9;19.1;75.2;;;;;;;;;;;383.6;
MTR;01.05.2002 00:00;3.4;14;-4.8;;;;81.3;6.3;;;;;;5.5;28.9;;104;;;;;;;;;;;267.1;
MTR;01.06.2002 00:00;10;22.4;0.3;;;;73;9;;;;;;4.2;32.5;15.1;117;;;;;;;;;;;91.3;
MTR;01.07.2002 00:00;9.3;17.8;3;;;;77.2;9;;;;;;5.4;20.6;19.4;74.2;;;;;;;;;;;84.9;
MTR;01.08.2002 00:00;8.8;;;;;;77.5;8.7;;;;;;5.3;;19.1;;;;;;;;;;;;93.4;
MTR;01.09.2002 00:00;4.8;11.8;-4.4;;;;76.2;6.8;;;;;;5.2;30.3;18.7;109.1;;;;;;;;;;;217.5;
MTR;01.10.2002 00:00;2.8;;;;;;67.9;5;;;;;;6;;21.6;;;;;;;;;;;;257;
MTR;01.11.2002 00:00;-1.3;4.6;-7.5;;;;83.3;4.8;;;;;;9;41.9;;150.8;;;;;;;;;;;385.5;
MTR;01.12.2002 00:00;-2.6;6.5;-12.8;;;;70.4;3.5;;;;;;4.7;22.8;;82.1;;;;;;;;;;;452.9;
MTR;01.01.2003 00:00;-5.8;3.9;-17.3;;;;56;2.3;;;;;;4.4;29.6;;106.6;;;;;;;;;;;550.6;
MTR;01.02.2003 00:00;-7.7;0;-16.2;;;;46.7;1.5;;;;;;4.9;24.1;17.6;86.8;;;;;;;;;;;552.2;
MTR;01.03.2003 00:00;-1.1;6.9;-10.1;;;;48.8;2.7;;;;;;4.9;24;17.6;86.4;;;;;;;;;;;365.9;
MTR;01.05.2003 00:00;5.2;14.2;-4.7;;;;72.3;6.6;;;;;;5.2;18.8;;67.7;;;;;;;;;;;210;
