station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MER;01.07.1889 00:00;16.4;;;;;;;;;;;;;;;;;176.1;;;;;;;;;27;;
MER;01.08.1889 00:00;15.8;;;;;;;;;;;;;;;;;108.9;;;;;;;;;34.5;;
MER;01.09.1889 00:00;11.8;;;;;;;;;;;;;;;;;93.8;;;;;;;;;190;;
MER;01.10.1889 00:00;7.8;;;;;;;;;;;;;;;;;182.5;;;;;;;;;376.9;;
MER;01.11.1889 00:00;1.7;;;;;;;;;;;;;;;;;75.2;;;;;;;;;549.2;;
MER;01.12.1889 00:00;-4.4;;;;;;;;;;;;;;;;;41;;;;;;;;;755;;
MER;01.01.1890 00:00;-0.1;;;;;;;;;;;;;;;;;69.7;;;;;;;;;612.7;;
MER;01.02.1890 00:00;-2.6;;;;;;;;;;;;;;;;;4.1;;;;;;;;;626;;
MER;01.03.1890 00:00;3.5;;;;;;;;;;;;;;;;;55.4;;;;;;;;;496.3;;
MER;01.04.1890 00:00;7.7;;;;;;;;;;;;;;;;;127.3;;;;;;;;;331.2;;
MER;01.05.1890 00:00;13.6;;;;;;;;;;;;;;;;;78.6;;;;;;;;;88.6;;
MER;01.06.1890 00:00;14.6;;;;;;;;;;;;;;;;;161.5;;;;;;;;;59.9;;
MER;01.07.1890 00:00;15.4;;;;;;;;;;;;;;;;;140;;;;;;;;;37.6;;
MER;01.08.1890 00:00;15.7;;;;;;;;;;;;;;;;;299.2;;;;;;;;;57;;
MER;01.09.1890 00:00;13.1;;;;;;;;;;;;;;;;;29.9;;;;;;;;;;;
MER;01.10.1890 00:00;6.1;;;;;;;;;;;;;;;;;132.9;;;;;;;;;409.1;;
