station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MOE;01.10.1900 00:00;;;;;;;;;;;;;;;;;;86.5;;;;;;;;;;;
MOE;01.11.1900 00:00;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;
MOE;01.12.1900 00:00;;;;;;;;;;;;;;;;;;62.5;;;;;;;;;;;
MOE;01.01.1901 00:00;;;;;;;;;;;;;;;;;;49.7;;;;;;;;;;;
MOE;01.02.1901 00:00;;;;;;;;;;;;;;;;;;43.1;;;;;;;;;;;
MOE;01.03.1901 00:00;;;;;;;;;;;;;;;;;;81.4;;;;;;;;;;;
MOE;01.04.1901 00:00;;;;;;;;;;;;;;;;;;156.7;;;;;;;;;;;
MOE;01.05.1901 00:00;;;;;;;;;;;;;;;;;;27.8;;;;;;;;;;;
MOE;01.06.1901 00:00;;;;;;;;;;;;;;;;;;143.8;;;;;;;;;;;
MOE;01.07.1901 00:00;;;;;;;;;;;;;;;;;;132.3;;;;;;;;;;;
MOE;01.08.1901 00:00;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;
MOE;01.09.1901 00:00;;;;;;;;;;;;;;;;;;126.4;;;;;;;;;;;
MOE;01.10.1901 00:00;;;;;;;;;;;;;;;;;;61;;;;;;;;;;;
MOE;01.11.1901 00:00;;;;;;;;;;;;;;;;;;35.5;;;;;;;;;;;
MOE;01.12.1901 00:00;;;;;;;;;;;;;;;;;;86.6;;;;;;;;;;;
MOE;01.01.1902 00:00;;;;;;;;;;;;;;;;;;44.6;;;;;;;;;;;
MOE;01.02.1902 00:00;;;;;;;;;;;;;;;;;;69.8;;;;;;;;;;;
MOE;01.03.1902 00:00;;;;;;;;;;;;;;;;;;93.5;;;;;;;;;;;
MOE;01.04.1902 00:00;;;;;;;;;;;;;;;;;;56.8;;;;;;;;;;;
MOE;01.05.1902 00:00;;;;;;;;;;;;;;;;;;85.4;;;;;;;;;;;
MOE;01.06.1902 00:00;;;;;;;;;;;;;;;;;;58.9;;;;;;;;;;;
MOE;01.07.1902 00:00;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;
MOE;01.08.1902 00:00;;;;;;;;;;;;;;;;;;131.5;;;;;;;;;;;
MOE;01.09.1902 00:00;;;;;;;;;;;;;;;;;;60.3;;;;;;;;;;;
MOE;01.10.1902 00:00;;;;;;;;;;;;;;;;;;109.4;;;;;;;;;;;
MOE;01.11.1902 00:00;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;
MOE;01.12.1902 00:00;;;;;;;;;;;;;;;;;;89.3;;;;;;;;;;;
MOE;01.01.1903 00:00;;;;;;;;;;;;;;;;;;60.9;;;;;;;;;;;
MOE;01.02.1903 00:00;;;;;;;;;;;;;;;;;;46.2;;;;;;;;;;;
MOE;01.03.1903 00:00;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;
MOE;01.04.1903 00:00;;;;;;;;;;;;;;;;;;70.7;;;;;;;;;;;
MOE;01.05.1903 00:00;;;;;;;;;;;;;;;;;;72.8;;;;;;;;;;;
MOE;01.06.1903 00:00;;;;;;;;;;;;;;;;;;88.9;;;;;;;;;;;
MOE;01.07.1903 00:00;;;;;;;;;;;;;;;;;;126.9;;;;;;;;;;;
MOE;01.08.1903 00:00;;;;;;;;;;;;;;;;;;97.9;;;;;;;;;;;
MOE;01.09.1903 00:00;;;;;;;;;;;;;;;;;;55.5;;;;;;;;;;;
MOE;01.10.1903 00:00;;;;;;;;;;;;;;;;;;108.2;;;;;;;;;;;
MOE;01.11.1903 00:00;;;;;;;;;;;;;;;;;;92.1;;;;;;;;;;;
MOE;01.12.1903 00:00;;;;;;;;;;;;;;;;;;40.9;;;;;;;;;;;
MOE;01.01.1904 00:00;;;;;;;;;;;;;;;;;;37.9;;;;;;;;;;;
MOE;01.02.1904 00:00;;;;;;;;;;;;;;;;;;145.9;;;;;;;;;;;
MOE;01.03.1904 00:00;;;;;;;;;;;;;;;;;;37.7;;;;;;;;;;;
MOE;01.04.1904 00:00;;;;;;;;;;;;;;;;;;87.6;;;;;;;;;;;
MOE;01.05.1904 00:00;;;;;;;;;;;;;;;;;;119.7;;;;;;;;;;;
MOE;01.06.1904 00:00;;;;;;;;;;;;;;;;;;65.6;;;;;;;;;;;
MOE;01.07.1904 00:00;;;;;;;;;;;;;;;;;;16.9;;;;;;;;;;;
MOE;01.08.1904 00:00;;;;;;;;;;;;;;;;;;80.7;;;;;;;;;;;
MOE;01.09.1904 00:00;;;;;;;;;;;;;;;;;;79.8;;;;;;;;;;;
MOE;01.10.1904 00:00;;;;;;;;;;;;;;;;;;39.9;;;;;;;;;;;
MOE;01.11.1904 00:00;;;;;;;;;;;;;;;;;;30.1;;;;;;;;;;;
MOE;01.12.1904 00:00;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;
MOE;01.01.1905 00:00;;;;;;;;;;;;;;;;;;55.1;;;;;;;;;;;
MOE;01.02.1905 00:00;;;;;;;;;;;;;;;;;;31.6;;;;;;;;;;;
MOE;01.03.1905 00:00;;;;;;;;;;;;;;;;;;111.6;;;;;;;;;;;
MOE;01.04.1905 00:00;;;;;;;;;;;;;;;;;;81.9;;;;;;;;;;;
MOE;01.05.1905 00:00;;;;;;;;;;;;;;;;;;84.3;;;;;;;;;;;
MOE;01.06.1905 00:00;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;
MOE;01.07.1905 00:00;;;;;;;;;;;;;;;;;;37.5;;;;;;;;;;;
MOE;01.08.1905 00:00;;;;;;;;;;;;;;;;;;182.1;;;;;;;;;;;
