station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MVE;01.01.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;6120;;;;;;
MVE;01.02.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;7020;;;;;;
MVE;01.03.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;10440;;;;;;
MVE;01.04.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;10860;;;;;;
MVE;01.05.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;10380;;;;;;
MVE;01.06.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;10320;;;;;;
MVE;01.07.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;13140;;;;;;
MVE;01.08.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;17220;;;;;;
MVE;01.09.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;14820;;;;;;
MVE;01.10.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;9600;;;;;;
MVE;01.11.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;8100;;;;;;
MVE;01.12.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;8520;;;;;;
MVE;01.01.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;5460;;;;;;
MVE;01.02.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;8580;;;;;;
MVE;01.03.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;8520;;;;;;
MVE;01.04.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;10200;;;;;;
MVE;01.05.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;15180;;;;;;
MVE;01.06.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;13260;;;;;;
MVE;01.07.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;15120;;;;;;
MVE;01.08.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;13140;;;;;;
MVE;01.09.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;8100;;;;;;
MVE;01.10.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;13080;;;;;;
MVE;01.11.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;7680;;;;;;
MVE;01.12.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;7680;;;;;;
MVE;01.01.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;7140;;;;;;
MVE;01.02.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;10620;;;;;;
MVE;01.03.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;7320;;;;;;
MVE;01.04.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;10020;;;;;;
MVE;01.05.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;10980;;;;;;
MVE;01.06.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;12780;;;;;;
MVE;01.07.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;19560;;;;;;
MVE;01.08.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;13560;;;;;;
MVE;01.09.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;9780;;;;;;
MVE;01.10.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;8040;;;;;;
MVE;01.11.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;5700;;;;;;
MVE;01.12.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;6720;;;;;;
MVE;01.01.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;8640;;;;;;
MVE;01.02.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;9180;;;;;;
MVE;01.03.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;15900;;;;;;
MVE;01.04.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;10200;;;;;;
MVE;01.05.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;13140;;;;;;
MVE;01.06.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;12720;;;;;;
MVE;01.07.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;15720;;;;;;
MVE;01.08.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;13380;;;;;;
MVE;01.09.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;15420;;;;;;
MVE;01.10.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;7980;;;;;;
MVE;01.11.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;6780;;;;;;
MVE;01.12.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;5580;;;;;;
MVE;01.01.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;8580;;;;;;
MVE;01.02.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;9300;;;;;;
MVE;01.03.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;8160;;;;;;
MVE;01.04.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;8040;;;;;;
MVE;01.05.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;7800;;;;;;
MVE;01.06.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;14280;;;;;;
MVE;01.07.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;12120;;;;;;
MVE;01.08.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;14040;;;;;;
MVE;01.09.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;10380;;;;;;
MVE;01.10.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;7800;;;;;;
MVE;01.11.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;6720;;;;;;
MVE;01.12.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;7560;;;;;;
MVE;01.01.1931 00:00;-3.8;8.5;-16.3;;;;72.4;3.6;848.4;;;;;1.4;;5;;198.7;;;;;7098;46;;;738.5;;
MVE;01.02.1931 00:00;-4.7;6.2;-16;;;;73.3;3.3;846.1;;;;;1.7;;6.1;;114.9;;;;;6060;38;;;690.4;;
MVE;01.03.1931 00:00;0.9;9.9;-15.8;;;;66.6;4.5;846.7;;;;;1.4;;5;;147;;;;;10548;51;;;593.1;;
MVE;01.04.1931 00:00;3.6;15.3;-6.7;;;;65.8;5.2;848.4;;;;;2.4;;8.6;;37.8;;;;;11118;50;;;493.3;;
MVE;01.05.1931 00:00;11;30.3;-0.1;;;;63.1;8.4;852.3;;;;;2.4;;8.6;;34.5;;;;;11592;46;;;241.3;;
MVE;01.06.1931 00:00;15.7;34.1;1.9;;;;63.5;11.4;858.1;;;;;1.7;;6.1;;34.3;;;;;15786;63;;;40.9;;
MVE;01.07.1931 00:00;13.7;29.3;1.4;;;;65.3;10.4;855.7;;;;;1.7;;6.1;;74.3;;;;;13698;54;;;114.2;;
MVE;01.08.1931 00:00;12;27.1;3.4;;;;72.4;10.2;854.5;;;;;1.7;;6.1;;136.6;;;;;10548;44;;;168.3;;
MVE;01.09.1931 00:00;7.2;24.1;-5;;;;75;7.8;854.8;;;;;1.7;;6.1;;52.4;;;;;10836;53;;;370.8;;
MVE;01.10.1931 00:00;6.9;20.3;-4.5;;;;75.4;7.6;855.8;;;;;1.1;;4;;34.5;;;;;11568;60;;;391.1;;
MVE;01.11.1931 00:00;3.7;11.5;-5.6;;;;72.3;5.7;851.9;;;;;1.4;;5;;50.4;;;;;7206;45;;;488.2;;
MVE;01.12.1931 00:00;-2.4;10.2;-15.5;;;;63.6;3.4;855.9;;;;;0.6;;2.2;;44.2;;;;;10080;68;;;695.2;;
MVE;01.01.1932 00:00;1.1;8.2;-14.6;;;;56.7;3.8;860.8;;;;;2;;7.2;;68.3;;;;;9630;61;;;585.5;;
MVE;01.02.1932 00:00;-4.6;5.9;-16.9;;;;63.6;2.8;851.8;;;;;0.8;;2.9;;1.1;;;;;14142;84;;;713.8;;
MVE;01.03.1932 00:00;0.1;12.6;-10.6;;;;68.1;4.2;848.3;;;;;2.7;;9.7;;128.6;;;;;7781;38;;;618.3;;
MVE;01.04.1932 00:00;2.3;16.2;-9.9;;;;64.5;4.7;847.5;;;;;2.4;;8.6;;61.6;;;;;10590;48;;;530.7;;
MVE;01.05.1932 00:00;8;24.4;-2.7;;;;67.5;7.2;851.9;;;;;2;;7.2;;102.2;;;;;10044;40;;;326.6;;
MVE;01.06.1932 00:00;11.9;24.9;-0.4;;;;64.7;9.2;854.7;;;;;2;;7.2;;42.7;;;;;12810;51;;;147.3;;
MVE;01.07.1932 00:00;13.5;29;4;;;;72.4;11.3;854.4;;;;;1.4;;5;;123.7;;;;;10818;42;;;108.5;;
MVE;01.08.1932 00:00;17.1;30.4;5.2;;;;62.5;12.2;859.3;;;;;1.7;;6.1;;35;;;;;16170;67;;;38.5;;
MVE;01.09.1932 00:00;14.2;24.8;4.1;;;;72.3;11.8;855.6;;;;;1.7;;6.1;;12.5;;;;;11022;53;;;48.1;;
