station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
MOA;01.01.1901 00:00;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;
MOA;01.02.1901 00:00;;;;;;;;;;;;;;;;;;36.4;;;;;;;;;;;
MOA;01.03.1901 00:00;;;;;;;;;;;;;;;;;;71.8;;;;;;;;;;;
MOA;01.04.1901 00:00;;;;;;;;;;;;;;;;;;203.3;;;;;;;;;;;
MOA;01.05.1901 00:00;;;;;;;;;;;;;;;;;;37.4;;;;;;;;;;;
MOA;01.06.1901 00:00;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;
MOA;01.07.1901 00:00;;;;;;;;;;;;;;;;;;144.5;;;;;;;;;;;
MOA;01.08.1901 00:00;;;;;;;;;;;;;;;;;;101.7;;;;;;;;;;;
MOA;01.09.1901 00:00;;;;;;;;;;;;;;;;;;128.6;;;;;;;;;;;
MOA;01.10.1901 00:00;;;;;;;;;;;;;;;;;;65.6;;;;;;;;;;;
MOA;01.11.1901 00:00;;;;;;;;;;;;;;;;;;42.5;;;;;;;;;;;
MOA;01.12.1901 00:00;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;
MOA;01.01.1902 00:00;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;
MOA;01.02.1902 00:00;;;;;;;;;;;;;;;;;;76.1;;;;;;;;;;;
MOA;01.03.1902 00:00;;;;;;;;;;;;;;;;;;78.2;;;;;;;;;;;
MOA;01.04.1902 00:00;;;;;;;;;;;;;;;;;;53.9;;;;;;;;;;;
MOA;01.05.1902 00:00;;;;;;;;;;;;;;;;;;162;;;;;;;;;;;
MOA;01.06.1902 00:00;;;;;;;;;;;;;;;;;;58.7;;;;;;;;;;;
MOA;01.07.1902 00:00;;;;;;;;;;;;;;;;;;102.5;;;;;;;;;;;
MOA;01.08.1902 00:00;;;;;;;;;;;;;;;;;;149.7;;;;;;;;;;;
MOA;01.09.1902 00:00;;;;;;;;;;;;;;;;;;70.8;;;;;;;;;;;
MOA;01.10.1902 00:00;;;;;;;;;;;;;;;;;;136.8;;;;;;;;;;;
MOA;01.11.1902 00:00;;;;;;;;;;;;;;;;;;20.4;;;;;;;;;;;
MOA;01.12.1902 00:00;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;
MOA;01.01.1903 00:00;;;;;;;;;;;;;;;;;;45.6;;;;;;;;;;;
MOA;01.02.1903 00:00;;;;;;;;;;;;;;;;;;36.9;;;;;;;;;;;
MOA;01.03.1903 00:00;;;;;;;;;;;;;;;;;;73.9;;;;;;;;;;;
MOA;01.04.1903 00:00;;;;;;;;;;;;;;;;;;48.6;;;;;;;;;;;
MOA;01.05.1903 00:00;;;;;;;;;;;;;;;;;;41.3;;;;;;;;;;;
MOA;01.06.1903 00:00;;;;;;;;;;;;;;;;;;129.3;;;;;;;;;;;
MOA;01.07.1903 00:00;;;;;;;;;;;;;;;;;;197.8;;;;;;;;;;;
MOA;01.08.1903 00:00;;;;;;;;;;;;;;;;;;125.6;;;;;;;;;;;
MOA;01.09.1903 00:00;;;;;;;;;;;;;;;;;;55.7;;;;;;;;;;;
MOA;01.10.1903 00:00;;;;;;;;;;;;;;;;;;125.9;;;;;;;;;;;
MOA;01.11.1903 00:00;;;;;;;;;;;;;;;;;;106.4;;;;;;;;;;;
MOA;01.12.1903 00:00;;;;;;;;;;;;;;;;;;19.6;;;;;;;;;;;
MOA;01.01.1904 00:00;;;;;;;;;;;;;;;;;;32.2;;;;;;;;;;;
MOA;01.02.1904 00:00;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;
MOA;01.03.1904 00:00;;;;;;;;;;;;;;;;;;52.2;;;;;;;;;;;
MOA;01.04.1904 00:00;;;;;;;;;;;;;;;;;;90.4;;;;;;;;;;;
MOA;01.05.1904 00:00;;;;;;;;;;;;;;;;;;142.4;;;;;;;;;;;
MOA;01.06.1904 00:00;;;;;;;;;;;;;;;;;;161.6;;;;;;;;;;;
MOA;01.07.1904 00:00;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;
MOA;01.08.1904 00:00;;;;;;;;;;;;;;;;;;70.3;;;;;;;;;;;
MOA;01.09.1904 00:00;;;;;;;;;;;;;;;;;;120.1;;;;;;;;;;;
MOA;01.10.1904 00:00;;;;;;;;;;;;;;;;;;48.1;;;;;;;;;;;
MOA;01.11.1904 00:00;;;;;;;;;;;;;;;;;;41.2;;;;;;;;;;;
MOA;01.12.1904 00:00;;;;;;;;;;;;;;;;;;59.1;;;;;;;;;;;
MOA;01.01.1905 00:00;;;;;;;;;;;;;;;;;;50.3;;;;;;;;;;;
MOA;01.02.1905 00:00;;;;;;;;;;;;;;;;;;19.9;;;;;;;;;;;
MOA;01.03.1905 00:00;;;;;;;;;;;;;;;;;;127.4;;;;;;;;;;;
MOA;01.04.1905 00:00;;;;;;;;;;;;;;;;;;104.2;;;;;;;;;;;
MOA;01.05.1905 00:00;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;
MOA;01.06.1905 00:00;;;;;;;;;;;;;;;;;;123.4;;;;;;;;;;;
MOA;01.07.1905 00:00;;;;;;;;;;;;;;;;;;66.8;;;;;;;;;;;
MOA;01.08.1905 00:00;;;;;;;;;;;;;;;;;;243.1;;;;;;;;;;;
MOA;01.09.1905 00:00;;;;;;;;;;;;;;;;;;143.5;;;;;;;;;;;
MOA;01.10.1905 00:00;;;;;;;;;;;;;;;;;;97.8;;;;;;;;;;;
MOA;01.11.1905 00:00;;;;;;;;;;;;;;;;;;73.6;;;;;;;;;;;
