station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
CGI;01.01.1965 00:00;0.7;9.2;-9.8;;;;81.1;5.3;;;;;;2.7;;9.7;;86.9;;;;;3162;22;;;597.6;;
CGI;01.02.1965 00:00;-0.9;10;-9.8;;;;69.5;4.1;;;;;;3.5;;12.6;;11.4;;;;;9282;60;;;585.5;;
CGI;01.03.1965 00:00;4.7;18.3;-13.4;;;;72.8;6.5;;;;;;2.7;;9.7;;143.6;;;;;8526;44;;;466;;
CGI;01.04.1965 00:00;8.3;18.6;-0.3;;;;71.5;7.7;;;;;;2.7;;9.7;;71.5;;;;;7386;35;;;336.3;;
CGI;01.05.1965 00:00;13.2;26.2;2;;;;66.3;10;;;;;;2.7;;9.7;;107.1;;;;;10350;44;;;128.1;;
CGI;01.06.1965 00:00;17.1;31.5;5.3;;;;69.1;13.5;;;;;;2.4;;8.6;;59.3;;;;;10704;44;;;69.8;;
CGI;01.07.1965 00:00;17.1;29;4.7;;;;68.8;13.5;;;;;;1.7;;6.1;;180.8;;;;;11496;46;;;0;;
CGI;01.08.1965 00:00;16.8;28.9;7.5;;;;71.3;13.6;;;;;;2.4;;8.6;;110.4;;;;;11898;52;;;0;;
CGI;01.09.1965 00:00;12.5;23.6;5.1;;;;79.6;11.5;;;;;;2.7;;9.7;;193.5;;;;;8016;41;;;142.4;;
CGI;01.10.1965 00:00;10.1;19.2;2;;;;82.9;10.4;;;;;;1.7;;6.1;;35.5;;;;;4164;23;;;293.9;;
CGI;01.11.1965 00:00;5;17;-5.6;;;;79.1;7.1;;;;;;3.1;;11.2;;155.4;;;;;1068;7;;;442.5;;
CGI;01.12.1965 00:00;3.2;11.9;-7.9;;;;80.7;6.3;;;;;;3.5;;12.6;;248.1;;;;;2244;16;;;521.3;;
CGI;01.01.1966 00:00;-0.3;12;-13.9;;;;75.8;5;;;;;;2.4;;8.6;;122.4;;;;;3924;27;;;630;;
CGI;01.02.1966 00:00;5.8;15.1;-2;;;;79.7;7.3;;;;;;2.4;;8.6;;125.4;;;;;3966;26;;;398.3;;
CGI;01.03.1966 00:00;4.6;13.9;-6.9;;;;67.6;5.7;;;;;;3.1;;11.2;;57.7;;;;;10002;52;;;477.2;;
CGI;01.04.1966 00:00;10.1;19.5;0.7;;;;70.6;8.8;;;;;;2.7;;9.7;;92.6;;;;;7938;38;;;255.8;;
CGI;01.05.1966 00:00;14.3;25.6;3.2;;;;63.2;10.2;;;;;;3.5;;12.6;;63.9;;;;;12054;51;;;65.9;;
