station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
BEH;01.11.1908 00:00;;;;;;;;;;;;;;;;;;44.8;;;;;;;;;;;
BEH;01.12.1908 00:00;;;;;;;;;;;;;;;;;;38.4;;;;;;;;;;;
BEH;01.01.1909 00:00;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;
BEH;01.02.1909 00:00;;;;;;;;;;;;;;;;;;111.5;;;;;;;;;;;
BEH;01.03.1909 00:00;;;;;;;;;;;;;;;;;;235.2;;;;;;;;;;;
BEH;01.04.1909 00:00;;;;;;;;;;;;;;;;;;94.4;;;;;;;;;;;
BEH;01.05.1909 00:00;;;;;;;;;;;;;;;;;;100.8;;;;;;;;;;;
BEH;01.06.1909 00:00;;;;;;;;;;;;;;;;;;197.9;;;;;;;;;;;
BEH;01.07.1909 00:00;;;;;;;;;;;;;;;;;;141;;;;;;;;;;;
BEH;01.08.1909 00:00;;;;;;;;;;;;;;;;;;154.8;;;;;;;;;;;
BEH;01.09.1909 00:00;;;;;;;;;;;;;;;;;;63.1;;;;;;;;;;;
BEH;01.10.1909 00:00;;;;;;;;;;;;;;;;;;230.2;;;;;;;;;;;
BEH;01.11.1909 00:00;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;
BEH;01.12.1909 00:00;;;;;;;;;;;;;;;;;;230;;;;;;;;;;;
BEH;01.01.1910 00:00;;;;;;;;;;;;;;;;;;252.1;;;;;;;;;;;
BEH;01.02.1910 00:00;;;;;;;;;;;;;;;;;;214.7;;;;;;;;;;;
BEH;01.03.1910 00:00;;;;;;;;;;;;;;;;;;116.5;;;;;;;;;;;
BEH;01.04.1910 00:00;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;
BEH;01.05.1910 00:00;;;;;;;;;;;;;;;;;;164.5;;;;;;;;;;;
BEH;01.02.1911 00:00;;;;;;;;;;;;;;;;;;55.5;;;;;;;;;;;
BEH;01.03.1911 00:00;;;;;;;;;;;;;;;;;;196.7;;;;;;;;;;;
BEH;01.04.1911 00:00;;;;;;;;;;;;;;;;;;82.3;;;;;;;;;;;
BEH;01.05.1911 00:00;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;
BEH;01.06.1911 00:00;;;;;;;;;;;;;;;;;;233.7;;;;;;;;;;;
BEH;01.07.1911 00:00;;;;;;;;;;;;;;;;;;19.5;;;;;;;;;;;
BEH;01.08.1911 00:00;;;;;;;;;;;;;;;;;;186.2;;;;;;;;;;;
BEH;01.09.1911 00:00;;;;;;;;;;;;;;;;;;113.6;;;;;;;;;;;
BEH;01.10.1911 00:00;;;;;;;;;;;;;;;;;;265.5;;;;;;;;;;;
