station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PAY;01.08.1964 00:00;17.3;31.6;5.7;;4.4;;73.1;13.9;959.6;;;;;1.7;;;;75.4;;;;;14406;;;;0;;
PAY;01.09.1964 00:00;14.4;27.5;1.4;;0;;82.3;13.6;963.5;;;;;1.7;;;;57.6;;;;;11508;;;;51.1;;
PAY;01.10.1964 00:00;8;20.7;-0.7;;-2.2;;86.3;9.5;958.7;;;;;2.4;;;;99.7;;;;;5238;;;;335.3;;
PAY;01.11.1964 00:00;5.1;14.7;-1.4;;-3.2;;90.6;8;962.5;;;;;1.9;;;;44.7;;;;;1812;;;;448.2;;
PAY;01.12.1964 00:00;-0.6;7;-15.1;;-18.4;;91.1;5.5;957.7;;;;;1.8;;;;22.4;;;;;2010;;;;637.5;;
PAY;01.01.1965 00:00;0.2;9.5;-10.5;;-14.6;;89.6;5.6;955.9;;;;;1.9;;;;56.7;;;;;2520;;;;615.1;;
PAY;01.02.1965 00:00;-2.5;9.6;-12.5;;-19;;81.7;4.3;962.4;;;;;2.7;;;;11.8;;;;;9366;;;;629.4;;
PAY;01.03.1965 00:00;3.6;17.8;-14.2;;-14.7;;81;6.6;958.8;;;;;2.3;;;;111.5;;;;;9270;;;;509.4;;
PAY;01.04.1965 00:00;7;19.6;-1.4;;-3.8;;76.9;7.6;955.4;;;;;2.3;;;;71.1;;;;;7374;;;;388.8;;
PAY;01.05.1965 00:00;11.8;25.8;1.3;;-1;;75.5;10.3;958.3;;;;;2.2;;;;96;;;;;11958;;;;180.6;;
PAY;01.06.1965 00:00;16.1;31.5;4.7;;3.2;;77.5;14.1;959.4;;;;;1.7;;;;68;;;;;12204;;;;76.2;;
PAY;01.07.1965 00:00;16.4;29.3;5.4;;3.5;;78.1;14.4;958.8;;;;;1.9;;;;235.9;;;;;12372;;;;0;;
