station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PIL;01.01.1981 00:00;-6.9;3.3;-16.7;;;;60.6;2.1;;;;;;4.1;36.9;14.8;132.8;425.3;55;;;;4025;26;;0;833;585;
PIL;01.02.1981 00:00;-6.4;7.9;-16.2;;;;58.7;2.2;;;;;;4;24.7;14.4;88.9;138.8;115;;;;9952;59;;0;739.4;515.4;
PIL;01.03.1981 00:00;-1.6;10.5;-12.7;;;;79;4.4;;;;;;4.3;27;15.5;97.2;220.7;124;;;;5490;25;;0;668.7;420.7;
PIL;01.04.1981 00:00;0.1;9.2;-11.8;;;;80.5;5.1;;;;;;5.8;23.8;20.9;85.7;24;183;;;;8085;34;;0;596.1;356.1;
PIL;01.05.1981 00:00;2.2;14.2;-7.9;;;;83.4;5.9;;;;;;5.8;23.4;20.9;84.2;134;170;;;;5724;21;;0;552.3;304.3;
PIL;01.06.1981 00:00;5.9;16.3;-3.8;;;;84.4;7.9;;;;;;6.7;24.3;24.1;87.5;116.7;199;;;;7817;28;;0;402.1;186.1;
PIL;01.07.1981 00:00;6.8;19.8;-1;;;;86.9;8.7;;;;;;6.5;23.3;23.4;83.9;283;147;;;;5902;21;;0;396.5;164.5;
PIL;01.08.1981 00:00;8.4;17.6;-0.5;;;;82.5;9.2;;;;;;5.3;20.5;19.1;73.8;117.6;194;;;;10782;42;;0;321.2;121.2;
PIL;01.09.1981 00:00;6.2;15.1;-2;;;;83.9;7.9;790.6;;1510.9;;;1.2;29.6;4.3;106.6;259.4;121;;;;6076;28;44.7;0;414.5;174.5;
PIL;01.10.1981 00:00;1.1;14.1;-9.1;;;;83.2;5.5;785.3;;1467.1;;;1.1;34.7;4;124.9;228.4;82;;;;4511;23;24.6;0;584.7;336.7;
PIL;01.11.1981 00:00;-2.3;10.8;-13.5;;;;69.1;3.8;791.9;;1542.9;;;1.7;34.9;6.1;125.6;229.3;73;;;;8302;53;14.1;0;668.7;428.7;
PIL;01.12.1981 00:00;-6.5;1.8;-17.9;;;;88.8;3.5;772.3;;1351.8;;;2.3;35.4;8.3;127.4;489.2;36;;;;2437;17;9;0;820.4;572.4;
PIL;01.01.1982 00:00;-3.3;6.4;-13.6;;;;79.7;3.8;786;;1484.9;;;3.3;33.7;11.9;121.3;351.9;53;;;;4273;28;17.1;0;721.2;473.2;
PIL;01.02.1982 00:00;-3.8;4.6;-16.8;;;;71.2;3.3;785.9;;1486;;;5.3;21;19.1;75.6;77.3;112;;;;8944;53;27.2;0;666;442;
PIL;01.03.1982 00:00;-4.7;4.7;-13.3;;;;84.2;3.6;784.3;;1470.8;;;5.3;27.1;19.1;97.6;274.3;128;;;;6560;30;29;0;767;519;
PIL;01.04.1982 00:00;-2.9;8.8;-11.3;;;;82.8;4.1;785.4;;1477.7;;;5.7;24.7;20.5;88.9;166.3;201;;;;8065;34;43.1;0;685.7;445.7;
PIL;01.05.1982 00:00;3.4;14.2;-7.9;;;;81;6.3;791.4;;1525.6;;;5.7;20;20.5;72;117.5;224;;;;10408;38;70.2;0;514.1;266.1;
PIL;01.06.1982 00:00;6.9;15.7;-1.5;;;;84.2;8.3;791.4;;1518.2;;;6;22.8;21.6;82.1;168.1;171;;;;5739;21;65.8;0;387;155;
PIL;01.07.1982 00:00;10.5;18.6;2.3;;;;76.1;9.6;794.1;;1539.2;;;7.1;25.5;25.6;91.8;213.9;207;;;;10148;36;96.4;0;201.9;65.9;
PIL;01.08.1982 00:00;7.9;16.6;-0.2;;;;85.4;9.1;792.5;;1527.6;;;6.5;25.9;23.4;93.2;221.7;145;;;;5607;22;59.2;0;347.6;131.6;
