station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
COV;01.08.1979 00:00;-0.2;10.5;-10;;;;77.8;4.8;682.4;;;;;;;;;;;;;;10836;;;;627.2;;
COV;01.09.1979 00:00;0.1;7.2;-8.7;;;;62.2;3.9;684.6;;;;;;;;;;;;;;15294;;;;595.8;;
COV;01.10.1979 00:00;-3;4.8;-11.6;;;;70.8;3.4;679.2;;;;;;;;;;;;;;9420;;;;711.8;;
COV;01.11.1979 00:00;-9.4;3.7;-20.9;;;;68;1.9;674.3;;;;;;;;;;;;;;7500;;;;883.1;;
COV;01.12.1979 00:00;-10.2;-0.7;-22.4;;;;71.6;2.1;672.9;;;;;;;;;;;;;;6384;;;;936.3;;
COV;01.01.1980 00:00;-14.6;-1.9;-25.6;;;;74;1.6;669.1;;;;;5.8;;21.2;;27.3;;;;;7074;45;;;1071.8;;
COV;01.02.1980 00:00;-10.9;-1.1;-19.5;;;;57.7;1.6;675.7;;;;;5.8;;20.9;;13.3;;;;;11346;65;;;895.3;;
COV;01.03.1980 00:00;-11.6;-3.2;-18.1;;;;73.5;1.9;668.6;;;;;4.8;;17.3;;37.4;;;;;10698;50;;;978.3;;
COV;01.04.1980 00:00;-12.6;-1.7;-21.2;;;;77.5;1.9;671.8;;;;;4;;14.8;;20.9;;;;;8844;36;;;977.6;;
COV;01.05.1980 00:00;-6.6;-0.4;-11.8;;;;87.2;3.3;674.2;;;;;2.7;;10.1;;80;;;;;8166;29;;;825.4;;
COV;01.06.1980 00:00;-2.9;7.1;-11;;;;81.2;4.1;679.5;;;;;3.3;;12.6;;123.3;;;;;8334;30;;;686.7;;
COV;01.07.1980 00:00;-0.3;10.4;-7.9;;;;74.7;4.6;681.6;;;;;3.6;;13;;85.2;;;;;11310;40;;;630.4;;
COV;01.08.1980 00:00;2.8;12.1;-7.4;;;;66.4;5.1;685.8;;;;;2.9;;10.8;;38.5;;;;;14958;57;;;532.4;;
COV;01.09.1980 00:00;1.1;10.3;-8.6;;;;59.1;3.9;686.7;;;;;3.1;;11.5;;28.8;;;;;15594;70;;;566.1;;
COV;01.10.1980 00:00;-4.4;6.1;-15.4;;;;59.9;2.5;676.4;;;;;4.3;;16.2;;134;;;;;9144;47;;;756.7;;
COV;01.11.1980 00:00;-8.1;6.5;-23.2;;;;59.9;2;674.1;;;;;5.4;;19.4;;17.1;;;;;7452;47;;;841.6;;
COV;01.12.1980 00:00;-12.7;1.2;-27.4;;;;59.7;1.4;672.6;;;;;5.6;;20.5;;26.4;;;;;7488;50;;;1014.5;;
COV;01.01.1981 00:00;-13.2;;;;;;53.6;1.2;671.3;;;2979.5;;5.2;33.6;18.7;121;47.9;77;;;;7941;50;;;;;
COV;01.02.1981 00:00;-12.5;1.4;-23.5;;;;46.8;1.1;671.3;;;2978.4;;4;27.8;14.4;100.1;7.6;144;;;;12717;76;25.5;0;910.1;686.1;
COV;01.03.1981 00:00;-7.5;4.2;-21.7;;;;67;2.4;672.9;;;2991.1;;4;30.4;14.4;109.4;106.2;168;;;;9753;45;36.2;0;852.4;604.4;
COV;01.04.1981 00:00;-6.9;2.8;-19;;;;68.5;2.5;676.3;;;3029.7;;3.2;31.2;11.5;112.3;20.6;234;;;;13153;55;50.6;0;808.4;568.4;
COV;01.05.1981 00:00;-4.5;4.5;-15.7;;;;76;3.3;676.8;;;3033.6;;2.8;23.9;10.1;86;113.1;226;;;;8552;31;57.8;0;759.1;511.1;
COV;01.06.1981 00:00;-0.5;9.7;-11;;;;68.9;3.9;683.4;;;3107.4;;2.5;31;9;111.6;83.5;256;;;;12464;45;77.7;0;615.8;375.8;
COV;01.07.1981 00:00;-0.1;9.7;-8.3;;;;77;4.6;684.2;;;3116.5;;2;28.6;7.2;103;163.9;218;;;;9196;33;69.3;0;623.5;375.5;
COV;01.08.1981 00:00;2;11.2;-8.3;;;;61.6;4.4;686.2;;;3138.4;;1.6;25.9;5.8;93.2;37.3;244;;;;15475;60;82.6;0;557.1;309.1;
COV;01.09.1981 00:00;-0.4;8.1;-9;;;;79.2;4.8;683.2;;;3104;;2.4;25.7;8.6;92.5;171.1;121;;;;6657;30;36.8;0;613.3;373.3;
COV;01.10.1981 00:00;-4.7;3.9;-17.2;;;;69.3;3.1;677.1;;;3036.2;;3.1;;11.2;;65.3;128;;;;9647;49;;0;764.7;516.7;
COV;01.11.1981 00:00;-9.4;3.7;-22.4;;;;59.8;1.9;679.5;;;3069.2;;5.3;32;19.1;115.2;29.7;96;;;;10277;64;22.9;0;882.4;642.4;
COV;01.12.1981 00:00;-14.5;-6.2;-25.5;;;;82.1;1.7;661.8;;;2870.3;;7;42.8;25.2;154.1;52;57;;;;4281;28;8.6;0;1069.2;821.2;
COV;01.01.1982 00:00;-10.4;0.1;-19.7;;;;70.7;2;674.5;;;3012.7;;4.8;34;17.3;122.4;67.1;72;;;;7295;46;14.1;0;942.8;694.8;
COV;01.02.1982 00:00;-11.5;-2.5;-25;;;;55;1.4;674.1;;;3010.1;;4.7;24.6;16.9;88.6;5.6;131;;;;10457;63;21.2;0;883.3;659.3;
COV;01.03.1982 00:00;-12.7;-1.3;-22;;;;74.1;1.7;672.3;;;2989.8;;5.6;31.5;20.2;113.4;40.2;188;;;;9812;45;26.4;0;1015.1;767.1;
COV;01.04.1982 00:00;-9.1;0.4;-16.2;;;;63.8;2;673.8;;;3003.3;;4.6;27.4;16.6;98.6;8.4;271;;;;15297;64;45.3;0;874.3;634.3;
COV;01.05.1982 00:00;-3.3;3.5;-14;;;;65.4;3.2;681.9;;;3092.1;;3.3;22.8;11.9;82.1;70.3;293;;;;14559;53;72.9;0;721.5;473.5;
COV;01.06.1982 00:00;0.7;8.1;-8.6;;;;68.9;4.4;683.4;;;3105.5;;3.3;32;11.9;115.2;147.6;246;;;;10210;37;76.8;0;578.3;338.3;
COV;01.07.1982 00:00;3.7;9.3;-2.5;;;;65.4;5.1;686.9;;;3145.3;;2.5;32.4;9;116.6;119;243;;;;12876;46;91.3;0;505.5;257.5;
COV;01.08.1982 00:00;2.3;9.5;-7.5;;;;69.4;5;684.8;;;3121;;1.3;30.5;4.7;109.8;165.5;189;;;;10286;40;64.8;0;550;302;
COV;01.09.1982 00:00;1.8;8;-3.8;;;;71.8;5;686.6;;;3142.7;;1.4;32.9;5;118.4;58.6;178;;;;12559;57;50.4;0;545.1;305.1;
COV;01.10.1982 00:00;-4.5;1.6;-13.7;;;;75.5;3.3;677.4;;;3039.8;;2.1;32.6;7.6;117.4;93.5;122;;;;8782;45;22.5;0;758.4;510.4;
COV;01.11.1982 00:00;-6.4;1.3;-18.4;;;;71.4;2.7;678.2;;;3050.6;;2.5;34.5;9;124.2;89;83;;;;7767;48;13.3;0;791.3;551.3;
COV;01.12.1982 00:00;-10.9;-1.4;-21.3;;;;76.3;2.2;672.6;;;2991.5;;3.5;34.1;12.6;122.8;77.5;61;;;;6374;42;8.8;0;958.3;710.3;
COV;01.01.1983 00:00;-8.8;2.3;-23.5;;;;60.4;1.8;681.8;;;3094.8;;2.4;31.5;8.6;113.4;109.3;74;;;;7823;49;12;0;893.9;645.9;
COV;01.02.1983 00:00;-14.5;-4.8;-22.7;;;;60.5;1.2;669.6;;;2961;;2;32;7.2;115.2;9.2;127;;;;9434;57;15.5;0;966.8;742.8;
COV;01.03.1983 00:00;-9;-1;-21.8;;;;67.1;2.1;675;;;3016.7;;1.2;30.3;4.3;109.1;45.2;185;;;;11733;54;33;0;899.3;651.3;
COV;01.04.1983 00:00;-7.7;0.2;-19.8;;;;82.5;2.9;672.9;;;2991.3;;1.9;34.6;6.8;124.6;121.7;232;;;;7399;31;44.9;0;830;590;
