station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PMA;01.11.1993 00:00;-6.5;2.1;-17.6;;;;;;;;;;;4.5;22.3;;80.3;;;;;;;;;;;555.7;
PMA;01.12.1993 00:00;-7.1;6.7;-20;;;;;;;;;;;5.7;32.4;20.5;116.6;;;;;;;;;;;573.2;
PMA;01.01.1994 00:00;-7.5;0.5;-18.7;;;;;;;;;;;6.4;38;;136.8;;;;;;;;;;;605.1;
PMA;01.02.1994 00:00;-9;3.4;-18.9;;;;;;;;;;;5.4;33.2;;119.5;;;;;;;;;;;589.1;
PMA;01.03.1994 00:00;-3.8;;;;;;;;;;;;;4.5;;16.2;;;;;;;;;;;;;
PMA;01.04.1994 00:00;-6.6;4.6;-15.3;;;;;;;;;;;5.8;31.8;;114.5;;;;;;;;;;;557.2;
PMA;01.05.1994 00:00;0.3;8;-8.6;;;;;;;;;;;5.4;34.6;;124.6;;;;;;;;;;;361.6;
PMA;01.06.1994 00:00;3.5;13.1;-7.3;;;;;;;;;;;5;34.9;;125.6;;;;;;;;;;;256.3;
PMA;01.07.1994 00:00;8.2;17.6;1.1;;;;;;;;;;;3.4;34.4;;123.8;;;;;;;;;;;119.2;
PMA;01.08.1994 00:00;7.3;;;;;;;;;;;;;4;;14.4;;;;;;;;;;;;;
PMA;01.09.1994 00:00;2.4;11.3;-9.1;;;;;;;;;;;6.4;33.5;;120.6;;;;;;;;;;;289.1;
PMA;01.10.1994 00:00;-0.1;9.5;-11.1;;;;;;;;;;;4.7;27.2;;97.9;;;;;;;;;;;375.1;
PMA;01.11.1994 00:00;-1.3;6.6;-8.2;;;;;;;;;;;5.2;29.4;;105.8;;;;;;;;;;;399.2;
PMA;01.12.1994 00:00;-5.3;4.2;-17.3;;;;;;;;;;;5.2;29.6;;106.6;;;;;;;;;;;536.1;
PMA;01.01.1995 00:00;-10.7;0.6;-23.3;;;;;;;;;;;7.8;38;;136.8;;;;;;;;;;;703.3;
PMA;01.02.1995 00:00;-6;2.5;-16.3;;;;;;;;;;;5.9;31.8;;114.5;;;;;;;;;;;505.3;
PMA;01.03.1995 00:00;-9.3;0.6;-21.8;;;;;;;;;;;6.2;42.8;;154.1;;;;;;;;;;;660.4;
PMA;01.04.1995 00:00;-4.3;;;;;;;;;;;;;5.8;;;;;;;;;;;;;;;
PMA;01.05.1995 00:00;-0.5;10;-11.6;;;;;;;;;;;4.7;27;;97.2;;;;;;;;;;;388.8;
PMA;01.06.1995 00:00;1.1;13;-5.5;;;;;;;;;;;3.6;20.4;13;73.4;;;;;;;;;;;327.2;
PMA;01.07.1995 00:00;8;17.3;-0.4;;;;;;;;;;;3.2;30.2;;108.7;;;;;;;;;;;124.3;
PMA;01.08.1995 00:00;4.6;14.1;-6.7;;;;;;;;;;;3.5;24.7;;88.9;;;;;;;;;;;230.6;
PMA;01.09.1995 00:00;-0.3;8.7;-9.6;;;;;;;;;;;4.4;29.6;;106.6;;;;;;;;;;;368.7;
PMA;01.10.1995 00:00;3.9;12.8;-4.9;;;;;;;;;;;3.5;23.4;;84.2;;;;;;;;;;;251;
PMA;01.11.1995 00:00;-6.2;3.5;-18.8;;;;;;;;;;;6.4;29.1;;104.8;;;;;;;;;;;545.5;
PMA;01.12.1995 00:00;-7.1;;;;;;;;;;;;;6.4;;23;;;;;;;;;;;;;
PMA;01.01.1996 00:00;-5.5;6;-11.5;;;;;;;;;;;5.8;31.9;;114.8;;;;;;;;;;;542.4;
PMA;01.02.1996 00:00;-12;;;;;;;;;;;;;5.4;;;;;;;;;;;;;;;
PMA;01.04.1996 00:00;-4.4;2.9;-16.8;;;;;;;;;;;4.3;26.3;15.5;94.7;;;;;;;;;;;458.1;
PMA;01.05.1996 00:00;-0.1;13.6;-7.2;;;;;;;;;;;5.6;38.4;;138.2;;;;;;;;;;;374.1;
PMA;01.06.1996 00:00;4.6;15;-5.5;;;;;;;;;;;4.1;28.3;;101.9;;;;;;;;;;;221.6;
PMA;01.07.1996 00:00;4.8;15;-4.6;;;;;;;;;;;4.3;;15.5;;;;;;;;;;;;216;
PMA;01.08.1996 00:00;4.3;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;
PMA;01.09.1996 00:00;-0.6;7.5;-6.9;;;;;;;;;;;4.2;21.3;15.1;76.7;;;;;;;;;;;364.1;
PMA;01.10.1996 00:00;-1;6;-9.6;;;;;;;;;;;4.4;32.9;;118.4;;;;;;;;;;;403;
PMA;01.11.1996 00:00;-5.6;9;-18;;;;;;;;;;;7.5;40.3;27;145.1;;;;;;;;;;;511.4;
PMA;01.12.1996 00:00;-7;2.1;-22.3;;;;;;;;;;;6.1;26.9;;96.8;;;;;;;;;;;590.3;
PMA;01.01.1997 00:00;-5;;;;;;;;;;;;;6;;21.6;;;;;;;;;;;;;
PMA;01.02.1997 00:00;-5.7;1.9;-16.1;;;;;;;;;;;5;33.9;;122;;;;;;;;;;;494.6;
PMA;01.03.1997 00:00;-5.1;3.2;-15.1;;;;;;;;;;;4.6;32.6;;117.4;;;;;;;;;;;529.9;
PMA;01.04.1997 00:00;-6.7;1.2;-16.6;;;;;;;;;;;4.8;30.9;;111.2;;;;;;;;;;;561.5;
PMA;01.05.1997 00:00;-0.1;7.2;-11.2;;;;;;;;;;;5.9;37.7;;135.7;;;;;;;;;;;375.4;
PMA;01.06.1997 00:00;2.7;11.9;-3.5;;;;;;;;;;;5.2;35.5;;127.8;;;;;;;;;;;278.2;
PMA;01.08.1997 00:00;6.5;13.6;-3;;;;;;;;;;;3.3;28;;100.8;;;;;;;;;;;171.8;
PMA;01.09.1997 00:00;6;14.1;-3.9;;;;;;;;;;;3.1;20.5;;73.8;;;;;;;;;;;180.3;
PMA;01.10.1997 00:00;-0.3;12.1;-12.2;;;;;;;;;;;4.2;27.4;;98.6;;;;;;;;;;;380.4;
PMA;01.11.1997 00:00;-4.2;4.6;-11.4;;;;;;;;;;;6;35.6;;128.2;;;;;;;;;;;486.9;
PMA;01.12.1997 00:00;-7.7;2.4;-16.6;;;;;;;;;;;6.1;33.7;;121.3;;;;;;;;;;;609.5;
PMA;01.01.1998 00:00;-7;3.8;-17.2;;;;;;;;;;;6.4;38.6;;139;;;;;;;;;;;590.4;
PMA;01.02.1998 00:00;-3.4;7;-15.3;;;;;;;;;;;4.1;30.2;14.8;108.7;;;;;;;;;;;432;
PMA;01.03.1998 00:00;-8.1;3;-21;;;;;;;;;;;5.2;31.3;18.7;112.7;;;;;;;;;;;603.2;
PMA;01.04.1998 00:00;-5.5;3.3;-17.1;;;;;;;;;;;6.6;;23.8;;;;;;;;;;;;507.8;
PMA;01.05.1998 00:00;0.1;9.6;-8.4;;;;;;;;;;;4.1;23.9;;86;;;;;;;;;;;367.6;
PMA;01.12.1998 00:00;-6.8;;;;;;;;;;;;;4.8;;17.3;;;;;;;;;;;;;
PMA;01.01.1999 00:00;-7;7.4;-25.3;;;;;;;;;;;6.4;37.6;23;135.4;;;;;;;;;;;588.4;
PMA;01.02.1999 00:00;-11.8;0.8;-25.1;;;;;;;;;;;7;37.4;;134.6;;;;;;;;;;;666.7;
PMA;01.03.1999 00:00;-7.1;1.1;-15.7;;;;;;;;;;;6.4;41.2;23;148.3;;;;;;;;;;;571.8;
PMA;01.04.1999 00:00;-5.2;3.6;-13.2;;;;;;;;;;;5.2;32.9;;118.4;;;;;;;;;;;516.2;
PMA;01.06.1999 00:00;2.1;11.5;-5.9;;;;;;;;;;;5.1;28.1;18.4;101.2;;;;;;;;;;;297.7;
PMA;01.07.1999 00:00;5.6;14.6;-3.5;;;;;;;;;;;3.8;31.7;13.7;114.1;;;;;;;;;;;199.4;
PMA;01.08.1999 00:00;5.9;;;;;;;;;;;;;4.8;;;;;;;;;;;;;;;
PMA;01.09.1999 00:00;4.1;12.6;-2.2;;;;;;;;;;;5.5;;19.8;;;;;;;;;;;;227.7;
PMA;01.10.1999 00:00;0.1;9.6;-9.4;;;;;;;;;;;5.7;37.9;;136.4;;;;;;;;;;;368.7;
PMA;01.11.1999 00:00;-7;5.7;-19.4;;;;;;;;;;;6;27.1;21.6;97.6;;;;;;;;;;;568.9;
PMA;01.12.1999 00:00;-8.9;;;;;;;;;;;;;6.8;;24.5;;;;;;;;;;;;605.7;
PMA;01.01.2000 00:00;-8.7;1;-19.9;;;;;;;;;;;4.6;33.5;;120.6;;;;;;;;;;;641.7;
PMA;01.02.2000 00:00;-7.7;3.9;-19.2;;;;;;;;;;;5.3;32.3;19.1;116.3;;;;;;;;;;;572.3;
PMA;01.03.2000 00:00;-7;1.2;-18.8;;;;;;;;;;;5.9;;;;;;;;;;;;;;570;
PMA;01.04.2000 00:00;-3.5;5.1;-13.6;;;;;;;;;;;7.4;;26.6;;;;;;;;;;;;450.5;
PMA;01.05.2000 00:00;1.1;8.3;-6.6;;;;;;;;;;;4.9;;17.6;;;;;;;;;;;;326.4;
PMA;01.06.2000 00:00;4.9;13.3;-3.9;;;;;;;;;;;4.2;27;15.1;97.2;;;;;;;;;;;199;
PMA;01.07.2000 00:00;2.5;12.7;-5.8;;;;;;;;;;;5.4;33.8;19.4;121.7;;;;;;;;;;;285.1;
PMA;01.08.2000 00:00;6.6;16.4;-0.8;;;;;;;;;;;4.3;27.1;;97.6;;;;;;;;;;;166.1;
PMA;01.09.2000 00:00;3.4;12.8;-4.6;;;;;;;;;;;4.6;32.7;;117.7;;;;;;;;;;;256.5;
PMA;01.10.2000 00:00;-0.2;7.6;-9.2;;;;;;;;;;;7;42.3;25.2;152.3;;;;;;;;;;;367.4;
PMA;01.11.2000 00:00;-4.6;;;;;;;;;;;;;9.3;;33.5;;;;;;;;;;;;;
PMA;01.12.2000 00:00;-5.8;;;;;;;;;;;;;6.9;;24.8;;;;;;;;;;;;517.2;
PMA;01.01.2001 00:00;-8;3;-18;;;;;;;;;;;7.9;36.8;;132.5;;;;;;;;;;;619.6;
PMA;01.02.2001 00:00;-8.9;2.9;-22;;;;;;;;;;;6.7;37.5;;135;;;;;;;;;;;585.8;
PMA;01.03.2001 00:00;-4.9;3.7;-15.5;;;;;;;;;;;7.8;36.4;28.1;131;;;;;;;;;;;524.4;
PMA;01.04.2001 00:00;-7.4;3.7;-18.2;;;;;;;;;;;6.6;29.6;23.8;106.6;;;;;;;;;;;581.5;
PMA;01.05.2001 00:00;0.9;11;-7.7;;;;;;;;;;;4.7;30;;108;;;;;;;;;;;344.4;
PMA;01.07.2001 00:00;4.5;14.5;-4.7;;;;;;;;;;;4.8;31.2;;112.3;;;;;;;;;;;233.5;
PMA;01.09.2001 00:00;-1.8;;;;;;;;;;;;;5.2;;18.7;;;;;;;;;;;;;
PMA;01.10.2001 00:00;2.9;13.7;-4.9;;;;;;;;;;;5.1;29.5;18.4;106.2;;;;;;;;;;;282.6;
PMA;01.11.2001 00:00;-5.4;6.3;-17.4;;;;;;;;;;;5;27.5;18;99;;;;;;;;;;;522.3;
PMA;01.12.2001 00:00;-10.5;0.3;-24;;;;;;;;;;;5.2;28.1;;101.2;;;;;;;;;;;697.2;
PMA;01.01.2002 00:00;-6;4.2;-21.4;;;;;;;;;;;4.9;31.4;17.6;113;;;;;;;;;;;559.2;
PMA;01.02.2002 00:00;-6.4;2.5;-19.1;;;;;;;;;;;5.9;31.7;;114.1;;;;;;;;;;;516;
PMA;01.03.2002 00:00;-5.6;0.8;-18;;;;;;;;;;;6.4;36.7;;132.1;;;;;;;;;;;546.8;
