station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PLF;01.10.1989 00:00;9;21;0.2;8.1;-3.4;21.2;64.9;7.8;902.4;;;;;2.5;20.5;9;73.8;;104;;;;11462;62;;;;;
PLF;01.11.1989 00:00;2.4;15.2;-8.1;1.2;-9.9;16.5;75.7;5.6;896.5;;;;;1.8;18.3;6.5;65.9;39.5;66;;;;8608;56;;0;528.7;288.7;21.2
PLF;01.12.1989 00:00;2.3;17;-8.8;0.6;-11.3;15.2;64.1;4.6;895.4;;1459.7;;;3.5;31.5;12.6;113.4;81;49;;;;7191;51;31.3;0;541.2;301.2;68.4
PLF;01.01.1990 00:00;1.4;9.9;-9.3;-0.2;-11.4;11.1;61.4;4.1;902.5;;1521.3;;;3;36.6;10.8;131.8;27;69;;;;10864;71;24.5;0;577.5;329.5;15.2
PLF;01.02.1990 00:00;4.8;15.2;-4;3.9;-8.7;16.8;67.7;5.8;898.7;;1493.7;;;5.6;41.6;20.2;149.8;114.9;82;;;;7710;48;36.1;0;425.6;201.6;96
PLF;01.03.1990 00:00;4.5;18.3;-8;4.2;-11.4;19.6;69.9;5.9;906.8;;1566.2;;;2.5;30.6;9;110.2;55.8;131;;;;10582;52;48.3;0;465.6;233.6;57.8
PLF;01.04.1990 00:00;3.9;15.8;-1.7;4.1;-3.7;20;79.4;6.4;894.4;;1454.6;;;2.1;20.1;7.6;72.4;107.4;132;;;;5951;26;48.6;0;484.1;244.1;93.1
PLF;01.05.1990 00:00;11.4;19.1;2;12;-2.2;25.5;74.2;10;900.3;;1519.8;;;2.2;13.6;7.9;49;75.2;219;;;;13454;52;93;0;190.3;30.3;-0.9
PLF;01.06.1990 00:00;12.1;24.8;2.3;12.7;2.1;31.1;79.1;11.2;898.2;;1502.2;;;2.9;22.2;10.4;79.9;265;189;;;;9709;37;86.7;1.3;187.1;43.1;184.1
PLF;01.07.1990 00:00;15.6;27;4.1;15.8;0.4;33.8;69.9;12.4;902.1;;1544.4;;;2.4;22.5;8.6;81;121.2;254;;;;15978;61;120.8;8.6;65.4;9.4;-15.5
PLF;01.08.1990 00:00;15.9;27;6;16;2.3;33.1;69.2;12.4;903;;1553.2;;;2.4;20.1;8.6;72.4;130.3;213;;;;15683;65;105;12.5;36.6;4.6;-9.1
PLF;01.09.1990 00:00;11;18.9;3.6;10.7;-0.8;25.9;77.6;10.2;900.4;;1520.3;;;3;22;10.8;79.2;155.5;157;;;;10825;52;62.4;0;209.8;41.8;98
PLF;01.10.1990 00:00;9.4;18.9;0.2;8.7;-4.3;25.8;80.2;9.6;896.2;;1478.9;;;2.5;32.5;9;117;159.7;90;;;;7797;42;37.2;0;263.6;95.6;129.5
PLF;01.11.1990 00:00;1.6;10.9;-6.4;0.7;-12.2;11.8;84.5;5.9;894.9;;1455;;;3.2;24.2;11.5;87.1;136;55;;;;5005;32;17.2;0;553;313;127.5
PLF;01.12.1990 00:00;-2;11.9;-11.7;-2.7;-14.6;9.7;78;4.3;896.1;;1459.4;;;3;23.8;10.8;85.7;41.7;48;;;;5118;36;14.4;0;682.6;434.6;29.4
PLF;01.01.1991 00:00;-1;15.9;-12;-1.2;-14.2;15.1;78;4.5;902.2;;1514.5;;;3.2;24.9;11.5;89.6;66;56;;;;5629;37;21.3;0;644.6;404.6;66.3
PLF;01.02.1991 00:00;-2.2;12.4;-17;-2.7;-20.4;14.8;75.5;4.1;895.2;;1451.7;;;2.3;34.9;8.3;125.6;24.9;100;;;;7582;47;20.5;0;622.9;398.9;18.9
PLF;01.03.1991 00:00;4.7;13.7;-5.6;4.7;-8.2;17.6;81.8;7;894.1;;1452.2;;;1.9;19.1;6.8;68.8;86.9;103;;;;5848;28;36.3;0;475.4;227.4;82.8
PLF;01.04.1991 00:00;4.1;14.9;-5.8;4.6;-9.5;21;72.2;6;896;;1468.9;;;2.3;16.8;8.3;60.5;48.6;176;;;;9840;43;59;0;476.5;236.5;27
PLF;01.05.1991 00:00;6.2;20;-2.3;7.1;-4.2;27;77.2;7.2;899.3;;1501.9;;;1.9;14.3;6.8;51.5;118.4;204;;;;11500;45;75.9;0;407.2;183.2;43.4
PLF;01.06.1991 00:00;11.8;23.1;3.2;12.5;-1.3;31;74.8;10.3;899;;1508.7;;;3.2;21.8;11.5;78.5;224.1;198;;;;9160;35;90;0.6;185.3;49.3;145.9
PLF;01.07.1991 00:00;16.6;26.6;8.4;17.6;2.7;31.8;74;13.9;900.7;;1533.1;;;2.3;20.1;8.3;72.4;155.7;242;;;;15504;59;118.3;11.7;18.8;2.8;28.2
PLF;01.08.1991 00:00;17.2;27;8.1;17.8;4.5;32.5;68.1;13.2;902.7;;1552.9;;;2;13.6;7.2;49;15.3;232;;;;17917;74;113.1;10.4;0;0;-133
PLF;01.09.1991 00:00;13.8;22.2;3.8;13.7;0.8;27;76.5;12;900.1;;1522.4;;;2.2;18.1;7.9;65.2;129.6;147;;;;10705;52;65.7;0;73.2;17.2;63.4
PLF;01.10.1991 00:00;6.1;16.5;-4.1;6;-6.3;20.9;82;7.9;898.1;;1490.8;;;2.3;22.4;8.3;80.6;86.4;92;;;;7346;39;32.1;0;415.1;183.1;60.8
PLF;01.11.1991 00:00;2.4;13.9;-5.1;2;-6.2;14.1;76.8;5.6;895.9;;1465.3;;;3.1;23.8;11.2;85.7;122.2;54;;;;5712;37;22.1;0;529;289;108.4
PLF;01.12.1991 00:00;-1.4;7.6;-9.1;-2.1;-11.2;8.5;71.4;4;906;;1547;;;3;27;10.8;97.2;43.9;51;;;;7961;56;16;0;664.2;416.2;32.6
PLF;01.01.1992 00:00;-2;9.9;-14.9;-3;-26.2;10.1;73.4;3.9;905.8;;1544.8;;;1.6;11.5;5.8;41.4;13.9;63;;;;7547;50;14;0;680.7;432.7;6.7
PLF;01.02.1992 00:00;0.3;9.4;-14.1;-0.2;-20;12;70.8;4.5;904.3;;1535.8;;;2.7;19.9;9.7;71.6;61.4;95;;;;8757;53;25.8;0;570.3;338.3;54.5
PLF;01.03.1992 00:00;3.4;12.8;-3.6;3.4;-7.4;15.2;73;5.7;897.4;;1479.8;;;3.8;26.4;13.7;95;65.2;114;;;;6505;32;42.2;0;515.8;267.8;59.4
PLF;01.04.1992 00:00;5.6;20.4;-3.3;6.1;-4.7;23.6;72.5;6.4;894.5;;1457.7;;;2.6;26.5;9.4;95.4;85.4;175;;;;9805;43;66.2;0;417.3;201.3;61.8
PLF;01.05.1992 00:00;11.3;23;0.2;12.1;-1.9;29.8;73.5;9.8;900;;1517.7;;;2.5;23;9;82.8;81.9;209;;;;12053;47;94.1;0;180.8;52.8;-1
PLF;01.06.1992 00:00;12;22.5;4;12.9;2.1;28.7;81.7;11.4;896.3;;1484.7;;;2.1;18;7.6;64.8;167.2;183;;;;7642;29;81.5;0;158;38;117.1
PLF;01.07.1992 00:00;15.5;26.1;7.7;16.4;5.2;33;78.7;13.8;901.5;;1538.4;;;2.2;19.4;7.9;69.8;163.6;209;;;;11836;45;102;11.9;69.4;5.4;72.7
PLF;01.08.1992 00:00;18;27.7;6.4;17.8;5.1;33.2;66;13.4;900.7;;1535.7;;;3;22.1;10.8;79.6;86.4;209;;;;14476;60;115.8;43.8;9.3;1.3;-53.1
PLF;01.09.1992 00:00;11.7;20;1.9;11.5;-0.7;24.1;80.5;11.2;902.2;;1538.1;;;2.5;24.9;9;89.6;106.8;140;;;;9537;46;57.4;0;155.5;35.5;55.7
PLF;01.10.1992 00:00;5;14.2;-4.2;4.9;-10.4;17.9;88.1;7.9;891.1;;1426.1;;;3.3;31.9;11.9;114.8;214.7;57;;;;2888;16;25.7;0;464.6;216.6;203.3
PLF;01.11.1992 00:00;5.5;16.6;-6.4;4.7;-11;16.1;78.4;7.1;899.8;;1505.7;;;4.3;34.7;15.5;124.9;158.4;45;;;;4303;28;26.6;0;435.3;195.3;146.7
PLF;01.12.1992 00:00;0.1;11.8;-9.6;-0.5;-12.3;10.7;78.9;4.9;898.1;;1480.2;;;2.2;29.7;7.9;106.9;76;40;;;;4400;31;15.4;0;617.1;369.1;70.1
PLF;01.01.1993 00:00;2.3;13;-15.1;1.6;-17;12.6;72.8;5.4;905.7;;1552;;;3.7;28.9;13.3;104;34.1;54;;;;6722;44;27.1;0;549.1;301.1;27.6
PLF;01.02.1993 00:00;-1.1;8.1;-14;-1;-16.2;10.6;68.7;3.9;904.4;;1534.6;;;2.1;21.9;7.6;78.8;14.6;105;;;;10152;63;21.4;0;590.5;366.5;5.8
PLF;01.03.1993 00:00;1.5;15.7;-10.6;1.3;-13.2;18.8;72.7;5.1;900;;1500.7;;;2.3;14.3;8.3;51.5;56.4;151;;;;10961;53;43.5;0;573;325;47
PLF;01.04.1993 00:00;6.9;16.9;-3.8;6.8;-5.5;22.7;72.4;7.1;893.8;;1452.8;;;2.5;21.7;9;78.1;115.1;155;;;;7458;33;61.7;0;369.8;153.8;94.1
PLF;01.05.1993 00:00;10.7;23.1;1.6;11.2;-1.4;27.2;78.6;10;896.6;;1484.7;;;2;24;7.2;86.4;215.5;194;;;;9504;37;83.8;0.7;230.6;62.6;160.7
PLF;01.06.1993 00:00;13.6;24.6;5.2;13.9;2.5;28.8;76.5;11.8;900;;1521.2;;;2.2;23.1;7.9;83.2;153.3;217;;;;11397;43;96.6;1.6;101;21;64.9
PLF;01.07.1993 00:00;14;25.7;3;14;-0.5;29;74.5;11.9;901.6;;1536.4;;;3.3;22.8;11.9;82.1;208.9;208;;;;11484;44;103.3;5.4;113.2;25.2;106.7
PLF;01.08.1993 00:00;15.3;26.1;4.9;15.3;2.2;28.7;74.6;12.8;901.9;;1541.7;;;2.4;20.7;8.6;74.5;184;203;;;;14325;59;99;7.7;79.5;15.5;71.3
PLF;01.09.1993 00:00;10.2;21.8;0.9;10;-0.6;25.1;83.1;10.5;895.8;;1477.1;;;2.7;26.1;9.7;94;152.1;120;;;;7003;34;50;0;269.1;69.1;116.5
PLF;01.10.1993 00:00;5.3;17.9;-2.2;5.3;-3.3;19.2;87.9;7.9;895.2;;1463;;;2.2;24.1;7.9;86.8;128.2;66;;;;4008;22;26.6;0;447.2;207.2;116.3
PLF;01.11.1993 00:00;-0.2;13.4;-11.4;-0.2;-15.1;17.7;88.2;5.6;897.8;;1477.2;;;1.8;29.5;6.5;106.2;34.5;51;;;;3425;22;12.6;0;607.4;367.4;27.6
PLF;01.12.1993 00:00;1.7;12.5;-9.1;1.5;-13.1;12;79.1;5.5;894.6;;1452.7;;;6.6;32.5;23.8;117;133.7;38;;;;2770;20;29.9;0;566.4;318.4;123.3
