station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ROB;01.01.1959 00:00;-2.4;10.6;-13.7;;;;63.9;3.4;;;;;;;;;;27.5;;;;;;;;;693.6;;
ROB;01.02.1959 00:00;1;13.8;-9;;;;66.9;4.3;;;;;;;;;;1.7;;;;;;;;;530.9;;
ROB;01.03.1959 00:00;4.8;15.5;-4.2;;;;76.4;6.5;;;;;;;;;;100.3;;;;;;;;;470.4;;
ROB;01.04.1959 00:00;6.7;18.6;-5;;;;67.4;6.6;;;;;;;;;;67.7;;;;;;;;;398.7;;
ROB;01.05.1959 00:00;10.3;20.6;-2.5;;;;72.5;9;;;;;;;;;;56.2;;;;;;;;;273.4;;
ROB;01.06.1959 00:00;14.1;25.4;3.2;;;;70.8;11.5;;;;;;;;;;66.8;;;;;;;;;44.6;;
ROB;01.07.1959 00:00;17.5;27.5;6.5;;;;66.6;13;;;;;;;;;;73.3;;;;;;;;;0;;
ROB;01.08.1959 00:00;14.7;25.1;4;;;;75.5;12.6;;;;;;;;;;90.3;;;;;;;;;19.2;;
ROB;01.09.1959 00:00;12.4;21.8;3.5;;;;82.5;11.9;;;;;;;;;;20.5;;;;;;;;;117.7;;
ROB;01.10.1959 00:00;6.8;18.5;-4;;;;77.1;7.6;;;;;;;;;;130.5;;;;;;;;;400.5;;
ROB;01.11.1959 00:00;1.6;12.2;-7.6;;;;76.1;5.3;;;;;;;;;;143.7;;;;;;;;;552.6;;
ROB;01.12.1959 00:00;0.3;11;-9.5;;;;71.8;4.5;;;;;;;;;;120.4;;;;;;;;;611.2;;
ROB;01.01.1960 00:00;-1.6;8.8;-19.4;;;;67.3;3.8;;;;;;;;;;89;;;;;;;;;671.1;;
ROB;01.02.1960 00:00;-1.1;13.6;-14.5;;;;76.7;4.4;;;;;;;;;;97;;;;;;;;;611.6;;
ROB;01.03.1960 00:00;2.5;12.2;-5.8;;;;74.6;5.4;;;;;;;;;;103.9;;;;;;;;;542.2;;
ROB;01.04.1960 00:00;6.9;17;-4.5;;;;56.5;5.5;;;;;;;;;;8;;;;;;;;;393.3;;
ROB;01.05.1960 00:00;11.3;22.8;-4.6;;;;68.7;9.1;;;;;;;;;;76.8;;;;;;;;;190;;
ROB;01.06.1960 00:00;14;24.3;4.3;;;;74.5;11.8;;;;;;;;;;143;;;;;;;;;43.8;;
ROB;01.07.1960 00:00;14.2;23.5;4.5;;;;71.3;11.5;;;;;;;;;;133.9;;;;;;;;;49.9;;
ROB;01.08.1960 00:00;13.8;25.6;3.5;;;;76.3;12.1;;;;;;;;;;155.7;;;;;;;;;65.2;;
ROB;01.09.1960 00:00;10.2;19.7;1.5;;;;80.9;10.1;;;;;;;;;;359.2;;;;;;;;;258.1;;
ROB;01.10.1960 00:00;6.1;17.2;-2.5;;;;79.1;7.6;;;;;;;;;;291;;;;;;;;;431.6;;
ROB;01.11.1960 00:00;3;11.5;-3.5;;;;71.6;5.5;;;;;;;;;;109.6;;;;;;;;;510.7;;
ROB;01.12.1960 00:00;-1.2;8;-13.5;;;;77.9;4.5;;;;;;;;;;97.4;;;;;;;;;658;;
ROB;01.01.1961 00:00;-4.1;7;-16.8;;;;76.3;3.5;;;;;;0.4;;1.4;;65.3;;;;;;;;;746.3;;
ROB;01.02.1961 00:00;1.7;13.4;-9;;;;66.1;4.4;;;;;;2;;7.2;;30;;;;;;;;;512.7;;
ROB;01.03.1961 00:00;4.5;18;-5.5;;;;55.3;4.6;;;;;;3.1;;11.2;;3.3;;;;;;;;;471.9;;
ROB;01.04.1961 00:00;8.9;22.6;0;;;;72.9;8.1;;;;;;1.7;;6.1;;83.8;;;;;;;;;327;;
ROB;01.05.1961 00:00;9.7;19.5;-2.5;;;;65.5;7.9;;;;;;3.5;;12.6;;96.8;;;;;;;;;297.4;;
ROB;01.06.1961 00:00;14;25.6;3.1;;;;76.1;12.3;;;;;;1.1;;4;;96.6;;;;;;;;;74.5;;
ROB;01.07.1961 00:00;14.2;27.1;2.6;;;;72.8;11.8;;;;;;1.1;;4;;75.3;;;;;;;;;42.9;;
ROB;01.08.1961 00:00;14.9;27;3;;;;70.6;11.9;;;;;;2;;7.2;;59.3;;;;;;;;;32.5;;
ROB;01.09.1961 00:00;14.1;26.5;2.5;;;;74.8;11.9;;;;;;0.6;;2.2;;15.4;;;;;;;;;26.5;;
ROB;01.10.1961 00:00;7.9;19.6;-3.5;;;;79.5;8.7;;;;;;1.1;;4;;125.9;;;;;;;;;326.9;;
ROB;01.11.1961 00:00;2.2;13.7;-6.9;;;;75.5;5.5;;;;;;1.1;;4;;124.7;;;;;;;;;533.7;;
ROB;01.12.1961 00:00;0.4;17.2;-11;;;;67.3;4.3;;;;;;2.4;;8.6;;73.5;;;;;;;;;600.7;;
ROB;01.01.1962 00:00;-0.4;10.8;-11.5;;;;63.5;3.9;;;;;;2.7;;9.7;;94.8;;;;;;;;;632.8;;
