station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
PUY;01.01.1961 00:00;;;;;;;;;;;;;;;;;;150.9;;;;;;;;;;;
PUY;01.02.1961 00:00;;;;;;;;;;;;;;;;;;80.7;;;;;;;;;;;
PUY;01.03.1961 00:00;;;;;;;;;;;;;;;;;;24.1;;;;;;;;;;;
PUY;01.04.1961 00:00;;;;;;;;;;;;;;;;;;126.5;;;;;;;;;;;
PUY;01.05.1961 00:00;;;;;;;;;;;;;;;;;;50.8;;;;;;;;;;;
PUY;01.06.1961 00:00;;;;;;;;;;;;;;;;;;159.2;;;;;;;;;;;
PUY;01.07.1961 00:00;;;;;;;;;;;;;;;;;;139.6;;;;;;;;;;;
PUY;01.08.1961 00:00;;;;;;;;;;;;;;;;;;97.6;;;;;;;;;;;
PUY;01.09.1961 00:00;;;;;;;;;;;;;;;;;;36.2;;;;;;;;;;;
PUY;01.10.1961 00:00;;;;;;;;;;;;;;;;;;121.5;;;;;;;;;;;
PUY;01.11.1961 00:00;;;;;;;;;;;;;;;;;;71.1;;;;;;;;;;;
PUY;01.12.1961 00:00;;;;;;;;;;;;;;;;;;165.9;;;;;;;;;;;
PUY;01.01.1962 00:00;;;;;;;;;;;;;;;;;;134.3;;;;;;;;;;;
PUY;01.02.1962 00:00;;;;;;;;;;;;;;;;;;59.5;;;;;;;;;;;
PUY;01.03.1962 00:00;;;;;;;;;;;;;;;;;;140.3;;;;;;;;;;;
PUY;01.04.1962 00:00;;;;;;;;;;;;;;;;;;60.7;;;;;;;;;;;
PUY;01.05.1962 00:00;;;;;;;;;;;;;;;;;;105.8;;;;;;;;;;;
PUY;01.06.1962 00:00;;;;;;;;;;;;;;;;;;43.7;;;;;;;;;;;
PUY;01.07.1962 00:00;;;;;;;;;;;;;;;;;;31.4;;;;;;;;;;;
PUY;01.08.1962 00:00;;;;;;;;;;;;;;;;;;23.6;;;;;;;;;;;
PUY;01.09.1962 00:00;;;;;;;;;;;;;;;;;;87.9;;;;;;;;;;;
PUY;01.10.1962 00:00;;;;;;;;;;;;;;;;;;39.1;;;;;;;;;;;
PUY;01.11.1962 00:00;;;;;;;;;;;;;;;;;;46.1;;;;;;;;;;;
PUY;01.12.1962 00:00;;;;;;;;;;;;;;;;;;150.2;;;;;;;;;;;
PUY;01.01.1963 00:00;;;;;;;;;;;;;;;;;;72.6;;;;;;;;;;;
PUY;01.02.1963 00:00;;;;;;;;;;;;;;;;;;66.8;;;;;;;;;;;
PUY;01.03.1963 00:00;;;;;;;;;;;;;;;;;;153.7;;;;;;;;;;;
PUY;01.04.1963 00:00;;;;;;;;;;;;;;;;;;75.3;;;;;;;;;;;
PUY;01.05.1963 00:00;;;;;;;;;;;;;;;;;;53.8;;;;;;;;;;;
PUY;01.06.1963 00:00;;;;;;;;;;;;;;;;;;171;;;;;;;;;;;
PUY;01.07.1963 00:00;;;;;;;;;;;;;;;;;;35.1;;;;;;;;;;;
PUY;01.08.1963 00:00;;;;;;;;;;;;;;;;;;226.2;;;;;;;;;;;
PUY;01.09.1963 00:00;;;;;;;;;;;;;;;;;;57.7;;;;;;;;;;;
PUY;01.10.1963 00:00;;;;;;;;;;;;;;;;;;51.6;;;;;;;;;;;
PUY;01.11.1963 00:00;;;;;;;;;;;;;;;;;;225.8;;;;;;;;;;;
PUY;01.12.1963 00:00;;;;;;;;;;;;;;;;;;4.6;;;;;;;;;;;
PUY;01.01.1964 00:00;;;;;;;;;;;;;;;;;;9.9;;;;;;;;;;;
