station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ROE;01.02.1991 00:00;-6.2;8.9;-20.7;;;;61.2;2.5;806.6;;1491.6;;;1.8;21.7;6.5;78.1;97.1;;;;;6912;63;;;733.6;509.6;78.8
ROE;01.03.1991 00:00;-0.2;7.4;-8.8;;;;75;4.6;808.8;;1499.6;;;1.3;18.6;4.7;67;472.4;;;;;3778;25;;;626;378;479.2
ROE;01.04.1991 00:00;-0.9;9;-9.4;;;;67.4;3.9;808.4;;1497.3;;;2.1;30.3;7.6;109.1;220.5;;;;;4938;29;;;627.9;387.9;212.9
ROE;01.05.1991 00:00;2.2;13.6;-7;;;;61.2;4.3;810.8;;1515;;;2.8;22.1;10.1;79.6;45.8;;;;;7674;39;;;551.1;303.1;13.7
ROE;01.06.1991 00:00;7.2;18.5;0.2;;;;70;7.1;813.2;;1534.1;;;1.8;21.3;6.5;76.7;243.2;;;;;9236;46;;;357.9;149.9;158
ROE;01.07.1991 00:00;13;22.9;5.8;;;;63.6;9.6;816.5;;1555.6;;;1.6;20;5.8;72;97.3;;;;;12370;62;;;89.6;17.6;-47.5
ROE;01.08.1991 00:00;13.4;19.8;5.7;;;;65.3;10;818.4;;1571.2;;;1.5;18.6;5.4;67;52.5;227;;;;14297;77;101.1;;57.9;9.9;-91.1
ROE;01.09.1991 00:00;9.8;19.6;1.1;;;;76;9;815.8;;1548.9;;;1.3;16.3;4.7;58.7;453.7;123;;;;8107;52;52.4;;259.4;75.4;388.4
ROE;01.10.1991 00:00;2.4;13;-6.1;;;;72.8;5.4;812;;1519.9;;;1.4;22.2;5;79.9;279.7;94;;;;6162;48;30.2;;545.2;297.2;249.2
ROE;01.11.1991 00:00;-1.1;7.5;-6.9;;;;63.9;3.6;809;;1494;;;1.6;32.7;5.8;117.7;98.4;71;;;;5533;52;16.8;0;633.9;393.9;82.7
ROE;01.12.1991 00:00;-1.8;10.7;-12.3;;;;43.3;2.3;816;;1564.6;;;2.8;31.1;10.1;112;222.8;60;;;;6477;73;28.9;0;674.3;426.3;204.6
ROE;01.01.1992 00:00;-1;9.8;-14;;;;46.4;2.4;817.6;;1579.6;;;1.8;20.9;6.5;75.2;87.5;71;;;;6910;67;25.2;0;651.2;403.2;75.5
ROE;01.02.1992 00:00;-2;7.7;-12.7;;;;48.7;2.6;815;;1555;;;1.9;25.2;6.8;90.7;84.2;114;;;;7282;64;28.6;0;638.3;406.3;74.5
ROE;01.03.1992 00:00;-1;8.2;-9.9;;;;64;3.6;808.9;;1492.6;;;1.8;19.2;6.5;69.1;249.6;159;;;;5149;34;42.8;0;652.5;404.5;228
ROE;01.04.1992 00:00;0.7;10.9;-9.8;;;;67;4.3;807.3;;1475.2;;;2.2;21.4;7.9;77;159.7;206;;;;6793;39;61.5;0;578;338;164.4
ROE;01.05.1992 00:00;6.2;14.9;-1.3;;;;70.2;6.5;815;;1544.4;;;1.3;15;4.7;54;113.9;213;;;;9635;49;82.4;0;420.3;180.3;90.3
ROE;01.06.1992 00:00;7.5;15.4;-0.8;;;;75.3;7.7;811.6;;1508.6;;;1.5;20.8;5.4;74.9;374.7;183;;;;6273;31;74.4;0;376;136;323.8
ROE;01.07.1992 00:00;12;20.9;4.2;;;;69.1;9.7;816.9;;1556.6;;;1.3;15.1;4.7;54.4;98.2;212;;;;9748;49;96.9;0;151.9;47.9;-16.6
ROE;01.08.1992 00:00;13.6;21.3;4.4;;;;67.2;10.3;817.3;;1559.3;;;1.3;17.1;4.7;61.6;350.9;196;;;;11282;61;90.7;0;89.3;17.3;224.1
ROE;01.09.1992 00:00;7.7;16.1;-2.2;;;;72.7;7.6;817.1;;1563.7;;;1.2;18.8;4.3;67.7;272.9;129;;;;7164;46;48.9;0;354.7;130.7;204.4
ROE;01.10.1992 00:00;1.2;9;-6.4;;;;78.4;5.4;805;;1450.6;;;1;19.2;3.6;69.1;272.7;84;;;;3147;24;23.6;0;583.9;335.9;257.3
ROE;01.11.1992 00:00;1.9;15.2;-7.6;;;;63.7;4.3;812.6;;1526.6;;;1.7;22.6;6.1;81.4;103.2;69;;;;4535;43;22.6;0;544.2;304.2;88.2
ROE;01.12.1992 00:00;-1.8;8.8;-11.3;;;;59.8;3.1;810.8;;1512.4;;;1.7;23.2;6.1;83.5;117.4;54;;;;4869;55;15.7;0;675.6;427.6;106.6
ROE;01.01.1993 00:00;-0.7;8;-16.5;;;;56.1;3.2;817.1;;1574.4;;;1.9;25.2;6.8;90.7;42.3;73;;;;6449;63;22.1;0;642.8;394.8;33
ROE;01.02.1993 00:00;-2.5;7.5;-16.5;;;;49.2;2.4;814.8;;1554.4;;;2.4;22;8.6;79.2;98.4;122;;;;8211;75;28.6;0;628.8;404.8;83.2
ROE;01.03.1993 00:00;-2;11.2;-11.5;;;;59.1;3.2;811;;1516;;;2.3;29.2;8.3;105.1;99.4;175;;;;8801;58;44.2;0;682.1;434.1;94.4
ROE;01.04.1993 00:00;1;10.1;-5.8;;;;72.3;4.7;808;;1481.4;;;1.6;19.9;5.8;71.6;380;169;;;;4390;25;51.2;0;571;331;373.8
ROE;01.05.1993 00:00;5.4;14.6;-0.1;;;;75.4;6.7;811.7;;1512.3;;;1.2;20.8;4.3;74.9;248.1;184;;;;6658;34;69.6;0;453.1;205.1;227.7
ROE;01.06.1993 00:00;9.4;18.4;3.2;;;;68.2;8;814.6;;1536.6;;;1.7;16.5;6.1;59.4;228.4;225;;;;9651;48;92.1;0;288.8;80.8;141.9
ROE;01.07.1993 00:00;10;19.4;1.3;;;;67.2;8.4;815.8;;1548;;;1.9;19.1;6.8;68.8;180.5;224;;;;9782;49;95.1;0;258.9;74.9;57.4
ROE;01.08.1993 00:00;12;20.2;2.6;;;;66.9;9.4;817.1;;1558.9;;;1.3;21.9;4.7;78.8;167.2;193;;;;9797;53;85.5;0;151.6;31.6;52
ROE;01.09.1993 00:00;5.9;13.9;-1.4;;;;80.5;7.6;811.1;;1505.2;;;1.3;25.8;4.7;92.9;709.2;105;;;;4665;30;40.3;0;424.3;184.3;661.6
ROE;01.10.1993 00:00;2.3;7.6;-4.8;;;;79.3;5.8;810.2;;1500.8;;;1.4;20.4;5;73.4;678.6;71;;;;3791;29;23.9;0;549.6;301.6;668.1
ROE;01.11.1993 00:00;-2.6;5.7;-13;;;;67.4;3.6;810.1;;1506.9;;;1.4;19.4;5;69.8;84.6;66;;;;4093;38;15.6;0;677.2;437.2;73.9
ROE;01.12.1993 00:00;-2.8;9.8;-10.8;;;;64.9;3.2;806.3;;1470.7;;;1.9;30;6.8;108;145.2;60;;;;4578;51;13.8;0;707.7;459.7;131.7
ROE;01.01.1994 00:00;-2.8;6.9;-10.9;;;;65.1;3.3;807.7;;1483.7;;;2.2;26.7;7.9;96.1;322;69;;;;4936;48;18.9;0;706.1;458.1;319.1
ROE;01.02.1994 00:00;-5.4;1.1;-15.3;;;;70.3;2.9;806.4;;1475.4;;;1.6;19.2;5.8;69.1;192;107;;;;4795;44;18.8;0;712;488;185.5
ROE;01.03.1994 00:00;2.1;10.3;-5.4;;;;59.5;4.2;813.6;;1535.9;;;2;24.8;7.2;89.3;32.1;172;;;;9468;63;52.1;0;555.7;307.7;18.6
ROE;01.04.1994 00:00;-0.6;12.5;-9.9;;;;69.2;4.1;805.4;;1458.1;;;2.1;23.5;7.6;84.6;156.3;198;;;;5630;33;54.4;0;617.6;377.6;154.2
ROE;01.05.1994 00:00;4.8;14.3;-0.3;;;;77.2;6.6;810.6;;1502.2;;;1.4;19.5;5;70.2;427.7;162;;;;5817;30;62.3;0;472.2;224.2;412.3
ROE;01.06.1994 00:00;9.7;19.7;-0.6;;;;59.5;7.2;816.4;;1554.7;;;2.3;28.5;8.3;102.6;77.8;246;;;;11013;55;102;0;267.6;83.6;-36.5
ROE;01.07.1994 00:00;13.9;21.3;7.2;;;;64.6;10.2;817.7;;1562.3;;;1.6;14.8;5.8;53.3;96.7;251;;;;12773;64;117;0;32.6;0.6;-43.2
