station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
RUE;01.11.1982 00:00;5.9;19.2;-2.1;;;;;7.4;;;;;;2.7;;9.7;;59.2;;;;;4112;28;;0;417.8;185.8;
RUE;01.12.1982 00:00;2.9;12.8;-5.2;;;;;6.2;;;;;;2.7;;9.7;;100.7;;;;;2282;17;;;;;
RUE;01.01.1983 00:00;3;13.7;-5.9;;;;;5.9;;;;;;3;;10.8;;62.3;;;;;4812;33;;;;;
RUE;01.02.1983 00:00;-1.7;12.6;-10.9;-2;-12.3;12.6;77.6;4.3;;;;;;3.8;28;13.7;100.8;39.3;73;;;;4674;30;;0;608.4;384.4;32.1
RUE;01.03.1983 00:00;5;15.8;-2.7;5.1;-6.2;22.2;77.1;6.7;;;;;;2.7;21.9;9.7;78.8;72.9;108;;;;7110;35;;0;466.3;218.3;51.4
RUE;01.04.1983 00:00;8.1;21.7;-1;8.7;-2.6;27.7;75.4;8.1;;;;;;3.3;28.1;11.9;101.2;93.2;147;;;;5650;25;;0;320.6;120.6;58.9
RUE;01.05.1983 00:00;9.7;23.2;3.4;9.9;2.8;27.4;78.9;9.4;;;;;;2.4;18.5;8.6;66.6;163.9;154;;;;5505;21;;0;273.8;81.8;126
RUE;01.06.1983 00:00;16;27.7;5.4;16.7;3.5;32.7;72.3;13.2;;;;;;2.2;16.1;7.9;58;104.6;231;;;;8971;34;;11.8;37.1;5.1;36
RUE;01.07.1983 00:00;21.4;34.2;8.9;21.9;6.7;36.8;63.5;15.8;;;;;;1.9;21;6.8;75.6;55.8;277;;;;17292;65;;105.2;0;0;-90.7
RUE;01.08.1983 00:00;17.6;27;8.9;18.1;5.8;32.2;72;14.3;;;;;;1.9;13.1;6.8;47.2;60.9;193;;;;10371;42;;20.3;9.1;1.1;-16.3
RUE;01.09.1983 00:00;14.2;24.4;6.7;14;3.6;28.9;74.3;12.1;;;;;;2.4;24.9;8.6;89.6;103.4;146;;;;10349;49;;0.8;58.7;10.7;52
RUE;01.10.1983 00:00;9.5;23;-0.4;9;-2.6;26.1;77.6;9.3;;;;;;2.2;25.2;7.9;90.7;38.4;87;;;;7710;42;;0;288.8;96.8;8.8
RUE;01.11.1983 00:00;3;14.8;-5.8;2.6;-8.4;18.3;83.9;6.6;;;;;;3.2;31.5;11.5;113.4;53;56;;;;6049;41;;0;509;269;42.3
RUE;01.12.1983 00:00;1.1;14.8;-9.1;0.3;-10.7;17.2;80.4;5.5;;;;;;2.8;23.2;10.1;83.5;43;42;;;;5981;44;;0;585.6;337.6;35.5
RUE;01.01.1984 00:00;0.8;10.5;-6.9;-0.2;-9.4;10.3;79.1;5.1;;;;;;3.9;36.2;14;130.3;78.4;38;;;;2614;18;;0;596.2;348.2;75.6
