station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SIM;01.01.1961 00:00;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;
SIM;01.02.1961 00:00;;;;;;;;;;;;;;;;;;52.5;;;;;;;;;;;
SIM;01.03.1961 00:00;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;
SIM;01.04.1961 00:00;;;;;;;;;;;;;;;;;;198.5;;;;;;;;;;;
SIM;01.05.1961 00:00;;;;;;;;;;;;;;;;;;81.7;;;;;;;;;;;
SIM;01.06.1961 00:00;;;;;;;;;;;;;;;;;;127.8;;;;;;;;;;;
SIM;01.07.1961 00:00;;;;;;;;;;;;;;;;;;71.7;;;;;;;;;;;
SIM;01.08.1961 00:00;;;;;;;;;;;;;;;;;;46.2;;;;;;;;;;;
SIM;01.09.1961 00:00;;;;;;;;;;;;;;;;;;52.6;;;;;;;;;;;
SIM;01.10.1961 00:00;;;;;;;;;;;;;;;;;;269.6;;;;;;;;;;;
SIM;01.11.1961 00:00;;;;;;;;;;;;;;;;;;201.6;;;;;;;;;;;
SIM;01.12.1961 00:00;;;;;;;;;;;;;;;;;;49.5;;;;;;;;;;;
SIM;01.01.1962 00:00;;;;;;;;;;;;;;;;;;77.9;;;;;;;;;;;
SIM;01.02.1962 00:00;;;;;;;;;;;;;;;;;;44.2;;;;;;;;;;;
SIM;01.03.1962 00:00;;;;;;;;;;;;;;;;;;56.1;;;;;;;;;;;
SIM;01.04.1962 00:00;;;;;;;;;;;;;;;;;;168.1;;;;;;;;;;;
SIM;01.05.1962 00:00;;;;;;;;;;;;;;;;;;65.3;;;;;;;;;;;
SIM;01.06.1962 00:00;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;
SIM;01.07.1962 00:00;;;;;;;;;;;;;;;;;;51.9;;;;;;;;;;;
SIM;01.08.1962 00:00;;;;;;;;;;;;;;;;;;18.1;;;;;;;;;;;
SIM;01.09.1962 00:00;;;;;;;;;;;;;;;;;;34.2;;;;;;;;;;;
SIM;01.10.1962 00:00;;;;;;;;;;;;;;;;;;71.4;;;;;;;;;;;
SIM;01.11.1962 00:00;;;;;;;;;;;;;;;;;;195.1;;;;;;;;;;;
SIM;01.12.1962 00:00;;;;;;;;;;;;;;;;;;66.9;;;;;;;;;;;
SIM;01.01.1963 00:00;;;;;;;;;;;;;;;;;;63.1;;;;;;;;;;;
SIM;01.02.1963 00:00;;;;;;;;;;;;;;;;;;32.4;;;;;;;;;;;
SIM;01.03.1963 00:00;;;;;;;;;;;;;;;;;;103.8;;;;;;;;;;;
SIM;01.04.1963 00:00;;;;;;;;;;;;;;;;;;131.6;;;;;;;;;;;
SIM;01.05.1963 00:00;;;;;;;;;;;;;;;;;;41.7;;;;;;;;;;;
SIM;01.06.1963 00:00;;;;;;;;;;;;;;;;;;148.2;;;;;;;;;;;
SIM;01.07.1963 00:00;;;;;;;;;;;;;;;;;;128.8;;;;;;;;;;;
SIM;01.08.1963 00:00;;;;;;;;;;;;;;;;;;164.1;;;;;;;;;;;
SIM;01.09.1963 00:00;;;;;;;;;;;;;;;;;;115.5;;;;;;;;;;;
SIM;01.10.1963 00:00;;;;;;;;;;;;;;;;;;85.1;;;;;;;;;;;
SIM;01.11.1963 00:00;;;;;;;;;;;;;;;;;;255.7;;;;;;;;;;;
SIM;01.12.1963 00:00;;;;;;;;;;;;;;;;;;14.3;;;;;;;;;;;
SIM;01.01.1964 00:00;;;;;;;;;;;;;;;;;;26.3;;;;;;;;;;;
SIM;01.02.1964 00:00;;;;;;;;;;;;;;;;;;22.3;;;;;;;;;;;
SIM;01.03.1964 00:00;;;;;;;;;;;;;;;;;;69.3;;;;;;;;;;;
SIM;01.04.1964 00:00;;;;;;;;;;;;;;;;;;336.7;;;;;;;;;;;
SIM;01.05.1964 00:00;;;;;;;;;;;;;;;;;;97.5;;;;;;;;;;;
SIM;01.06.1964 00:00;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;
SIM;01.07.1964 00:00;;;;;;;;;;;;;;;;;;34.4;;;;;;;;;;;
SIM;01.08.1964 00:00;;;;;;;;;;;;;;;;;;41.6;;;;;;;;;;;
SIM;01.09.1964 00:00;;;;;;;;;;;;;;;;;;50.9;;;;;;;;;;;
SIM;01.10.1964 00:00;;;;;;;;;;;;;;;;;;59.5;;;;;;;;;;;
SIM;01.11.1964 00:00;;;;;;;;;;;;;;;;;;58.2;;;;;;;;;;;
SIM;01.12.1964 00:00;;;;;;;;;;;;;;;;;;48.8;;;;;;;;;;;
SIM;01.01.1965 00:00;;;;;;;;;;;;;;;;;;40.8;;;;;;;;;;;
SIM;01.02.1965 00:00;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;
SIM;01.03.1965 00:00;;;;;;;;;;;;;;;;;;75.9;;;;;;;;;;;
SIM;01.04.1965 00:00;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;
SIM;01.05.1965 00:00;;;;;;;;;;;;;;;;;;106.9;;;;;;;;;;;
SIM;01.06.1965 00:00;;;;;;;;;;;;;;;;;;82.7;;;;;;;;;;;
SIM;01.07.1965 00:00;;;;;;;;;;;;;;;;;;123.6;;;;;;;;;;;
SIM;01.08.1965 00:00;;;;;;;;;;;;;;;;;;188.3;;;;;;;;;;;
SIM;01.09.1965 00:00;;;;;;;;;;;;;;;;;;344.6;;;;;;;;;;;
SIM;01.10.1965 00:00;;;;;;;;;;;;;;;;;;19.8;;;;;;;;;;;
SIM;01.11.1965 00:00;;;;;;;;;;;;;;;;;;72.2;;;;;;;;;;;
SIM;01.12.1965 00:00;;;;;;;;;;;;;;;;;;110.3;;;;;;;;;;;
SIM;01.01.1966 00:00;;;;;;;;;;;;;;;;;;24.3;;;;;;;;;;;
SIM;01.02.1966 00:00;;;;;;;;;;;;;;;;;;184;;;;;;;;;;;
SIM;01.03.1966 00:00;;;;;;;;;;;;;;;;;;19.7;;;;;;;;;;;
SIM;01.04.1966 00:00;;;;;;;;;;;;;;;;;;112.7;;;;;;;;;;;
SIM;01.05.1966 00:00;;;;;;;;;;;;;;;;;;38.7;;;;;;;;;;;
SIM;01.06.1966 00:00;;;;;;;;;;;;;;;;;;36.3;;;;;;;;;;;
SIM;01.07.1966 00:00;;;;;;;;;;;;;;;;;;83.4;;;;;;;;;;;
SIM;01.08.1966 00:00;;;;;;;;;;;;;;;;;;41.4;;;;;;;;;;;
SIM;01.09.1966 00:00;;;;;;;;;;;;;;;;;;22.7;;;;;;;;;;;
SIM;01.10.1966 00:00;;;;;;;;;;;;;;;;;;383.9;;;;;;;;;;;
SIM;01.11.1966 00:00;;;;;;;;;;;;;;;;;;154.1;;;;;;;;;;;
SIM;01.12.1966 00:00;;;;;;;;;;;;;;;;;;55.8;;;;;;;;;;;
SIM;01.01.1967 00:00;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;;
SIM;01.02.1967 00:00;;;;;;;;;;;;;;;;;;79.1;;;;;;;;;;;
SIM;01.03.1967 00:00;;;;;;;;;;;;;;;;;;96.1;;;;;;;;;;;
SIM;01.04.1967 00:00;;;;;;;;;;;;;;;;;;77.9;;;;;;;;;;;
SIM;01.05.1967 00:00;;;;;;;;;;;;;;;;;;140;;;;;;;;;;;
SIM;01.06.1967 00:00;;;;;;;;;;;;;;;;;;54.4;;;;;;;;;;;
SIM;01.07.1967 00:00;;;;;;;;;;;;;;;;;;49.1;;;;;;;;;;;
SIM;01.08.1967 00:00;;;;;;;;;;;;;;;;;;64.2;;;;;;;;;;;
SIM;01.09.1967 00:00;;;;;;;;;;;;;;;;;;107;;;;;;;;;;;
SIM;01.10.1967 00:00;;;;;;;;;;;;;;;;;;31.7;;;;;;;;;;;
SIM;01.11.1967 00:00;;;;;;;;;;;;;;;;;;104.3;;;;;;;;;;;
SIM;01.12.1967 00:00;;;;;;;;;;;;;;;;;;23.3;;;;;;;;;;;
SIM;01.01.1968 00:00;;;;;;;;;;;;;;;;;;149.6;;;;;;;;;;;
SIM;01.02.1968 00:00;;;;;;;;;;;;;;;;;;81.3;;;;;;;;;;;
SIM;01.03.1968 00:00;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;
SIM;01.04.1968 00:00;;;;;;;;;;;;;;;;;;79.3;;;;;;;;;;;
SIM;01.05.1968 00:00;;;;;;;;;;;;;;;;;;218.2;;;;;;;;;;;
