station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
STC;01.02.1992 00:00;1.9;;;;;;81.2;5.8;;;;;;;;;;;;;;;;;;;;;
STC;01.05.1992 00:00;;;;;;;72.9;;;;;;;;;;;;;;;;;;;;;;
STC;01.06.1992 00:00;15.2;27.4;6.5;;;;81.2;13.8;;;;;;;;;;;;;;;;;;;;;
STC;01.07.1992 00:00;18.1;29.7;10.5;;;;79.9;16.4;;;;;;;;;;;;;;;;;;;;;
STC;01.08.1992 00:00;19.6;31;9.5;;;;74.9;16.8;;;;;;;;;;;;;;;;;;;;;
STC;01.09.1992 00:00;13.9;22.5;4;;;;83.9;13.3;;;;;;;;;;;;;;;;;;;;;
STC;01.10.1992 00:00;7.1;;;;;;91.3;9.4;;;;;;;;;;;;;;;;;;;;;
STC;01.11.1992 00:00;6.2;;;;;;91.1;8.8;;;;;;;;;;;;;;;;;;;;;
STC;01.12.1992 00:00;1.3;14.2;-7.6;;;;85.7;5.9;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1993 00:00;4;16.4;-11.4;;;;79;6.8;;;;;;;;;;;;;;;;;;;;;
STC;01.02.1993 00:00;-0.5;11.5;-10.9;;;;85;5.1;;;;;;;;;;;;;;;;;;;;;
STC;01.03.1993 00:00;4.9;19;-9;;;;66.3;5.8;;;;;;;;;;;;;;;;;;;;;
STC;01.04.1993 00:00;10.6;26.5;-0.9;;;;69.6;8.5;;;;;;;;;;;;;;;;;;;;;
STC;01.05.1993 00:00;13.6;27.2;5.6;;;;77.9;11.9;;;;;;;;;;;;;;;;;;;;;
STC;01.06.1993 00:00;16;27.5;7.2;;;;79.6;14.4;;;;;;;;;;;;;;;;;;;;;
STC;01.07.1993 00:00;16.3;30.3;6.8;;;;80.2;14.8;;;;;;;;;;;;;;;;;;;;;
STC;01.08.1993 00:00;16.9;29;6.9;;;;77.4;14.7;;;;;;;;;;;;;;;;;;;;;
STC;01.10.1993 00:00;7.2;;;;;;90.6;9.3;;;;;;;;;;;;;;;;;;;;;
STC;01.11.1993 00:00;1;15.5;-8;;;;85.7;5.9;;;;;;;;;;;;;;;;;;;;;
STC;01.12.1993 00:00;4.2;16.2;-3.3;;;;82.6;6.9;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1994 00:00;2.5;12.8;-8.8;;;;85.5;6.4;;;;;;;;;;;;;;;;;;;;;
STC;01.03.1994 00:00;9;21;-1.1;;;;71.3;8.2;;;;;;;;;;;;;;;;;;;;;
STC;01.04.1994 00:00;7.2;23.3;-1;;;;78.7;8;;;;;;;;;;;;;;;;;;;;;
STC;01.05.1994 00:00;12.6;22.6;4.2;;;;81.4;11.7;;;;;;;;;;;;;;;;;;;;;
STC;01.06.1994 00:00;16.3;28.1;5.6;;;;76.9;14.3;;;;;;;;;;;;;;;;;;;;;
STC;01.07.1994 00:00;21;31.2;11.4;;;;71.9;17.5;;;;;;;;;;;;;;;;;;;;;
STC;01.08.1994 00:00;18.7;33.3;9.4;;;;76.5;16.2;;;;;;;;;;;;;;;;;;;;;
STC;01.09.1994 00:00;13.1;22;3.5;;;;89.1;13.5;;;;;;;;;;;;;;;;;;;;;
STC;01.10.1994 00:00;9.2;20.6;0.4;;;;84.7;10.1;;;;;;;;;;;;;;;;;;;;;
STC;01.11.1994 00:00;7.8;14.6;1.8;;;;90.8;9.6;;;;;;;;;;;;;;;;;;;;;
STC;01.12.1994 00:00;3.8;13;-3.8;;;;85;7;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1995 00:00;0.4;12.8;-10.8;;;;81.8;5.3;;;;;;;;;;;;;;;;;;;;;
STC;01.02.1995 00:00;5.4;14.6;-1.1;;;;80.2;7.2;;;;;;;;;;;;;;;;;;;;;
STC;01.03.1995 00:00;3.9;16.7;-4;;;;70.8;5.7;;;;;;;;;;;;;;;;;;;;;
STC;01.04.1995 00:00;8.8;;;;;;74.4;8.4;;;;;;;;;;;;;;;;;;;;;
STC;01.05.1995 00:00;12.8;25.3;1.2;;;;71.9;10.3;;;;;;;;;;;;;;;;;;;;;
STC;01.06.1995 00:00;14.2;28.3;7.2;;;;79;12.7;;;;;;;;;;;;;;;;;;;;;
STC;01.07.1995 00:00;19.8;31.5;12.2;;;;77.1;17.7;;;;;;;;;;;;;;;;;;;;;
STC;01.09.1995 00:00;11.5;19.9;2.3;;;;86.8;11.8;;;;;;;;;;;;;;;;;;;;;
