station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
STG;01.01.1864 00:00;-6.3;;;;;;;;;;;;;;;;;;;;;;;;;;815.1;;
STG;01.02.1864 00:00;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;620.6;;
STG;01.03.1864 00:00;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;479.8;;
STG;01.04.1864 00:00;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;404.6;;
STG;01.05.1864 00:00;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;169.7;;
STG;01.06.1864 00:00;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;66.2;;
STG;01.07.1864 00:00;16.4;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
STG;01.08.1864 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;105.8;;
STG;01.09.1864 00:00;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;120.9;;
STG;01.10.1864 00:00;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;385.8;;
STG;01.11.1864 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;538;;
STG;01.12.1864 00:00;-4.7;;;;;;;;;;;;;;;;;;;;;;;;;;764.9;;
STG;01.01.1865 00:00;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;617.3;;
STG;01.02.1865 00:00;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;653.3;;
STG;01.03.1865 00:00;-2;;;;;;;;;;;;;;;;;;;;;;;;;;681;;
STG;01.04.1865 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.05.1865 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.06.1865 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.07.1865 00:00;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.08.1865 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.09.1865 00:00;15.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.10.1865 00:00;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.11.1865 00:00;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.12.1865 00:00;-2.7;;;;;;;;;;;;;;;;;9.2;;;;;;;;;704.7;;
STG;01.01.1866 00:00;2;;;;;;;;;;;;;;;;;39.7;;;;;;;;;558.6;;
STG;01.02.1866 00:00;3.3;;;;;;;;;;;;;;;;;124.1;;;;;;;;;467.9;;
STG;01.03.1866 00:00;3.2;;;;;;;;;;;;;;;;;127.8;;;;;;;;;519.4;;
STG;01.04.1866 00:00;8.8;;;;;;;;;;;;;;;;;104.4;;;;;;;;;292.6;;
STG;01.05.1866 00:00;9.2;;;;;;;;;;;;;;;;;89.6;;;;;;;;;272.5;;
STG;01.06.1866 00:00;16.6;;;;;;;;;;;;;;;;;130.1;;;;;;;;;19.2;;
STG;01.07.1866 00:00;16.4;;;;;;;;;;;;;;;;;119.8;;;;;;;;;9.1;;
STG;01.08.1866 00:00;14.3;;;;;;;;;;;;;;;;;291.4;;;;;;;;;53;;
STG;01.09.1866 00:00;14.4;;;;;;;;;;;;;;;;;104.7;;;;;;;;;92.5;;
STG;01.10.1866 00:00;7.6;;;;;;;;;;;;;;;;;11;;;;;;;;;356.1;;
STG;01.11.1866 00:00;3.3;;;;;;;;;;;;;;;;;133.8;;;;;;;;;500.6;;
STG;01.12.1866 00:00;2;;;;;;;;;;;;;;;;;87;;;;;;;;;557.8;;
STG;01.01.1867 00:00;-0.7;;;;;;;;;;;;;;;;;141.7;;;;;;;;;641.6;;
STG;01.02.1867 00:00;4.9;;;;;;;;;;;;;;;;;111.9;;;;;;;;;415;;
STG;01.03.1867 00:00;2.9;;;;;;;;;;;;;;;;;106;;;;;;;;;528.9;;
STG;01.04.1867 00:00;8.3;;;;;;;;;;;;;;;;;126.3;;;;;;;;;325.5;;
STG;01.05.1867 00:00;12.3;;;;;;;;;;;;;;;;;145.6;;;;;;;;;180.5;;
STG;01.06.1867 00:00;14.9;;;;;;;;;;;;;;;;;163.4;;;;;;;;;53.9;;
STG;01.07.1867 00:00;15.1;;;;;;;;;;;;;;;;;103.1;;;;;;;;;66.4;;
STG;01.08.1867 00:00;16.9;;;;;;;;;;;;;;;;;159.9;;;;;;;;;0;;
STG;01.09.1867 00:00;13.8;;;;;;;;;;;;;;;;;82.3;;;;;;;;;114.2;;
STG;01.10.1867 00:00;6.1;;;;;;;;;;;;;;;;;184.6;;;;;;;;;430.9;;
STG;01.11.1867 00:00;1;;;;;;;;;;;;;;;;;46.2;;;;;;;;;557.4;;
STG;01.12.1867 00:00;-3.3;;;;;;;;;;;;;;;;;119.9;;;;;;;;;721.8;;
STG;01.01.1868 00:00;-2.8;;;;;;;;;;;;;;;;;59.2;;;;;;;;;707.1;;
STG;01.02.1868 00:00;2.1;;;;;;;;;;;;;;;;;17.1;;;;;;;;;518.5;;
STG;01.03.1868 00:00;1.7;;;;;;;;;;;;;;;;;113;;;;;;;;;567.4;;
STG;01.04.1868 00:00;6.6;;;;;;;;;;;;;;;;;100.1;;;;;;;;;395.9;;
STG;01.05.1868 00:00;16.8;;;;;;;;;;;;;;;;;23.9;;;;;;;;;0;;
STG;01.06.1868 00:00;16;;;;;;;;;;;;;;;;;135.6;;;;;;;;;51.8;;
STG;01.07.1868 00:00;17;;;;;;;;;;;;;;;;;152.1;;;;;;;;;26.7;;
STG;01.08.1868 00:00;16.7;;;;;;;;;;;;;;;;;67.4;;;;;;;;;9.5;;
STG;01.09.1868 00:00;14.8;;;;;;;;;;;;;;;;;81.1;;;;;;;;;9.3;;
STG;01.10.1868 00:00;8.6;;;;;;;;;;;;;;;;;138.9;;;;;;;;;305.4;;
STG;01.11.1868 00:00;0.3;;;;;;;;;;;;;;;;;52.2;;;;;;;;;590.4;;
STG;01.12.1868 00:00;4.7;;;;;;;;;;;;;;;;;96.1;;;;;;;;;474.2;;
STG;01.01.1869 00:00;-1.8;;;;;;;;;;;;;;;;;41.7;;;;;;;;;674.7;;
STG;01.02.1869 00:00;5.2;;;;;;;;;;;;;;;;;16.8;;;;;;;;;414;;
STG;01.03.1869 00:00;-0.1;;;;;;;;;;;;;;;;;65.9;;;;;;;;;621.9;;
STG;01.04.1869 00:00;9;;;;;;;;;;;;;;;;;112.6;;;;;;;;;261.3;;
STG;01.05.1869 00:00;13.8;;;;;;;;;;;;;;;;;127.2;;;;;;;;;78.2;;
STG;01.06.1869 00:00;12.1;;;;;;;;;;;;;;;;;136.7;;;;;;;;;173.7;;
STG;01.07.1869 00:00;18.6;;;;;;;;;;;;;;;;;153.1;;;;;;;;;0;;
STG;01.08.1869 00:00;14.5;;;;;;;;;;;;;;;;;210.3;;;;;;;;;41.9;;
STG;01.09.1869 00:00;14.3;;;;;;;;;;;;;;;;;79.3;;;;;;;;;57.5;;
STG;01.10.1869 00:00;5.4;;;;;;;;;;;;;;;;;82.2;;;;;;;;;429.6;;
STG;01.11.1869 00:00;3.8;;;;;;;;;;;;;;;;;99.7;;;;;;;;;486.7;;
STG;01.12.1869 00:00;-1.9;;;;;;;;;;;;;;;;;74;;;;;;;;;677.9;;
STG;01.01.1870 00:00;-2.5;;;;;;;;;;;;;;;;;28.2;;;;;;;;;696.4;;
STG;01.02.1870 00:00;-3.4;;;;;;;;;;;;;;;;;32.9;;;;;;;;;655.2;;
STG;01.03.1870 00:00;0.7;;;;;;;;;;;;;;;;;93.3;;;;;;;;;597.8;;
STG;01.04.1870 00:00;6.8;;;;;;;;;;;;;;;;;50.6;;;;;;;;;380.3;;
STG;01.05.1870 00:00;13.3;;;;;;;;;;;;;;;;;38.5;;;;;;;;;143;;
STG;01.06.1870 00:00;15.4;;;;;;;;;;;;;;;;;74.2;;;;;;;;;38.5;;
STG;01.07.1870 00:00;18.4;;;;;;;;;;;;;;;;;110.1;;;;;;;;;9;;
STG;01.08.1870 00:00;14.1;;;;;;;;;;;;;;;;;163.1;;;;;;;;;88.4;;
STG;01.09.1870 00:00;11.3;;;;;;;;;;;;;;;;;91.1;;;;;;;;;226.4;;
STG;01.10.1870 00:00;7.9;;;;;;;;;;;;;;;;;188.3;;;;;;;;;368.5;;
STG;01.11.1870 00:00;2.5;;;;;;;;;;;;;;;;;82.7;;;;;;;;;526.2;;
STG;01.12.1870 00:00;-4.5;;;;;;;;;;;;;;;;;100.1;;;;;;;;;760.4;;
STG;01.01.1871 00:00;-5.4;;;;;;;;;;;;;;;;;70.9;;;;;;;;;786.5;;
STG;01.02.1871 00:00;1.1;;;;;;;;;;;;;;;;;63;;;;;;;;;529.1;;
STG;01.03.1871 00:00;3.9;;;;;;;;;;;;;;;;;60;;;;;;;;;498.4;;
STG;01.04.1871 00:00;8.1;;;;;;;;;;;;;;;;;145.9;;;;;;;;;353.2;;
STG;01.05.1871 00:00;10.2;;;;;;;;;;;;;;;;;78.7;;;;;;;;;267.3;;
STG;01.06.1871 00:00;11.7;;;;;;;;;;;;;;;;;219;;;;;;;;;187.1;;
STG;01.07.1871 00:00;17.4;;;;;;;;;;;;;;;;;142;;;;;;;;;16.2;;
STG;01.08.1871 00:00;16.5;;;;;;;;;;;;;;;;;119;;;;;;;;;8.9;;
STG;01.09.1871 00:00;14.5;;;;;;;;;;;;;;;;;49.5;;;;;;;;;81.5;;
STG;01.10.1871 00:00;5.6;;;;;;;;;;;;;;;;;107;;;;;;;;;441.3;;
STG;01.11.1871 00:00;-0.8;;;;;;;;;;;;;;;;;84.7;;;;;;;;;622.9;;
STG;01.12.1871 00:00;-7.8;;;;;;;;;;;;;;;;;22.5;;;;;;;;;863;;
STG;01.01.1872 00:00;0;;;;;;;;;;;;;;;;;53.4;;;;;;;;;621.1;;
STG;01.02.1872 00:00;0.7;;;;;;;;;;;;;;;;;52.1;;;;;;;;;559.3;;
STG;01.03.1872 00:00;4.9;;;;;;;;;;;;;;;;;60.3;;;;;;;;;465.5;;
STG;01.04.1872 00:00;8.1;;;;;;;;;;;;;;;;;109;;;;;;;;;329.2;;
STG;01.05.1872 00:00;11.3;;;;;;;;;;;;;;;;;234.4;;;;;;;;;182.3;;
STG;01.06.1872 00:00;14.4;;;;;;;;;;;;;;;;;183;;;;;;;;;85.8;;
STG;01.07.1872 00:00;17;;;;;;;;;;;;;;;;;108.6;;;;;;;;;0;;
