station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SMM;01.10.1900 00:00;;;;;;;;;;;;;;;;;;11.3;;;;;;;;;;;
SMM;01.11.1900 00:00;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;
SMM;01.12.1900 00:00;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;
SMM;01.01.1901 00:00;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;
SMM;01.02.1901 00:00;;;;;;;;;;;;;;;;;;50.2;;;;;;;;;;;
SMM;01.03.1901 00:00;;;;;;;;;;;;;;;;;;154.9;;;;;;;;;;;
SMM;01.04.1901 00:00;;;;;;;;;;;;;;;;;;82.5;;;;;;;;;;;
SMM;01.05.1901 00:00;;;;;;;;;;;;;;;;;;85.2;;;;;;;;;;;
SMM;01.06.1901 00:00;;;;;;;;;;;;;;;;;;119.1;;;;;;;;;;;
SMM;01.07.1901 00:00;;;;;;;;;;;;;;;;;;83.5;;;;;;;;;;;
SMM;01.08.1901 00:00;;;;;;;;;;;;;;;;;;75.1;;;;;;;;;;;
SMM;01.09.1901 00:00;;;;;;;;;;;;;;;;;;119.4;;;;;;;;;;;
SMM;01.10.1901 00:00;;;;;;;;;;;;;;;;;;60.7;;;;;;;;;;;
SMM;01.11.1901 00:00;;;;;;;;;;;;;;;;;;44.7;;;;;;;;;;;
SMM;01.12.1901 00:00;;;;;;;;;;;;;;;;;;102.1;;;;;;;;;;;
SMM;01.01.1902 00:00;;;;;;;;;;;;;;;;;;56.7;;;;;;;;;;;
SMM;01.02.1902 00:00;;;;;;;;;;;;;;;;;;114.6;;;;;;;;;;;
SMM;01.03.1902 00:00;;;;;;;;;;;;;;;;;;113;;;;;;;;;;;
SMM;01.04.1902 00:00;;;;;;;;;;;;;;;;;;32.3;;;;;;;;;;;
SMM;01.05.1902 00:00;;;;;;;;;;;;;;;;;;68.2;;;;;;;;;;;
SMM;01.06.1902 00:00;;;;;;;;;;;;;;;;;;73.6;;;;;;;;;;;
SMM;01.07.1902 00:00;;;;;;;;;;;;;;;;;;45.2;;;;;;;;;;;
SMM;01.08.1902 00:00;;;;;;;;;;;;;;;;;;111.8;;;;;;;;;;;
SMM;01.09.1902 00:00;;;;;;;;;;;;;;;;;;85.3;;;;;;;;;;;
SMM;01.10.1902 00:00;;;;;;;;;;;;;;;;;;63.2;;;;;;;;;;;
SMM;01.11.1902 00:00;;;;;;;;;;;;;;;;;;20.7;;;;;;;;;;;
SMM;01.12.1902 00:00;;;;;;;;;;;;;;;;;;77.2;;;;;;;;;;;
SMM;01.01.1903 00:00;;;;;;;;;;;;;;;;;;57.8;;;;;;;;;;;
SMM;01.02.1903 00:00;;;;;;;;;;;;;;;;;;27.8;;;;;;;;;;;
