station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SBO;01.08.1981 00:00;19.2;29.8;7.5;20.4;5.2;35.6;;17.3;;;;;;1;;3.6;;239.5;217;;;;10678;45;;44.4;0;0;
SBO;01.09.1981 00:00;16.2;23.5;5.5;16.4;2.9;28.3;;15.3;;;;;;1.2;;4.3;;314;116;;;;5385;26;;1.7;8.2;0.2;
SBO;01.10.1981 00:00;10.6;22;-2.5;9.8;-5.2;26.5;;10.6;;;;;;1.1;;4;;145.4;82;;;;5862;32;;0;216.2;72.2;
SBO;01.11.1981 00:00;4;20.5;-8;2;-11.8;22;;5.9;;;;;;1.4;;5;;3.2;78;;;;10139;72;;0;479.2;239.2;
SBO;01.12.1981 00:00;1.1;11.9;-14.3;-0.9;-16.9;14.8;;4.6;;;;;;1.5;;5.4;;164.1;45;;;;6187;49;;0;586.5;338.5;
SBO;01.01.1982 00:00;1.2;18.8;-9;-0.3;-11.3;19.8;81.8;5.1;;;;;;1.3;;4.7;;8.4;55;;;;5804;43;;0;579.1;339.1;
SBO;01.02.1982 00:00;1.1;13.4;-7.3;0.3;-11.1;16.2;82.2;5.3;;;;;;1.1;;4;;35.8;78;;;;6287;41;;0;529.4;305.4;
SBO;01.03.1982 00:00;5.3;17.8;-5.4;5;-8.9;23;66.6;5.7;;;;;;1.5;17.6;5.4;63.4;65.8;134;;;;10348;50;;0;455.2;207.2;35.1
SBO;01.04.1982 00:00;9.7;22.1;-2.1;9.7;-4.7;30.3;67.4;7.6;;;;;;1.5;15.1;5.4;54.4;20.2;188;;;;11004;49;;0;290;74;-32.1
SBO;01.05.1982 00:00;14.4;26.7;1.4;14.7;-1.7;34.9;70.4;11.2;;;;;;1.3;13.3;4.7;47.9;147.4;222;;;;8621;34;;1.6;98.9;18.9;98
SBO;01.06.1982 00:00;19.1;29.6;8.8;20.1;5.4;38.5;70.3;15.1;;;;;;1.3;14.4;4.7;51.8;192.3;237;;;;9735;38;;34.9;0;0;129.7
SBO;01.07.1982 00:00;21.1;34.1;10.6;22.7;7.8;43;72.7;17.6;;;;;;1.2;17.3;4.3;62.3;112.5;232;;;;9321;36;;92.3;0;0;57.3
SBO;01.08.1982 00:00;18.7;27.8;8.8;20.1;6.1;37.4;78;16.5;;;;;;1;19.5;3.6;70.2;216.6;192;;;;11440;48;;31.2;0;0;167.9
SBO;01.09.1982 00:00;17.3;26.9;8.7;17.9;6.1;33.8;81.2;15.8;;;;;;0.9;25.9;3.2;93.2;185.8;145;;;;9481;45;;6.9;0;0;156.6
SBO;01.10.1982 00:00;9.7;21.4;0.1;9.5;-3.2;30.5;85;10.2;;;;;;0.8;10;2.9;36;245.3;83;;;;7405;40;;0;301.4;77.4;230.5
SBO;01.11.1982 00:00;6.6;16.2;-1.9;5.8;-5.5;20.5;85.3;8.3;;;;;;0.9;13.7;3.2;49.3;208.7;47;;;;4796;34;;0;403;163;201
SBO;01.12.1982 00:00;2.7;14.6;-6.4;1.1;-10.1;13.2;81.7;6.1;;;;;;1.2;21;4.3;75.6;66.1;42;;;;6037;47;;0;537.2;289.2;61.1
SBO;01.01.1983 00:00;2.2;19.7;-6.5;0.5;-9.7;19.8;77.1;5.4;;;;;;1.5;25;5.4;90;2.1;64;;;;8607;63;;0;543.7;303.7;-2.3
SBO;01.02.1983 00:00;-0.3;10.8;-11.9;-1.2;-12.4;13.5;78.7;4.6;;;;;;1.1;15.7;4;56.5;34.1;82;;;;5890;38;;0;569.4;345.4;29
SBO;01.03.1983 00:00;6.4;19.3;-3.1;6.1;-6;22.7;75.6;7.1;;;;;;1.4;20.8;5;74.9;147;121;;;;8872;43;;0;414.3;174.3;126.2
