station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
THU;01.06.1875 00:00;;;;;;;;;;;;;;;;;;129.9;;;;;;;;;;;
THU;01.07.1875 00:00;;;;;;;;;;;;;;;;;;169.7;;;;;;;;;;;
THU;01.08.1875 00:00;;;;;;;;;;;;;;;;;;124.8;;;;;;;;;;;
THU;01.09.1875 00:00;;;;;;;;;;;;;;;;;;50.6;;;;;;;;;;;
THU;01.10.1875 00:00;;;;;;;;;;;;;;;;;;88.7;;;;;;;;;;;
THU;01.11.1875 00:00;;;;;;;;;;;;;;;;;;75.1;;;;;;;;;;;
THU;01.12.1875 00:00;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;
THU;01.01.1876 00:00;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;
THU;01.02.1876 00:00;;;;;;;;;;;;;;;;;;85.6;;;;;;;;;;;
THU;01.03.1876 00:00;;;;;;;;;;;;;;;;;;149.7;;;;;;;;;;;
THU;01.04.1876 00:00;;;;;;;;;;;;;;;;;;100.5;;;;;;;;;;;
THU;01.05.1876 00:00;;;;;;;;;;;;;;;;;;72.4;;;;;;;;;;;
THU;01.06.1876 00:00;;;;;;;;;;;;;;;;;;251.3;;;;;;;;;;;
THU;01.07.1876 00:00;;;;;;;;;;;;;;;;;;54.3;;;;;;;;;;;
THU;01.08.1876 00:00;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;
THU;01.09.1876 00:00;;;;;;;;;;;;;;;;;;104.5;;;;;;;;;;;
THU;01.10.1876 00:00;;;;;;;;;;;;;;;;;;6.2;;;;;;;;;;;
THU;01.11.1876 00:00;;;;;;;;;;;;;;;;;;71.5;;;;;;;;;;;
THU;01.12.1876 00:00;;;;;;;;;;;;;;;;;;37.4;;;;;;;;;;;
THU;01.01.1877 00:00;;;;;;;;;;;;;;;;;;27.3;;;;;;;;;;;
