station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
TIT;01.06.1993 00:00;0.9;8.1;-6.3;;;;;;;;;;;5.2;22.8;;82.1;;;;;;;;;;;332.5;
TIT;01.07.1993 00:00;1.1;11.1;-8.7;;;;;;;;;;;5.7;22.7;;81.7;;;;;;;;;;;336.5;
TIT;01.08.1993 00:00;3.3;11.6;-6.7;;;;;;;;;;;5.2;21.5;;77.4;;;;;;;;;;;270.7;
TIT;01.09.1993 00:00;-1.3;8.2;-9.5;;;;;;;;;;;5.9;36;;129.6;;;;;;;;;;;398.4;
TIT;01.10.1993 00:00;-3.2;2.7;-14.8;;;;;;;;;;;5;40.5;;145.8;;;;;;;;;;;471.1;
TIT;01.11.1993 00:00;-7.5;2.1;-19.6;;;;;;;;;;;4.2;25.7;;92.5;;;;;;;;;;;586.3;
TIT;01.12.1993 00:00;-9.6;3.6;-21.7;;;;;;;;;;;8.9;34.3;;123.5;;;;;;;;;;;668.6;
TIT;01.01.1994 00:00;-10.1;-1.3;-21.6;;;;;;;;;;;8.3;48.5;29.9;174.6;;;;;;;;;;;686;
TIT;01.02.1994 00:00;-11;2;-20.9;;;;;;;;;;;7.1;33.3;25.6;119.9;;;;;;;;;;;645.2;
TIT;01.03.1994 00:00;-6.1;3.7;-15.6;;;;;;;;;;;8;30.8;28.8;110.9;;;;;;;;;;;562.2;
TIT;01.04.1994 00:00;-9.1;3.2;-18.9;;;;;;;;;;;6.3;32.9;22.7;118.4;;;;;;;;;;;632.1;
TIT;01.05.1994 00:00;-2;4;-11;;;;;;;;;;;6.2;31.4;22.3;113;;;;;;;;;;;433.8;
TIT;01.06.1994 00:00;0.6;10.9;-10.5;;;;;;;;;;;6.3;37.5;22.7;135;;;;;;;;;;;342.1;
TIT;01.07.1994 00:00;5.1;13;-1.6;;;;;;;;;;;4.4;20.4;15.8;73.4;;;;;;;;;;;213.2;
TIT;01.08.1994 00:00;4.1;11.6;-3.2;;;;;;;;;;;6.5;27.6;23.4;99.4;;;;;;;;;;;245.2;
TIT;01.09.1994 00:00;-0.2;8.3;-12.2;;;;;;;;;;;6.7;40.7;24.1;146.5;;;;;;;;;;;365.9;
TIT;01.10.1994 00:00;;;;;;;;;;;;;;6.5;;23.4;;;;;;;;;;;;;
TIT;01.11.1994 00:00;-3.2;;;;;;;;;;;;;7.8;;28.1;;;;;;;;;;;;424.2;
TIT;01.12.1994 00:00;-7.3;2;-20.8;;;;;;;;;;;7.8;36.2;28.1;130.3;;;;;;;;;;;596.9;
TIT;01.01.1995 00:00;-12;-0.9;-24.4;;;;;;;;;;;9.8;45.3;35.3;163.1;;;;;;;;;;;743.2;
