station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
UEB;01.02.2012 00:00;;;;;;;;;;;;;;;;;;;92;;;;5787;34;;;;;
UEB;01.03.2012 00:00;;;;;;;;;;;;;;;;;;;184;;;;14640;69;;;;;
UEB;01.04.2012 00:00;;;;;;;;;;;;;;;;;;;159;;;;6261;27;;;;;
UEB;01.05.2012 00:00;;;;;;;;;;;;;;;;;;;252;;;;13243;50;;;;;
UEB;01.06.2012 00:00;;;;;;;;;;;;;;;;;;;240;;;;11424;42;;;;;
UEB;01.07.2012 00:00;;;;;;;;;;;;;;;;;;;224;;;;11318;41;;;;;
UEB;01.08.2012 00:00;;;;;;;;;;;;;;;;;;;244;;;;15386;62;;;;;
UEB;01.09.2012 00:00;;;;;;;;;;;;;;;;;;;150;;;;9249;43;;;;;
UEB;01.10.2012 00:00;;;;;;;;;;;;;;;;;;;100;;;;6890;36;;;;;
UEB;01.11.2012 00:00;;;;;;;;;;;;;;;;;;;69;;;;5778;36;;;;;
UEB;01.12.2012 00:00;;;;;;;;;;;;;;;;;;;39;;;;2682;18;;;;;
UEB;01.01.2013 00:00;;;;;;;;;;;;;;;;;;;53;;;;3141;20;;;;;
UEB;01.02.2013 00:00;;;;;;;;;;;;;;;;;;;60;;;;2015;12;;;;;
UEB;01.03.2013 00:00;;;;;;;;;;;;;;;;;;;109;;;;4462;21;;;;;
UEB;01.04.2013 00:00;;;;;;;;;;;;;;;;;;;151;;;;6037;26;;;;;
UEB;01.05.2013 00:00;;;;;;;;;;;;;;;;;;;177;;;;6079;23;;;;;
UEB;01.06.2013 00:00;;;;;;;;;;;;;;;;;;;233;;;;10887;40;;;;;
UEB;01.07.2013 00:00;;;;;;;;;;;;;;;;;;;284;;;;17594;64;;;;;
UEB;01.08.2013 00:00;;;;;;;;;;;;;;;;;;;238;;;;15032;60;;;;;
UEB;01.09.2013 00:00;;;;;;;;;;;;;;;;;;;159;;;;9218;43;;;;;
UEB;01.10.2013 00:00;;;;;;;;;;;;;;;;;;;95;;;;5639;29;;;;;
UEB;01.11.2013 00:00;;;;;;;;;;;;;;;;;;;47;;;;2570;16;;;;;
UEB;01.12.2013 00:00;;;;;;;;;;;;;;;;;;;66;;;;8920;59;;;;;
UEB;01.01.2014 00:00;;;;;;;;;;;;;;;;;;;52;;;;3864;24;;;;;
UEB;01.02.2014 00:00;;;;;;;;;;;;;;;;;;;85;;;;4915;30;;;;;
