station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ULR;01.01.1981 00:00;-9.5;1.3;-24.1;-9.9;-25.6;3.3;84.3;2.7;;;;;;1.9;21.6;6.8;77.8;235;54;;;;4499;49;;0;914.2;666.2;232.7
ULR;01.02.1981 00:00;-9.8;6.2;-26.6;-9.6;-27.3;8;78.2;2.5;;;;;;1;15.8;3.6;56.9;37.8;112;;;;7930;66;;0;834.7;610.7;32.4
ULR;01.03.1981 00:00;0.2;12;-13.6;0.7;-14.7;16.1;78.3;4.9;;;;;;1.3;16.1;4.7;58;254.6;133;;;;4218;24;;0;613.8;365.8;94.5
ULR;01.04.1981 00:00;3.9;16.8;-7.2;4.7;-9.7;22.5;66.3;5;;;;;;1.9;19.9;6.8;71.6;67.5;209;;;;9813;52;;0;482.8;242.8;48.3
ULR;01.05.1981 00:00;6.7;20.2;-3.3;7.5;-7;23.7;70.3;6.5;;;;;;2;13.4;7.2;48.2;153.2;190;;;;5996;27;;0;405.9;165.9;135.6
ULR;01.06.1981 00:00;11.1;25.3;-1;12.6;-3.5;33.3;63.7;8;;;;;;2.7;19.9;9.7;71.6;79.8;237;;;;10807;48;;0;182.3;54.3;-8.3
ULR;01.07.1981 00:00;11.8;26.9;0.7;12.4;-0.2;30.1;68.3;8.9;;;;;;2.1;20.2;7.6;72.7;107.5;202;;;;8583;38;;0;148.8;44.8;6.4
ULR;01.08.1981 00:00;13.1;26.4;-0.5;13.4;-3.8;31.5;61.3;8.5;;;;;;2.3;19.6;8.3;70.6;36.1;232;;;;14836;73;;0;113.5;17.5;-124.6
ULR;01.09.1981 00:00;10.2;22;-3.9;10.1;-6.2;25.8;72.5;8.8;;;;;;1.7;17.5;6.1;63;158.4;114;;;;5413;31;;0;251.5;59.5;89.9
ULR;01.10.1981 00:00;4.5;18.2;-11.2;3.9;-14.3;20.6;82.2;7;;;;;;1.4;15.7;5;56.5;172.8;92;;;;5212;35;;0;482;234;133.2
ULR;01.11.1981 00:00;-1.7;16.5;-16.5;-2.9;-23.4;18;81.7;4.5;;;;;;1.4;19.2;5;69.1;94.1;66;;;;6527;65;;0;650.7;410.7;63.7
ULR;01.12.1981 00:00;-5.4;3.6;-25.5;-5.7;-23.3;4;88.4;3.8;;;;;;1.8;21.4;6.5;77;234.8;36;;;;1165;15;;0;787.4;539.4;234.2
ULR;01.01.1982 00:00;-5.5;3.7;-23.8;-6.2;-24.9;5;89.1;3.9;;;;;;0.8;14.8;2.9;53.3;174.3;51;;;;3679;40;;0;790.8;542.8;172.7
ULR;01.02.1982 00:00;-5.9;8.8;-25.1;-6.6;-25;8.5;79.4;3.3;;;;;;1;14.4;3.6;51.8;11.5;105;;;;7071;59;;0;726.1;502.1;7.6
ULR;01.03.1982 00:00;-2.8;8.4;-19.5;-2.4;-22.1;11.8;81.1;4.1;;;;;;2.2;17.6;7.9;63.4;102.7;151;;;;4743;27;;0;706;458;99.6
ULR;01.04.1982 00:00;2;11.1;-13.5;2.2;-12.9;14.8;68.5;4.7;;;;;;3.4;21.8;12.2;78.5;10.1;237;;;;11155;59;;0;541.3;301.3;-0.3
ULR;01.05.1982 00:00;7.4;21.8;-6.2;7.7;-8.3;25.3;69.3;6.8;;;;;;2;15.7;7.2;56.5;51;245;;;;10919;49;;0;384.5;144.5;23.2
ULR;01.06.1982 00:00;11.8;23.3;2;12.5;-1.7;31.1;71.1;9.4;;;;;;2;14;7.2;50.4;78.4;211;;;;8266;36;;0;149.4;29.4;14.5
ULR;01.07.1982 00:00;15;27.2;2.4;15.6;-1.1;34.1;67.5;10.8;;;;;;2.6;19;9.4;68.4;92.5;230;;;;12847;57;;0;56.2;8.2;-42
