station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VAD;01.01.1971 00:00;-2.7;15.5;-19;;;;79.9;4.1;959.5;;;;;1;;;;23.6;;;;;;;;;704;;
VAD;01.02.1971 00:00;-0.5;9;-12.3;;;;83.6;4.9;964.9;;;;;0.7;;;;44.7;;;;;;;;;574.2;;
VAD;01.03.1971 00:00;1.3;16.5;-16.7;;;;73.1;5.1;958.5;;;;;1.2;;;;19.9;;;;;;;;;578.8;;
VAD;01.04.1971 00:00;12;25.3;0.5;;;;61.6;8.3;957;;;;;1.4;;;;7.8;;;;;;;;;180.1;;
VAD;01.05.1971 00:00;15.3;32;5.4;;;;68.8;11.4;958;;;;;1.1;;;;70.7;;;;;;;;;99.2;;
VAD;01.06.1971 00:00;14.6;27.4;7.2;;;;78.3;12.7;960.2;;;;;1;;;;218.3;;;;;;;;;63.6;;
VAD;01.07.1971 00:00;19;31.2;7.5;;;;71.4;15.2;964.7;;;;;0.9;;;;88.9;;;;;;;;;8;;
VAD;01.08.1971 00:00;19;32.2;8.7;;;;75.6;16.2;962.9;;;;;0.9;;;;137.4;;;;;;;;;0;;
VAD;01.09.1971 00:00;13.3;23.5;1.2;;;;77.6;11.7;967.7;;;;;0.8;;;;55;;;;;;;;;82.9;;
VAD;01.10.1971 00:00;10.3;22.2;-2.4;;;;76.9;9.6;971.3;;;;;1;;;;16.5;;;;;;;;;215.2;;
VAD;01.11.1971 00:00;3.1;19.7;-8;;;;82.6;6.4;960.3;;;;;1.4;;;;69.9;;;;;;;;;507.3;;
VAD;01.12.1971 00:00;0.3;11;-9.2;;;;86.9;5.5;971.3;;;;;0.7;;;;32.9;;;;;;;;;610.6;;
VAD;01.01.1972 00:00;0.3;13.4;-6;;;;82.4;5.1;959.3;;;;;0.7;;;;8.6;;;;;;;;;610;;
VAD;01.02.1972 00:00;6;18;-6;;;;65.8;5.8;956.8;;;;;1.8;;;;4.8;;;;;;;;;387.7;;
VAD;01.03.1972 00:00;8.2;20.7;-0.6;;;;62.7;6.5;959.4;;;;;2.1;;;;23.1;;;;;;;;;336.3;;
VAD;01.04.1972 00:00;8.2;26;-3;;;;77.7;8.3;957;;;;;3.1;;;;85.3;;;;;;;;;333.5;;
