station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VLS;01.02.1892 00:00;;;;;;;;;;;;;;;;;;117.9;;;;;;;;;;;
VLS;01.03.1892 00:00;;;;;;;;;;;;;;;;;;55.7;;;;;;;;;;;
VLS;01.04.1892 00:00;;;;;;;;;;;;;;;;;;61.1;;;;;;;;;;;
VLS;01.05.1892 00:00;;;;;;;;;;;;;;;;;;14.3;;;;;;;;;;;
VLS;01.06.1892 00:00;;;;;;;;;;;;;;;;;;162;;;;;;;;;;;
VLS;01.07.1892 00:00;;;;;;;;;;;;;;;;;;110.6;;;;;;;;;;;
VLS;01.08.1892 00:00;;;;;;;;;;;;;;;;;;48.8;;;;;;;;;;;
VLS;01.09.1892 00:00;;;;;;;;;;;;;;;;;;130.3;;;;;;;;;;;
VLS;01.10.1892 00:00;;;;;;;;;;;;;;;;;;231.6;;;;;;;;;;;
VLS;01.11.1892 00:00;;;;;;;;;;;;;;;;;;24.3;;;;;;;;;;;
VLS;01.12.1892 00:00;;;;;;;;;;;;;;;;;;12.6;;;;;;;;;;;
VLS;01.01.1893 00:00;;;;;;;;;;;;;;;;;;62.3;;;;;;;;;;;
VLS;01.02.1893 00:00;;;;;;;;;;;;;;;;;;77.7;;;;;;;;;;;
VLS;01.03.1893 00:00;;;;;;;;;;;;;;;;;;14.6;;;;;;;;;;;
VLS;01.04.1893 00:00;;;;;;;;;;;;;;;;;;14.2;;;;;;;;;;;
VLS;01.05.1893 00:00;;;;;;;;;;;;;;;;;;40.5;;;;;;;;;;;
VLS;01.06.1893 00:00;;;;;;;;;;;;;;;;;;87.3;;;;;;;;;;;
VLS;01.07.1893 00:00;;;;;;;;;;;;;;;;;;127.4;;;;;;;;;;;
VLS;01.08.1893 00:00;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;
VLS;01.09.1893 00:00;;;;;;;;;;;;;;;;;;144.7;;;;;;;;;;;
VLS;01.10.1893 00:00;;;;;;;;;;;;;;;;;;67.3;;;;;;;;;;;
VLS;01.11.1893 00:00;;;;;;;;;;;;;;;;;;45.1;;;;;;;;;;;
VLS;01.12.1893 00:00;;;;;;;;;;;;;;;;;;35.2;;;;;;;;;;;
VLS;01.01.1894 00:00;;;;;;;;;;;;;;;;;;33.3;;;;;;;;;;;
VLS;01.02.1894 00:00;;;;;;;;;;;;;;;;;;49.8;;;;;;;;;;;
VLS;01.03.1894 00:00;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;
VLS;01.04.1894 00:00;;;;;;;;;;;;;;;;;;73.9;;;;;;;;;;;
VLS;01.05.1894 00:00;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;
VLS;01.06.1894 00:00;;;;;;;;;;;;;;;;;;61;;;;;;;;;;;
VLS;01.07.1894 00:00;;;;;;;;;;;;;;;;;;198.9;;;;;;;;;;;
VLS;01.08.1894 00:00;;;;;;;;;;;;;;;;;;97.7;;;;;;;;;;;
VLS;01.09.1894 00:00;;;;;;;;;;;;;;;;;;108.9;;;;;;;;;;;
VLS;01.10.1894 00:00;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;
VLS;01.11.1894 00:00;;;;;;;;;;;;;;;;;;45.1;;;;;;;;;;;
VLS;01.12.1894 00:00;;;;;;;;;;;;;;;;;;19.6;;;;;;;;;;;
VLS;01.01.1895 00:00;;;;;;;;;;;;;;;;;;123.1;;;;;;;;;;;
VLS;01.02.1895 00:00;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;
VLS;01.03.1895 00:00;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;
VLS;01.04.1895 00:00;;;;;;;;;;;;;;;;;;25.5;;;;;;;;;;;
VLS;01.05.1895 00:00;;;;;;;;;;;;;;;;;;80.9;;;;;;;;;;;
VLS;01.06.1895 00:00;;;;;;;;;;;;;;;;;;70.9;;;;;;;;;;;
VLS;01.07.1895 00:00;;;;;;;;;;;;;;;;;;76.3;;;;;;;;;;;
VLS;01.08.1895 00:00;;;;;;;;;;;;;;;;;;121.5;;;;;;;;;;;
VLS;01.09.1895 00:00;;;;;;;;;;;;;;;;;;11.2;;;;;;;;;;;
VLS;01.10.1895 00:00;;;;;;;;;;;;;;;;;;132.1;;;;;;;;;;;
VLS;01.11.1895 00:00;;;;;;;;;;;;;;;;;;43.4;;;;;;;;;;;
VLS;01.12.1895 00:00;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;
VLS;01.01.1896 00:00;;;;;;;;;;;;;;;;;;29.4;;;;;;;;;;;
VLS;01.02.1896 00:00;;;;;;;;;;;;;;;;;;28.5;;;;;;;;;;;
VLS;01.03.1896 00:00;;;;;;;;;;;;;;;;;;119.8;;;;;;;;;;;
VLS;01.04.1896 00:00;;;;;;;;;;;;;;;;;;86.3;;;;;;;;;;;
VLS;01.05.1896 00:00;;;;;;;;;;;;;;;;;;59.1;;;;;;;;;;;
VLS;01.06.1896 00:00;;;;;;;;;;;;;;;;;;78.5;;;;;;;;;;;
VLS;01.07.1896 00:00;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;
VLS;01.08.1896 00:00;;;;;;;;;;;;;;;;;;131.1;;;;;;;;;;;
VLS;01.09.1896 00:00;;;;;;;;;;;;;;;;;;168.5;;;;;;;;;;;
VLS;01.10.1896 00:00;;;;;;;;;;;;;;;;;;415.6;;;;;;;;;;;
VLS;01.11.1896 00:00;;;;;;;;;;;;;;;;;;68.4;;;;;;;;;;;
VLS;01.12.1896 00:00;;;;;;;;;;;;;;;;;;45.2;;;;;;;;;;;
VLS;01.01.1897 00:00;;;;;;;;;;;;;;;;;;42.6;;;;;;;;;;;
VLS;01.02.1897 00:00;;;;;;;;;;;;;;;;;;46.8;;;;;;;;;;;
VLS;01.03.1897 00:00;;;;;;;;;;;;;;;;;;63.7;;;;;;;;;;;
VLS;01.04.1897 00:00;;;;;;;;;;;;;;;;;;38.9;;;;;;;;;;;
VLS;01.05.1897 00:00;;;;;;;;;;;;;;;;;;67.6;;;;;;;;;;;
VLS;01.06.1897 00:00;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;
VLS;01.07.1897 00:00;;;;;;;;;;;;;;;;;;82.4;;;;;;;;;;;
VLS;01.08.1897 00:00;;;;;;;;;;;;;;;;;;234.3;;;;;;;;;;;
VLS;01.09.1897 00:00;;;;;;;;;;;;;;;;;;282.8;;;;;;;;;;;
VLS;01.10.1897 00:00;;;;;;;;;;;;;;;;;;13.6;;;;;;;;;;;
VLS;01.11.1897 00:00;;;;;;;;;;;;;;;;;;9.1;;;;;;;;;;;
VLS;01.12.1897 00:00;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;
VLS;01.01.1898 00:00;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;
VLS;01.02.1898 00:00;;;;;;;;;;;;;;;;;;120.4;;;;;;;;;;;
VLS;01.03.1898 00:00;;;;;;;;;;;;;;;;;;104.8;;;;;;;;;;;
VLS;01.04.1898 00:00;;;;;;;;;;;;;;;;;;70.7;;;;;;;;;;;
VLS;01.05.1898 00:00;;;;;;;;;;;;;;;;;;174.6;;;;;;;;;;;
VLS;01.06.1898 00:00;;;;;;;;;;;;;;;;;;210.3;;;;;;;;;;;
VLS;01.07.1898 00:00;;;;;;;;;;;;;;;;;;56.8;;;;;;;;;;;
VLS;01.08.1898 00:00;;;;;;;;;;;;;;;;;;101.7;;;;;;;;;;;
VLS;01.09.1898 00:00;;;;;;;;;;;;;;;;;;6.3;;;;;;;;;;;
VLS;01.10.1898 00:00;;;;;;;;;;;;;;;;;;97.1;;;;;;;;;;;
VLS;01.11.1898 00:00;;;;;;;;;;;;;;;;;;200.4;;;;;;;;;;;
VLS;01.12.1898 00:00;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;
VLS;01.01.1899 00:00;;;;;;;;;;;;;;;;;;154.7;;;;;;;;;;;
VLS;01.02.1899 00:00;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;
VLS;01.03.1899 00:00;;;;;;;;;;;;;;;;;;27.9;;;;;;;;;;;
VLS;01.04.1899 00:00;;;;;;;;;;;;;;;;;;100.5;;;;;;;;;;;
VLS;01.05.1899 00:00;;;;;;;;;;;;;;;;;;102.4;;;;;;;;;;;
VLS;01.06.1899 00:00;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;
VLS;01.07.1899 00:00;;;;;;;;;;;;;;;;;;66.3;;;;;;;;;;;
VLS;01.08.1899 00:00;;;;;;;;;;;;;;;;;;48.3;;;;;;;;;;;
VLS;01.09.1899 00:00;;;;;;;;;;;;;;;;;;127.9;;;;;;;;;;;
VLS;01.10.1899 00:00;;;;;;;;;;;;;;;;;;7.2;;;;;;;;;;;
VLS;01.11.1899 00:00;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;
VLS;01.12.1899 00:00;;;;;;;;;;;;;;;;;;61.5;;;;;;;;;;;
VLS;01.01.1900 00:00;;;;;;;;;;;;;;;;;;96;;;;;;;;;;;
VLS;01.02.1900 00:00;;;;;;;;;;;;;;;;;;87.5;;;;;;;;;;;
VLS;01.03.1900 00:00;;;;;;;;;;;;;;;;;;49.9;;;;;;;;;;;
VLS;01.04.1900 00:00;;;;;;;;;;;;;;;;;;42.7;;;;;;;;;;;
VLS;01.05.1900 00:00;;;;;;;;;;;;;;;;;;130.8;;;;;;;;;;;
VLS;01.06.1900 00:00;;;;;;;;;;;;;;;;;;39.5;;;;;;;;;;;
VLS;01.07.1900 00:00;;;;;;;;;;;;;;;;;;97.2;;;;;;;;;;;
VLS;01.08.1900 00:00;;;;;;;;;;;;;;;;;;235.3;;;;;;;;;;;
VLS;01.09.1900 00:00;;;;;;;;;;;;;;;;;;41.9;;;;;;;;;;;
VLS;01.10.1900 00:00;;;;;;;;;;;;;;;;;;33.6;;;;;;;;;;;
VLS;01.11.1900 00:00;;;;;;;;;;;;;;;;;;118.4;;;;;;;;;;;
VLS;01.12.1900 00:00;;;;;;;;;;;;;;;;;;49.7;;;;;;;;;;;
VLS;01.01.1901 00:00;;;;;;;;;;;;;;;;;;38.7;;;;;;;;;;;
VLS;01.02.1901 00:00;;;;;;;;;;;;;;;;;;30.6;;;;;;;;;;;
VLS;01.03.1901 00:00;;;;;;;;;;;;;;;;;;138.9;;;;;;;;;;;
VLS;01.04.1901 00:00;;;;;;;;;;;;;;;;;;129.2;;;;;;;;;;;
VLS;01.05.1901 00:00;;;;;;;;;;;;;;;;;;82.3;;;;;;;;;;;
VLS;01.06.1901 00:00;;;;;;;;;;;;;;;;;;179.7;;;;;;;;;;;
VLS;01.07.1901 00:00;;;;;;;;;;;;;;;;;;183.3;;;;;;;;;;;
VLS;01.08.1901 00:00;;;;;;;;;;;;;;;;;;91.5;;;;;;;;;;;
VLS;01.09.1901 00:00;;;;;;;;;;;;;;;;;;112.2;;;;;;;;;;;
VLS;01.10.1901 00:00;;;;;;;;;;;;;;;;;;80.8;;;;;;;;;;;
VLS;01.11.1901 00:00;;;;;;;;;;;;;;;;;;20.6;;;;;;;;;;;
VLS;01.12.1901 00:00;;;;;;;;;;;;;;;;;;76.4;;;;;;;;;;;
VLS;01.01.1902 00:00;;;;;;;;;;;;;;;;;;41.9;;;;;;;;;;;
VLS;01.02.1902 00:00;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;
VLS;01.03.1902 00:00;;;;;;;;;;;;;;;;;;159.9;;;;;;;;;;;
VLS;01.04.1902 00:00;;;;;;;;;;;;;;;;;;21.2;;;;;;;;;;;
VLS;01.05.1902 00:00;;;;;;;;;;;;;;;;;;79;;;;;;;;;;;
VLS;01.06.1902 00:00;;;;;;;;;;;;;;;;;;99.8;;;;;;;;;;;
VLS;01.07.1902 00:00;;;;;;;;;;;;;;;;;;76.6;;;;;;;;;;;
VLS;01.08.1902 00:00;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;
VLS;01.09.1902 00:00;;;;;;;;;;;;;;;;;;144.2;;;;;;;;;;;
VLS;01.10.1902 00:00;;;;;;;;;;;;;;;;;;111.9;;;;;;;;;;;
VLS;01.11.1902 00:00;;;;;;;;;;;;;;;;;;17.2;;;;;;;;;;;
VLS;01.12.1902 00:00;;;;;;;;;;;;;;;;;;96.1;;;;;;;;;;;
VLS;01.01.1903 00:00;;;;;;;;;;;;;;;;;;45.1;;;;;;;;;;;
VLS;01.02.1903 00:00;;;;;;;;;;;;;;;;;;34.7;;;;;;;;;;;
VLS;01.03.1903 00:00;;;;;;;;;;;;;;;;;;65.5;;;;;;;;;;;
VLS;01.04.1903 00:00;;;;;;;;;;;;;;;;;;92.9;;;;;;;;;;;
VLS;01.05.1903 00:00;;;;;;;;;;;;;;;;;;173.9;;;;;;;;;;;
VLS;01.06.1903 00:00;;;;;;;;;;;;;;;;;;83.2;;;;;;;;;;;
VLS;01.07.1903 00:00;;;;;;;;;;;;;;;;;;124.5;;;;;;;;;;;
VLS;01.08.1903 00:00;;;;;;;;;;;;;;;;;;103.7;;;;;;;;;;;
VLS;01.09.1903 00:00;;;;;;;;;;;;;;;;;;96.8;;;;;;;;;;;
VLS;01.10.1903 00:00;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;
VLS;01.11.1903 00:00;;;;;;;;;;;;;;;;;;90.7;;;;;;;;;;;
VLS;01.12.1903 00:00;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;
VLS;01.01.1904 00:00;;;;;;;;;;;;;;;;;;16.1;;;;;;;;;;;
VLS;01.02.1904 00:00;;;;;;;;;;;;;;;;;;89.1;;;;;;;;;;;
VLS;01.03.1904 00:00;;;;;;;;;;;;;;;;;;89.3;;;;;;;;;;;
VLS;01.04.1904 00:00;;;;;;;;;;;;;;;;;;78.2;;;;;;;;;;;
VLS;01.05.1904 00:00;;;;;;;;;;;;;;;;;;146.9;;;;;;;;;;;
