station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
VIO;01.01.1901 00:00;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.02.1901 00:00;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.03.1901 00:00;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.04.1901 00:00;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.05.1901 00:00;10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.06.1901 00:00;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.07.1901 00:00;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.08.1901 00:00;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.09.1901 00:00;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.10.1901 00:00;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.11.1901 00:00;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.12.1901 00:00;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.01.1902 00:00;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.02.1902 00:00;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.03.1902 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.04.1902 00:00;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIO;01.05.1902 00:00;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
