station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
WYN;01.01.1978 00:00;0.1;6.3;-10.2;;;;90.1;5.6;965.1;;;;;2.2;;8.3;;45.8;;;;;1698;12;;;616.9;;
WYN;01.02.1978 00:00;-0.6;9.5;-8.9;;;;87.3;5.3;959.6;;;;;1.5;;6.8;;39.6;;;;;1992;13;;;576.7;;
WYN;01.03.1978 00:00;4.4;17.6;-4.7;;;;81.4;6.6;966.1;;;;;2.4;;8.6;;116.7;;;;;4794;24;;;484.5;;
WYN;01.04.1978 00:00;6.9;18.7;-3.7;;;;73.6;6.9;960.9;;;;;2;;7.9;;26.9;;;;;7572;33;;;392.9;;
WYN;01.05.1978 00:00;10.9;22.6;0.1;;;;78.4;9.7;965.4;;;;;2.3;;9;;116.3;;;;;6624;25;;;195.6;;
WYN;01.06.1978 00:00;14.3;26.6;5.3;;;;73.1;11.3;967;;;;;1.5;;6.1;;79.1;;;;;10056;38;;;74.3;;
WYN;01.07.1978 00:00;16.3;31;7.1;;;;74.9;13;968.8;;;;;1.6;;6.8;;42.7;;;;;10428;39;;;17.5;;
WYN;01.08.1978 00:00;15.3;28.1;5.6;;;;78.5;13.1;970.2;;;;;1.6;;6.1;;61.3;;;;;11106;45;;;28.5;;
WYN;01.09.1978 00:00;13;25.3;1.9;;;;75.5;10.8;971.3;;;;;1.8;;7.2;;24.5;;;;;10938;53;;;104.2;;
WYN;01.10.1978 00:00;8.1;18.9;-0.6;;;;86.2;9.3;973.9;;;;;1.4;;5.8;;15;;;;;5460;30;;;368.3;;
WYN;01.11.1978 00:00;2.8;11.9;-4.7;;;;87.3;6.6;978.4;;;;;1.4;;5.8;;2.7;;;;;1404;10;;;517.2;;
