station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
SMA;01.01.1864 00:00;-5.7;;;;;;93.8;4;968.5;;;;;1.7;;6.1;;23.6;;;;;;;;;797;;
SMA;01.02.1864 00:00;-0.6;;;;;;88.1;5.3;957;;;;;1.7;;6.1;;31.8;;;;;;;;;598.4;;
SMA;01.03.1864 00:00;5.4;;;;;;79.1;7.1;952.4;;;;;2.4;;8.6;;51.9;;;;;;;;;452.5;;
SMA;01.04.1864 00:00;8;;;;;;74.3;8.1;960.9;;;;;3.1;;11.2;;54.1;;;;;;;;;336.9;;
SMA;01.05.1864 00:00;13.6;;;;;;80.2;12.8;958.5;;;;;2.7;;9.7;;90.8;;;;;;;;;105.4;;
SMA;01.06.1864 00:00;15.9;;;;;;84.9;15.7;960.9;;;;;2.4;;8.6;;173;;;;;;;;;35.9;;
SMA;01.07.1864 00:00;18;;;;;;81.5;17.2;961.7;;;;;1.4;;5;;86.8;;;;;;;;;0;;
SMA;01.08.1864 00:00;16.3;;;;;;81.1;15.4;962.8;;;;;2;;7.2;;38.2;;;;;;;;;63.8;;
SMA;01.09.1864 00:00;13.9;;;;;;84.5;13.7;962.9;;;;;0.8;;2.9;;80.2;;;;;;;;;70;;
SMA;01.10.1864 00:00;7.7;;;;;;83.8;9;955.6;;;;;1.7;;6.1;;17.9;;;;;;;;;353.4;;
SMA;01.11.1864 00:00;3.4;;;;;;88.5;7.1;956.5;;;;;1.4;;5;;79.7;;;;;;;;;496.7;;
SMA;01.12.1864 00:00;-3.4;;;;;;95.7;4.7;961.2;;;;;1.1;;4;;3.7;;;;;;;;;724.1;;
SMA;01.01.1865 00:00;0.9;;;;;;86.8;5.7;951.3;;;;;1.7;;6.1;;58.5;;;;;;;;;591.9;;
SMA;01.02.1865 00:00;-2;;;;;;90;5;956.8;;;;;2.4;;8.6;;51;;;;;;;;;615.3;;
SMA;01.03.1865 00:00;-0.3;;;;;;85.5;5.2;952.7;;;;;1.7;;6.1;;52.8;;;;;;;;;627.8;;
SMA;01.04.1865 00:00;13.1;;;;;;71;10.8;963.5;;;;;;;;;4.5;;;;;;;;;124.7;;
SMA;01.05.1865 00:00;16.5;;;;;;75.2;14.2;961.4;;;;;0.8;;2.9;;69.3;;;;;;;;;33.4;;
SMA;01.06.1865 00:00;17.2;;;;;;69.3;13.7;964.3;;;;;2;;7.2;;51.1;;;;;;;;;0;;
SMA;01.07.1865 00:00;20.1;;;;;;75.9;18;962;;;;;0.8;;2.9;;89.2;;;;;;;;;0;;
SMA;01.08.1865 00:00;16.8;;;;;;84.7;16.5;960.4;;;;;0.8;;2.9;;201;;;;;;;;;8.7;;
